#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip              npairs               weight          npairs_weighted   
  7.133649061081e-01   7.838345525409e-01  -2.611385191261e-01   9.046757109652e-05  -2.557807422251e-05  -2.372390962031e-20   7.131529296898e-05   3.962026250248e-05   1.102766800000e+07   8.529899767080e+08   6.242409550568e+06
  1.452095610920e+00   1.597462149977e+00   4.510767612419e-01   8.465261485820e-05   1.941115149700e-05   3.419962767943e-20  -1.124253734378e-05   2.667751953513e-05   6.974552111405e+07   7.790554207374e+09   5.607692820249e+07
  2.955824775231e+00   3.252653974338e+00   1.162122835083e+00   5.852803424373e-05   2.249013833453e-05  -2.766374055896e-20  -8.687386376397e-06   1.353986678646e-05   2.724875517580e+08   3.025719030300e+10   2.185285411821e+08
  6.016752640915e+00   6.622525630495e+00   1.873130514149e+00   2.393184911609e-05   1.179571000916e-05  -1.800327089725e-20   1.494737378989e-06   6.888581753853e-06   1.057476167186e+09   1.169462332313e+11   8.466575882437e+08
  1.224744871392e+01   1.349116551106e+01   2.584774379085e+00   1.909966844232e-05   7.056951273228e-06  -1.053832289175e-20   2.716684354356e-06   3.471519411707e-06   4.176836356508e+09   4.604055901225e+11   3.339524695530e+09
  2.493039168338e+01   2.742036396054e+01   3.293914931780e+00   7.218418107083e-06   3.398859572262e-06  -3.212029562003e-20   7.250134728510e-07   1.762247995856e-06   1.631552255072e+10   1.787891186670e+12   1.300261883041e+10
  5.074725716388e+01   5.570354546401e+01   4.002477949141e+00   5.229500106984e-06   3.865868469340e-06  -1.090437882620e-11   9.519223562198e-07   9.148626116272e-07   6.120880830869e+10   6.650738902295e+12   4.853991712316e+10
  1.032989831192e+02   1.130577303617e+02   4.710272077954e+00   1.908845134111e-06   1.585204785658e-06   3.024378118438e-12   1.013931117609e-07   4.838367361040e-07   2.216144027068e+11   2.398346254355e+13   1.751171496352e+11
  2.102710670453e+02   2.265347527474e+02   5.404718618705e+00   6.653377407463e-07   6.505553420833e-07   1.572783574775e-21  -1.121165535979e-07   2.845655587704e-07   6.731366219908e+11   7.179560148494e+13   5.243116999125e+11
