#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip            sigma_xim              weight               npairs       
  7.133649061081e-01   7.874732918656e-01  -2.578228010836e-01   3.671461560989e-06  -3.266770259228e-06  -7.072462205255e-06  -3.198560960627e-05   4.261050359259e-08   4.261050359259e-08   2.127800300000e+07   2.127800300000e+07
  1.452095610920e+00   1.618029457255e+00   4.622915970845e-01   1.389421006888e-05   4.655781213733e-07  -1.599588093910e-05  -5.303925933039e-06   1.022097674546e-08   1.022097674546e-08   8.870480900000e+07   8.870480900000e+07
  2.955824775231e+00   3.257010905754e+00   1.163072589699e+00   3.165841766154e-05   1.758881167761e-07  -6.458220925609e-06   2.702770932189e-06   2.558204862624e-09   2.558204862624e-09   3.412736270000e+08   3.412736270000e+08
  6.016752640915e+00   6.648440338134e+00   1.875376312146e+00   7.919428815915e-06   8.680583857353e-08   1.068829375744e-06   3.005574266333e-07   6.416696587716e-10   6.416696587716e-10   1.412869538000e+09   1.412869538000e+09
  1.224744871392e+01   1.340395292305e+01   2.577817768718e+00   7.242136774313e-06   3.464274673579e-06   1.702185658926e-06  -9.170356531130e-07   1.615844011256e-10   1.615844011256e-10   5.402723556000e+09   5.402723556000e+09
  2.493039168338e+01   2.736400129562e+01   3.290267875716e+00   3.314992422159e-06   2.741661008009e-06   1.045901106155e-06   3.763989282923e-07   4.013761209883e-11   4.013761209883e-11   2.258426815300e+10   2.258426815300e+10
  5.074725716388e+01   5.615248812257e+01   4.009028881118e+00   1.097579050528e-06   9.469228224468e-07  -2.725876017296e-07   1.414134294231e-08   1.000688809643e-11   1.000688809643e-11   9.057131899600e+10   9.057131899600e+10
  1.032989831192e+02   1.127264610850e+02   4.707006139906e+00   6.475178593102e-07   6.321160830106e-07   2.073893252492e-07  -2.455402670766e-07   2.706437460117e-12   2.706437460117e-12   3.224330915010e+11   3.224330915010e+11
  2.102710670453e+02   2.278705150933e+02   5.409193246376e+00   3.815170246056e-07   4.035694555945e-07   8.075283661834e-08  -5.047742319616e-08   8.225973169925e-13   8.225973169925e-13   1.102360098247e+12   1.102360098247e+12
