#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip              npairs               weight          npairs_weighted   
  7.133649061081e-01   7.856346412736e-01  -2.585851403768e-01   3.969750607644e-05  -5.123721480422e-05   4.790086383926e-05   6.721527161359e-05   6.090367691242e-05   3.912296000000e+06   4.676111964449e+08   2.769747243882e+06
  1.452095610920e+00   1.599549762303e+00   4.527712866591e-01   3.756470511951e-05  -2.631872152683e-05  -1.988157199245e-05   2.015118146880e-05   4.109929971396e-05   2.429431665609e+07   4.177253953442e+09   2.445486273532e+07
  2.955824775231e+00   3.255182388054e+00   1.163274450651e+00  -1.985038184643e-06   8.684222163748e-07  -4.048273456651e-06  -7.420124689676e-06   2.058096157680e-05   9.703875978300e+07   1.666460617217e+10   9.762577708427e+07
  6.016752640915e+00   6.627026727753e+00   1.874046202015e+00  -2.051373698843e-06  -2.759037992479e-06  -5.844646990397e-06   1.422525143617e-06   1.037429820302e-05   3.823403136414e+08   6.560543004670e+10   3.845157941125e+08
  1.224744871392e+01   1.350213105535e+01   2.585722160042e+00   5.392865483830e-06  -1.972326557401e-07  -7.496306462465e-07   3.304342832483e-06   5.188899945350e-06   1.529091925899e+09   2.622286929689e+11   1.537620428895e+09
  2.493039168338e+01   2.744957961687e+01   3.295084640486e+00   9.616481346215e-07   1.304805087232e-06  -4.185680319297e-07  -9.353118909599e-07   2.609122020463e-06   6.060470682167e+09   1.037571709481e+12   6.089519551534e+09
  5.074725716388e+01   5.574833463349e+01   4.003383253091e+00   9.478646950073e-07   6.133804368832e-07   4.032575819080e-07  -4.397158748014e-08   1.339737388028e-06   2.310170801344e+10   3.941180041162e+12   2.316761682267e+10
  1.032989831192e+02   1.130430695103e+02   4.710163342130e+00   2.865288114252e-07  -4.439980162933e-08   8.745208274310e-08   3.514833174236e-08   7.064242430355e-07   8.368424889442e+10   1.424772797436e+13   8.376238213755e+10
  2.102710670453e+02   2.265526562705e+02   5.404834512342e+00   1.363476880525e-07   3.159459119342e-07  -3.723554287755e-08   1.191052589541e-07   4.131691630012e-07   2.538265820483e+11   4.272306739496e+13   2.512212944393e+11
