#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip              npairs               weight          npairs_weighted   
  7.133649061081e-01   7.857007637441e-01  -2.584588098690e-01   1.524372024630e-05   6.593141244289e-05   1.817202785674e-05  -2.646665194193e-05   4.175795878726e-05   8.536858000000e+06   8.724167066658e+08   5.532585150272e+06
  1.452095610920e+00   1.599914564930e+00   4.528630685969e-01   4.373114016927e-05   1.534508452336e-05  -9.159281368510e-06  -7.550889701299e-06   2.840312692653e-05   5.179621878291e+07   7.631300620555e+09   4.782008730837e+07
  2.955824775231e+00   3.255889055995e+00   1.163289385290e+00   1.788517686128e-05   4.697557463979e-06  -2.350770299185e-06   3.781594534637e-06   1.422857239173e-05   2.066911212259e+08   3.041751595936e+10   1.906977904457e+08
  6.016752640915e+00   6.627242230732e+00   1.873952031097e+00   1.332643989055e-05  -1.991655756599e-06   6.305384111551e-07   3.635119461747e-06   7.175171627730e-06   8.135714866929e+08   1.196400916664e+11   7.503242592949e+08
  1.224744871392e+01   1.350013713404e+01   2.585506145780e+00   7.285435267943e-06   4.397145318110e-06  -1.455747872074e-06  -1.721869620176e-06   3.590409624553e-06   3.251406413924e+09   4.777949059530e+11   2.997746985127e+09
  2.493039168338e+01   2.744035306587e+01   3.294690994876e+00   1.910570311417e-06   1.707836590910e-06   5.604491223910e-07  -8.879518488085e-07   1.809503965430e-06   1.284075397638e+10   1.881824395715e+12   1.182040282863e+10
  5.074725716388e+01   5.573037130561e+01   4.003002507322e+00   2.307708444247e-06   1.332290210037e-06  -4.530863052440e-07  -2.591962638090e-07   9.326014430477e-07   4.865085335471e+10   7.095962630446e+12   4.466147249752e+10
  1.032989831192e+02   1.130512981379e+02   4.710212810377e+00   1.211795757956e-06   6.053018826023e-07  -3.954472418555e-07  -1.410080415489e-07   4.921671855954e-07   1.760039626845e+11   2.561548289389e+13   1.612437268258e+11
  2.102710670453e+02   2.264828568069e+02   5.404499762286e+00   5.090842551855e-08   7.902080350642e-07   7.269291998959e-08   1.134807840005e-08   2.882498547271e-07   5.317674392743e+11   7.656891122825e+13   4.820237911570e+11
