#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip              npairs               weight          npairs_weighted   
  7.133649061081e-01   7.859332638191e-01  -2.581632991373e-01   1.070367832569e-04  -7.920913194587e-05   7.800215572591e-05   8.256114607132e-05   4.708665145790e-05   8.227170000000e+06   7.392650419218e+08   5.079352946156e+06
  1.452095610920e+00   1.599878887589e+00   4.528211743068e-01   6.725570218685e-05   4.966608114324e-06   1.103068263981e-06  -9.904234231570e-06   3.116959296222e-05   5.306579245891e+07   6.865021702984e+09   4.653287636585e+07
  2.955824775231e+00   3.255899768442e+00   1.163265647610e+00   2.190153155688e-05   4.704756098274e-06   5.176922500291e-06  -4.168033214302e-06   1.561989591616e-05   2.120058463847e+08   2.735047620899e+10   1.856351911662e+08
  6.016752640915e+00   6.627763125224e+00   1.874019400798e+00   1.871258492361e-05  -1.343179742598e-06   9.081378929947e-06  -2.415695048969e-06   7.876086328323e-06   8.360660385058e+08   1.076292101045e+11   7.312717545154e+08
  1.224744871392e+01   1.350059437417e+01   2.585535210269e+00   6.470161352599e-06   1.132362659498e-06  -2.113350455039e-06   4.265970751040e-06   3.941106990079e-06   3.345378392164e+09   4.299259366842e+11   2.923732150808e+09
  2.493039168338e+01   2.743780780363e+01   3.294589120737e+00   3.552972054320e-06   2.198005278087e-06  -1.158797381994e-06  -6.102185307662e-07   1.987855328152e-06   1.321202731747e+10   1.691192981532e+12   1.152019466913e+10
  5.074725716388e+01   5.572886299078e+01   4.002966890705e+00   1.672973857198e-06   9.306052137785e-07   8.850548492672e-07  -5.040121748017e-07   1.025890432147e-06   5.007329781388e+10   6.367405323479e+12   4.348879121944e+10
  1.032989831192e+02   1.130751036032e+02   4.710421516406e+00   1.362303175180e-06   5.043287755637e-07  -4.751346371873e-07   8.638107713528e-09   5.417353234358e-07   1.818298495632e+11   2.303042931476e+13   1.573577686231e+11
  2.102710670453e+02   2.265167733359e+02   5.404645211631e+00   2.218142829726e-08   5.996541080749e-07  -1.804757159057e-08   8.158977441334e-08   3.181505344763e-07   5.526190339094e+11   6.903010814823e+13   4.716863632338e+11
