#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip              npairs               weight          npairs_weighted   
  7.133649061081e-01   7.849958297102e-01  -2.596018318846e-01   1.469026995109e-04   5.631251841221e-05  -5.249580495814e-05   1.410524712101e-05   4.551546321772e-05   1.034461600000e+07   6.963923291092e+08   5.552541330655e+06
  1.452095610920e+00   1.598787409770e+00   4.519458007054e-01   1.036905730396e-04   1.135552559298e-05   1.633728673378e-05   1.574138899959e-05   2.970337082204e-05   7.031406361642e+07   6.842558012778e+09   5.347306546888e+07
  2.955824775231e+00   3.253839275793e+00   1.162485225867e+00   6.111863277432e-05   2.649182599188e-05   6.516853123417e-06   7.124612512836e-06   1.499889519424e-05   2.774509848099e+08   2.686203309596e+10   2.104740154178e+08
  6.016752640915e+00   6.624381108001e+00   1.873415725399e+00   3.526872742822e-05   5.477735205698e-06   4.419112592287e-06  -1.597109924918e-06   7.609139222380e-06   1.083058766084e+09   1.044832355307e+11   8.202853401854e+08
  1.224744871392e+01   1.349425532965e+01   2.585009772760e+00   2.181253505120e-05   1.241735900818e-05   2.661554768420e-06  -2.532832454136e-06   3.828615416424e-06   4.292073937111e+09   4.128349040875e+11   3.246404465977e+09
  2.493039168338e+01   2.742178236811e+01   3.293966578823e+00   1.247658422630e-05   4.866460246850e-06   8.304096831638e-07  -1.742218640376e-06   1.942553325519e-06   1.680693279869e+10   1.606098912564e+12   1.266380803769e+10
  5.074725716388e+01   5.570628080310e+01   4.002523335038e+00   5.778335305571e-06   3.266251280428e-06  -2.105659917226e-07   2.550545710901e-07   1.009258348184e-06   6.320161526958e+10   5.975809104692e+12   4.731356031182e+10
  1.032989831192e+02   1.130874220404e+02   4.710538005113e+00   2.645024665202e-06   2.040180710031e-06   4.090700413089e-07   1.435333343511e-07   5.337991793353e-07   2.300207113878e+11   2.162506914457e+13   1.713161633152e+11
  2.102710670453e+02   2.265761442566e+02   5.404898203223e+00   1.451349938270e-06   1.149538587768e-06  -2.689514165433e-07  -1.516161924580e-08   3.146407332841e-07   7.031062226172e+11   6.498224392020e+13   5.148049866298e+11
