#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip            sigma_xim              weight               npairs       
  7.133649061081e-01   7.874998959038e-01  -2.577846541618e-01   1.349925606276e-04   1.464597261148e-05   2.312353986924e-05  -1.069063351385e-05   1.046856672281e-07   1.046856672281e-07   1.159696700000e+07   1.159696700000e+07
  1.452095610920e+00   1.618072606240e+00   4.623153068254e-01   1.075577340565e-04  -1.017743784528e-05  -1.479317893673e-05  -9.527589074593e-06   2.509799823904e-08   2.509799823904e-08   4.837084200000e+07   4.837084200000e+07
  2.955824775231e+00   3.256940253139e+00   1.163050230833e+00   9.297351608785e-05   5.061338752603e-07   8.013210509712e-06   6.817847656880e-06   6.284507540585e-09   6.284507540585e-09   1.860153020000e+08   1.860153020000e+08
  6.016752640915e+00   6.648335824850e+00   1.875360514947e+00   5.174598809004e-05   9.805694768812e-06   6.224052517121e-06  -4.653124205330e-06   1.577077792919e-09   1.577077792919e-09   7.697435420000e+08   7.697435420000e+08
  1.224744871392e+01   1.340355290074e+01   2.577785130711e+00   3.003546248115e-05   1.589325980678e-05  -1.294920607975e-06   3.264204440353e-06   3.973812459175e-10   3.973812459175e-10   2.941681050000e+09   2.941681050000e+09
  2.493039168338e+01   2.736312650404e+01   3.290235157972e+00   1.674413036803e-05   7.625189037615e-06  -2.021344045422e-08  -8.144616748628e-07   9.874251098193e-11   9.874251098193e-11   1.229322519500e+10   1.229322519500e+10
  5.074725716388e+01   5.615233285182e+01   4.009024936698e+00   7.096034257660e-06   5.859598802258e-06   1.464240103276e-06  -2.821992022348e-08   2.462839937579e-11   2.462839937579e-11   4.928327183000e+10   4.928327183000e+10
  1.032989831192e+02   1.127286201275e+02   4.707027770313e+00   2.260412396495e-06   3.083387369899e-06   4.128812543265e-07   1.011880812466e-07   6.657900550914e-12   6.657900550914e-12   1.755526267860e+11   1.755526267860e+11
  2.102710670453e+02   2.278688927485e+02   5.409185708135e+00   3.038661765395e-07   2.265996373631e-06   1.132296611722e-07  -1.060714264732e-07   2.024705963921e-12   2.024705963921e-12   6.000620397880e+11   6.000620397880e+11
