#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip            sigma_xim              weight               npairs       
  7.133649061081e-01   7.873299541143e-01  -2.580073347693e-01   4.176401537245e-05  -2.203120653133e-05  -4.380081016879e-21   2.732915116158e-06   4.019648409086e-08   4.019648409086e-08   2.315773400000e+07   2.315773400000e+07
  1.452095610920e+00   1.617419023937e+00   4.618981074078e-01   1.847399500085e-05  -2.158384464278e-05   2.029495154137e-21   1.739506733725e-05   9.687343028880e-09   9.687343028880e-09   9.608826800000e+07   9.608826800000e+07
  2.955824775231e+00   3.255120486748e+00   1.162465824948e+00   2.185082505040e-05   4.684955429066e-06   6.024282906614e-21   3.424947330633e-06   2.448073103366e-09   2.448073103366e-09   3.661407720000e+08   3.661407720000e+08
  6.016752640915e+00   6.644437678716e+00   1.874734264957e+00   1.552593237591e-05   4.407489343728e-06  -6.052616138038e-21   6.128027940483e-08   6.217071000336e-10   6.217071000336e-10   1.497162738000e+09   1.497162738000e+09
  1.224744871392e+01   1.340032114337e+01   2.577529520064e+00   5.940539546465e-06   3.081899817671e-06   1.842512531286e-16  -4.644220442001e-07   1.577069735845e-10   1.577069735845e-10   5.683282138000e+09   5.683282138000e+09
  2.493039168338e+01   2.735750241741e+01   3.290016831349e+00   3.239516099884e-06   4.326427211737e-06   2.176900915171e-12   1.065770301904e-06   3.935832062703e-11   3.935832062703e-11   2.364511355300e+10   2.364511355300e+10
  5.074725716388e+01   5.614180640230e+01   4.008827646450e+00   1.358921042395e-06   4.267257998345e-07  -5.407344871904e-13   4.655285262378e-07   9.853193140445e-12   9.853193140445e-12   9.442629961300e+10   9.442629961300e+10
  1.032989831192e+02   1.127238556670e+02   4.706978492335e+00   9.471163580003e-07   9.058624020719e-07  -4.480962977522e-12  -2.388808835867e-07   2.670751431854e-12   2.670751431854e-12   3.353682553110e+11   3.353682553110e+11
  2.102710670453e+02   2.278812427026e+02   5.409239930481e+00   2.687493812350e-07   2.702621545165e-07   1.343553100988e-12   6.750727070382e-08   8.111801733318e-13   8.111801733318e-13   1.146972974151e+12   1.146972974151e+12
