#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip              npairs               weight          npairs_weighted   
  7.133649061081e-01   7.855507513853e-01  -2.586801088381e-01   1.604485785458e-05   1.056881919708e-05  -2.207477227085e-05   2.923777837044e-05   4.043960626022e-05   1.322153100000e+07   1.074293459671e+09   7.681026930765e+06
  1.452095610920e+00   1.599715665141e+00   4.526764286438e-01   4.704197342847e-05   2.203933912222e-05  -1.115214212582e-05  -6.969114631665e-07   2.657157945902e-05   8.752584939309e+07   1.026724841756e+10   7.218475258351e+07
  2.955824775231e+00   3.255222515177e+00   1.163005147882e+00   2.826223841091e-05   1.351252715868e-05   9.480804333757e-06   1.419497826569e-05   1.334920824750e-05   3.481666847895e+08   4.071175499514e+10   2.866141133365e+08
  6.016752640915e+00   6.626509540342e+00   1.873792922898e+00   1.714030869306e-05   1.116546537360e-05  -4.864870499150e-06  -2.214271319486e-06   6.746194040919e-06   1.366639498585e+09   1.595237879958e+11   1.124063127189e+09
  1.224744871392e+01   1.349919779616e+01   2.585403755581e+00   9.138815066489e-06   5.776968186723e-06   6.592047449664e-07   9.654676932831e-07   3.382445554986e-06   5.444976446766e+09   6.347389463965e+11   4.476153851807e+09
  2.493039168338e+01   2.743407632649e+01   3.294435613322e+00   5.706884732975e-06   4.612938181724e-06  -1.632067366182e-07  -1.567449478794e-06   1.708975673077e-06   2.142623705361e+10   2.488949555124e+12   1.757642518334e+10
  5.074725716388e+01   5.573281541363e+01   4.003029131247e+00   2.297228007510e-06   2.261378544400e-06  -6.524726494661e-07   1.498161696967e-07   8.831477416502e-07   8.097666697919e+10   9.352296042205e+12   6.618671979479e+10
  1.032989831192e+02   1.130770550936e+02   4.710441849077e+00   1.204999325844e-06   1.015607492568e-06  -2.232514272119e-07   5.182473082212e-07   4.663182920487e-07   2.945127809436e+11   3.387731379851e+13   2.397842078653e+11
  2.102710670453e+02   2.265584914317e+02   5.404832871565e+00   4.121027235685e-07   7.464896253270e-07  -3.995442693247e-08  -3.854624233063e-07   2.741071561099e-07   8.972877420607e+11   1.017084085792e+14   7.197583590465e+11
