#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip            sigma_xim              weight               npairs       
  7.133649061081e-01   7.874351748230e-01  -2.578736401087e-01   7.150271283518e-05  -2.275323275850e-05  -7.672461667203e-06   3.810752101656e-05   5.784885881896e-08   5.784885881896e-08   1.568514800000e+07   1.568514800000e+07
  1.452095610920e+00   1.617913149669e+00   4.622132146595e-01   9.548789472997e-05  -9.350914812634e-06  -1.414671752114e-05   3.045570942172e-07   1.388715142864e-08   1.388715142864e-08   6.533880400000e+07   6.533880400000e+07
  2.955824775231e+00   3.256588248201e+00   1.162939611736e+00   6.755208121495e-05   1.247395287444e-05  -3.679356153597e-06   3.702849766067e-06   3.480367778034e-09   3.480367778034e-09   2.510472850000e+08   2.510472850000e+08
  6.016752640915e+00   6.647712844859e+00   1.875259413573e+00   4.139963484532e-05   8.697513450311e-06  -5.656136694049e-06  -4.628779713155e-07   8.750784236047e-10   8.750784236047e-10   1.036839984000e+09   1.036839984000e+09
  1.224744871392e+01   1.340279672007e+01   2.577725360410e+00   2.197466529733e-05   1.270175524099e-05  -1.762333039594e-06   9.968766955045e-07   2.207617812438e-10   2.207617812438e-10   3.957638485000e+09   3.957638485000e+09
  2.493039168338e+01   2.736267791447e+01   3.290217161019e+00   1.156265820810e-05   6.533259681545e-06  -2.439946563896e-07  -1.222388590360e-06   5.489427231967e-11   5.489427231967e-11   1.652707577600e+10   1.652707577600e+10
  5.074725716388e+01   5.615200194294e+01   4.009018295326e+00   5.558047739816e-06   3.912362276563e-06  -2.466750712096e-07   3.917775893098e-07   1.369455110633e-11   1.369455110633e-11   6.624270205400e+10   6.624270205400e+10
  1.032989831192e+02   1.127276961090e+02   4.707019123584e+00   2.336975115271e-06   2.503958929111e-06  -4.801559948949e-07   5.668369173498e-08   3.702499892857e-12   3.702499892857e-12   2.359340633000e+11   2.359340633000e+11
  2.102710670453e+02   2.278592879310e+02   5.409140962144e+00   9.587088470621e-07   1.494318367200e-06  -2.101653743339e-07  -2.758458129962e-08   1.126513533920e-12   1.126513533920e-12   8.060260155100e+11   8.060260155100e+11
