#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip              npairs               weight          npairs_weighted   
  7.133649061081e-01   7.848505771809e-01  -2.594704454087e-01   7.058129466378e-06   8.377312276902e-05  -1.950071187643e-05   7.640224113318e-05   5.871401342626e-05   3.531671000000e+06   5.716263798166e+08   2.896144436463e+06
  1.452095610920e+00   1.598072522039e+00   4.519603779959e-01   3.792261540671e-06   7.073772287312e-06  -1.461283523365e-06  -2.958350741209e-06   4.122416417899e-05   2.018070982740e+07   4.648246613985e+09   2.346147844387e+07
  2.955824775231e+00   3.253309603795e+00   1.162757302255e+00   1.047234614309e-05   1.177428163700e-05   8.199608118433e-06   8.069874546523e-06   2.076785537391e-05   7.962424425993e+07   1.831639948768e+10   9.250023068091e+07
  6.016752640915e+00   6.624725123604e+00   1.873728329699e+00   8.768564290500e-06   3.645241942644e-07   4.152981337501e-06  -4.413933030901e-06   1.051217386611e-05   3.110243473351e+08   7.149514328343e+10   3.611885836880e+08
  1.224744871392e+01   1.349936422906e+01   2.585534098517e+00   1.809198122329e-06   4.105963143637e-06   1.014701767774e-06  -2.370151914505e-06   5.268795649596e-06   1.238452643543e+09   2.846040839945e+11   1.438129291463e+09
  2.493039168338e+01   2.744678934315e+01   3.294984551290e+00   3.255598048654e-06  -1.433042506872e-06   5.147409413616e-07  -3.737335915997e-07   2.652700782860e-06   4.892069002065e+09   1.122959842033e+12   5.677821962926e+09
  5.074725716388e+01   5.574342724855e+01   4.003296181043e+00   2.785001702317e-06   5.840737423137e-07   3.434887977656e-07   1.243210756781e-06   1.362059328193e-06   1.860628350026e+10   4.261941639752e+12   2.157207086676e+10
  1.032989831192e+02   1.130275018058e+02   4.710019502883e+00   2.216290978896e-08   3.319633517446e-07   5.516028659704e-08  -1.058832526086e-07   7.182239340100e-07   6.711092747710e+10   1.536325675025e+13   7.775965297274e+10
  2.102710670453e+02   2.264827212965e+02   5.404534788134e+00   4.087364449017e-07   1.340060482326e-09  -1.089276736340e-07   5.973703329084e-08   4.186545264651e-07   2.020977954947e+11   4.592123410197e+13   2.324585137688e+11
