#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip            sigma_xim              weight               npairs       
  7.133649061081e-01   7.874283755622e-01  -2.578850573813e-01   5.729622533477e-05   2.942310324971e-06   3.481001826491e-05   6.080766240097e-06   1.010606590623e-07   1.010606590623e-07   1.299547500000e+07   1.299547500000e+07
  1.452095610920e+00   1.618063122779e+00   4.623131377591e-01   8.371382109687e-05   6.160773666361e-06   1.821575171691e-05  -1.021261222508e-05   2.422198216279e-08   2.422198216279e-08   5.422071600000e+07   5.422071600000e+07
  2.955824775231e+00   3.257063666365e+00   1.163091284710e+00   6.364987342474e-05  -1.528381092448e-05   1.215937754046e-06  -5.564309960813e-07   6.059283134047e-09   6.059283134047e-09   2.087141260000e+08   2.087141260000e+08
  6.016752640915e+00   6.648735661148e+00   1.875423325471e+00   3.072768955228e-05   7.353140797101e-06  -9.146728687321e-08   4.472405012877e-07   1.519140449020e-09   1.519140449020e-09   8.644670450000e+08   8.644670450000e+08
  1.224744871392e+01   1.340385383276e+01   2.577809676222e+00   2.088453759169e-05   5.876433943924e-06   2.361178152119e-06   1.263618790271e-06   3.825795957036e-10   3.825795957036e-10   3.305405832000e+09   3.305405832000e+09
  2.493039168338e+01   2.736382279770e+01   3.290262170996e+00   9.514215516966e-06   4.812373140779e-06   9.890557774118e-07   2.198807859393e-07   9.499863107081e-11   9.499863107081e-11   1.382239401600e+10   1.382239401600e+10
  5.074725716388e+01   5.615194964493e+01   4.009019138179e+00   5.137624640197e-06   4.019465289957e-06   9.332487146362e-07   6.136021796372e-07   2.368628975517e-11   2.368628975517e-11   5.542902025400e+10   5.542902025400e+10
  1.032989831192e+02   1.127271892924e+02   4.707014074933e+00   1.231053660216e-06   2.096698446312e-06  -2.769906196380e-07  -3.215926514311e-07   6.404856993625e-12   6.404856993625e-12   1.973661405100e+11   1.973661405100e+11
  2.102710670453e+02   2.278605874014e+02   5.409147501218e+00   4.802569275357e-07   1.333114944144e-06   3.210116211046e-07  -1.659118133858e-07   1.947241062485e-12   1.947241062485e-12   6.745725886150e+11   6.745725886150e+11
