#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip              npairs               weight          npairs_weighted   
  7.133649061081e-01   7.853419095082e-01  -2.587968126329e-01   7.106402490717e-05  -1.388739445963e-04   1.131502161673e-04  -1.762513842180e-05   5.191146164139e-05   5.350424000000e+06   7.838090411478e+08   4.131410267030e+06
  1.452095610920e+00   1.598882758186e+00   4.524978727000e-01   3.157735049653e-05  -4.182385094508e-06   4.333256342797e-05  -1.877102177509e-05   3.578972556512e-05   3.179162287507e+07   6.662357104911e+09   3.486913551868e+07
  2.955824775231e+00   3.254426946176e+00   1.163185199540e+00   2.397043201448e-05   1.371666890028e-05  -1.275180300574e-05   1.065972845833e-05   1.795509305650e-05   1.264617447167e+08   2.647779732417e+10   1.386304955153e+08
  6.016752640915e+00   6.626337093887e+00   1.874007881951e+00   4.037521837037e-06  -1.079660504554e-06   7.803835194451e-06   1.187399277021e-06   9.060656220695e-06   4.968952375779e+08   1.039942779816e+11   5.445957755473e+08
  1.224744871392e+01   1.350162665207e+01   2.585694294392e+00   1.470981211858e-06  -2.098812830413e-06  -3.184592440016e-07   9.058800386167e-07   4.535235977664e-06   1.984012716391e+09   4.150636978677e+11   2.174208882211e+09
  2.493039168338e+01   2.744909539070e+01   3.295062131406e+00  -3.693478195419e-07   6.556649332086e-07   2.321237110772e-06   1.643697840115e-06   2.282005501566e-06   7.848427477522e+09   1.639793079302e+12   8.595104487649e+09
  5.074725716388e+01   5.574852489929e+01   4.003384399452e+00   2.721517208828e-07  -5.567657369535e-07   1.103422901051e-06   1.829235174862e-06   1.171749994607e-06   2.987473125474e+10   6.226097719994e+12   3.267069583884e+10
  1.032989831192e+02   1.130280409956e+02   4.710024723039e+00   7.713361117463e-07   2.235278222260e-07  -2.918630741373e-07   2.990861309948e-07   6.179154071623e-07   1.079602906136e+11   2.246496375309e+13   1.178904737720e+11
  2.102710670453e+02   2.265269438804e+02   5.404727517230e+00  -4.275326128330e-08   2.132096501035e-07  -6.753834525763e-08  -2.962106712361e-08   3.605816910374e-07   3.260260399712e+11   6.724898402256e+13   3.529211634445e+11
