#obs	theta1	theta2			s1	s2	tomoi	tomoj	tomok	tomol	cov			covg		covng		covssc
xipxip	2.47e+00	2.47e+00	1	1	1		1		1		1		4.2660e-11	4.2603e-11	5.7207e-14	0.0000e+00
xipxip	2.47e+00	6.06e+01	1	1	1		1		1		1		3.2072e-14	2.7218e-14	4.8541e-15	0.0000e+00
xipxip	6.06e+01	2.47e+00	1	1	1		1		1		1		3.2072e-14	2.7218e-14	4.8541e-15	0.0000e+00
xipxip	6.06e+01	6.06e+01	1	1	1		1		1		1		9.3576e-14	9.2985e-14	5.9145e-16	0.0000e+00
xipxim	2.47e+00	2.47e+00	1	1	1		1		1		1		2.8983e-15	-1.2523e-15	4.1506e-15	0.0000e+00
xipxim	2.47e+00	6.06e+01	1	1	1		1		1		1		1.9029e-14	1.8793e-14	2.3552e-16	0.0000e+00
xipxim	6.06e+01	2.47e+00	1	1	1		1		1		1		3.0561e-15	1.7379e-18	3.0543e-15	0.0000e+00
xipxim	6.06e+01	6.06e+01	1	1	1		1		1		1		1.2163e-16	-1.7235e-16	2.9397e-16	0.0000e+00
ximxim	2.47e+00	2.47e+00	1	1	1		1		1		1		4.2248e-11	4.2247e-11	5.8799e-16	0.0000e+00
ximxim	2.47e+00	6.06e+01	1	1	1		1		1		1		2.1045e-16	2.6128e-17	1.8432e-16	0.0000e+00
ximxim	6.06e+01	2.47e+00	1	1	1		1		1		1		2.1045e-16	2.6128e-17	1.8432e-16	0.0000e+00
ximxim	6.06e+01	6.06e+01	1	1	1		1		1		1		7.3504e-14	7.3328e-14	1.7603e-16	0.0000e+00
