# dimensionless COSEBI weights for En in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.0001454441043328608
# number of COSEBI modes = 6
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 2.009972575973395337e+01
5.003199808146676641e-01 2.009512683918987008e+01
5.006401664047791522e-01 2.009052843968092361e+01
5.009605569013820814e-01 2.008593056120712816e+01
5.012811524356098891e-01 2.008133320376846598e+01
5.016019531386775032e-01 2.007673636736495837e+01
5.019229591418863379e-01 2.007214005199658757e+01
5.022441705766194087e-01 2.006754425766336780e+01
5.025655875743462175e-01 2.006294898436528840e+01
5.028872102666178678e-01 2.005835423210236002e+01
5.032090387850723934e-01 2.005376000087456489e+01
5.035310732614295404e-01 2.004916629068192080e+01
5.038533138274952083e-01 2.004457310152441707e+01
5.041757606151581195e-01 2.003998043340206436e+01
5.044984137563931492e-01 2.003538828631484847e+01
5.048212733832576626e-01 2.003079666026278360e+01
5.051443396278955111e-01 2.002620555524585910e+01
5.054676126225331467e-01 2.002161497126408207e+01
5.057910924994836188e-01 2.001702490831744541e+01
5.061147793911427994e-01 2.001243536640595622e+01
5.064386734299930470e-01 2.000784634552960739e+01
5.067627747485995426e-01 2.000325784568840959e+01
5.070870834796145088e-01 1.999866986688234860e+01
5.074115997557729907e-01 1.999408240911143864e+01
5.077363237098961868e-01 1.998949547237567259e+01
5.080612554748905607e-01 1.998490905667504691e+01
5.083863951837462869e-01 1.998032316200956870e+01
5.087117429695404702e-01 1.997573778837923086e+01
5.090372989654330382e-01 1.997115293578404405e+01
5.093630633046718481e-01 1.996656860422399049e+01
5.096890361205873576e-01 1.996198479369909151e+01
5.100152175465978432e-01 1.995740150420932935e+01
5.103416077162046260e-01 1.995281873575472176e+01
5.106682067629967348e-01 1.994823648833524743e+01
5.109950148206463538e-01 1.994365476195092413e+01
5.113220320229135973e-01 1.993907355660174119e+01
5.116492585036418461e-01 1.993449287228770928e+01
5.119766943967624107e-01 1.992991270900881418e+01
5.123043398362902012e-01 1.992533306676506655e+01
5.126321949563277247e-01 1.992075394555646284e+01
5.129602598910615319e-01 1.991617534538300660e+01
5.132885347747662141e-01 1.991159726624468718e+01
5.136170197417996297e-01 1.990701970814151878e+01
5.139457149266083436e-01 1.990244267107349074e+01
5.142746204637225205e-01 1.989786615504061018e+01
5.146037364877606990e-01 1.989329016004286999e+01
5.149330631334252395e-01 1.988871468608028081e+01
5.152626005355072092e-01 1.988413973315282846e+01
5.155923488288812750e-01 1.987956530126052712e+01
5.159223081485104778e-01 1.987499139040337326e+01
5.162524786294441226e-01 1.987041800058135266e+01
5.165828604068160024e-01 1.986584513179448308e+01
