# dimensionless COSEBI weights for En in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      T_-(theta)
5.000000000000001110e-01 -5.374310493541894118e+01
5.003199808146676641e-01 -5.344550426990436165e+01
5.006401664047791522e-01 -5.314789566781055186e+01
5.009605569013820814e-01 -5.285201596660935053e+01
5.012811524356098891e-01 -5.255841444311547406e+01
5.016019531386775032e-01 -5.226536422186294573e+01
5.019229591418863379e-01 -5.197272917161907202e+01
5.022441705766194087e-01 -5.168015453453267583e+01
5.025655875743462175e-01 -5.138928118338993301e+01
5.028872102666178678e-01 -5.110066583555366293e+01
5.032090387850723934e-01 -5.081254979939997440e+01
5.035310732614295404e-01 -5.052483256601932737e+01
5.038533138274952083e-01 -5.023716437765616405e+01
5.041757606151581195e-01 -4.995116117189226657e+01
5.044984137563931492e-01 -4.966740149382532366e+01
5.048212733832576626e-01 -4.938413017272808503e+01
5.051443396278955111e-01 -4.910124557645932697e+01
5.054676126225331467e-01 -4.881839896062427897e+01
5.057910924994836188e-01 -4.853718967278053498e+01
5.061147793911427994e-01 -4.825821619179782118e+01
5.064386734299930470e-01 -4.797972029707573682e+01
5.067627747485995426e-01 -4.770159922977356359e+01
5.070870834796145088e-01 -4.742350526154950074e+01
5.074115997557729907e-01 -4.714702122582333033e+01
5.077363237098961868e-01 -4.687276540255936652e+01
5.080612554748905607e-01 -4.659897657387893588e+01
5.083863951837462869e-01 -4.632555085379177484e+01
5.087117429695404702e-01 -4.605214153592839921e+01
5.090372989654330382e-01 -4.578031500873001391e+01
5.093630633046718481e-01 -4.551070922306649180e+01
5.096890361205873576e-01 -4.524156002025444678e+01
5.100152175465978432e-01 -4.497276238220330669e+01
5.103416077162046260e-01 -4.470397062556250489e+01
5.106682067629967348e-01 -4.443673477455521947e+01
5.109950148206463538e-01 -4.417171231623859740e+01
5.113220320229135973e-01 -4.390713620281881191e+01
5.116492585036418461e-01 -4.364290028246674780e+01
5.119766943967624107e-01 -4.337865990366815083e+01
5.123043398362902012e-01 -4.311594879780678014e+01
5.126321949563277247e-01 -4.285544384964693165e+01
5.129602598910615319e-01 -4.259537519303637509e+01
5.132885347747662141e-01 -4.233563551370591682e+01
5.136170197417996297e-01 -4.207588122140739983e+01
5.139457149266083436e-01 -4.181762980623541637e+01
5.142746204637225205e-01 -4.156157744053363245e+01
5.146037364877606990e-01 -4.130595146791290517e+01
5.149330631334252395e-01 -4.105064345257290626e+01
5.152626005355072092e-01 -4.079531082573954848e+01
5.155923488288812750e-01 -4.054145493348647733e+01
5.159223081485104778e-01 -4.028979109068501430e+01
5.162524786294441226e-01 -4.003854392274611484e+01
5.165828604068160024e-01 -3.978760384023797769e+01
5.169134536158490612e-01 -3.953662932619933201e+01
5.172442583918502867e-01 -3.928710565134066712e+01
5.175752748702153738e-01 -3.903976713960513223e+01
5.179065031864249491e-01 -3.879283574259648759e+01
5.182379434760479020e-01 -3.854620073515735612e+01
5.185695958747380541e-01 -3.829952164384270930e+01
5.189014605182381557e-01 -3.805426772454475071e+01
5.192335375423756672e-01 -3.781119219537235665e+01
5.195658270830673109e-01 -3.756851439465014408e+01
5.198983292763141861e-01 -3.732612243442644484e+01
5.202310442582069872e-01 -3.708367690791910576e+01
5.205639721649211182e-01 -3.684263113366426978e+01
5.208971131327214676e-01 -3.660375709141351308e+01
5.212304672979577447e-01 -3.636527153653887012e+01
5.215640347970693647e-01 -3.612706144568437594e+01
5.218978157665807860e-01 -3.588878846857434723e+01
5.222318103431056180e-01 -3.565189005586127280e+01
5.225660186633432902e-01 -3.541715680776297148e+01
5.229004408640828272e-01 -3.518280299467073746e+01
5.232350770821981856e-01 -3.494871441085434327e+01
5.235699274546530280e-01 -3.471455377844496581e+01
5.239049921184982805e-01 -3.448174276213865852e+01
5.242402712108712448e-01 -3.425109045992967793e+01
5.245757648689988173e-01 -3.402080868095704602e+01
5.249114732301941588e-01 -3.379078206079257995e+01
5.252473964318596922e-01 -3.356067439524362328e+01
5.255835346114843265e-01 -3.333189162372745784e+01
5.259198879066464549e-01 -3.310526121231325192e+01
5.262564564550108459e-01 -3.287899257399572406e+01
5.265932403943324180e-01 -3.265296917322053361e+01
5.269302398624520212e-01 -3.242685588530118679e+01
5.272674549973008773e-01 -3.220204299544788284e+01
5.276048859368962507e-01 -3.197937622132115365e+01
5.279425328193461109e-01 -3.175706261613198222e+01
5.282803957828444696e-01 -3.153498447135828897e+01
5.286184749656760440e-01 -3.131280776133419863e+01
5.289567705062115932e-01 -3.109190719873486941e+01
5.292952825429131369e-01 -3.087314657959936426e+01
5.296340112143286261e-01 -3.065473069075262913e+01
5.299729566590971608e-01 -3.043654065370296635e+01
5.303121190159442166e-01 -3.021824350719384356e+01
5.306514984236863075e-01 -3.000119845693529541e+01
5.309910950212265446e-01 -2.978628732169728011e+01
5.313309089475594105e-01 -2.957171260716698669e+01
5.316709403417655411e-01 -2.935735426987292129e+01
5.320111893430167216e-01 -2.914288044081007456e+01
5.323516560905736661e-01 -2.892963489323071258e+01
5.326923407237846853e-01 -2.871851729613241133e+01
5.330332433820891280e-01 -2.850772797690146376e+01
5.333743642050136069e-01 -2.829714570181135613e+01
5.337157033321763278e-01 -2.808643969578416488e+01
5.340572609032825380e-01 -2.787693838311962935e+01
5.343990370581289673e-01 -2.766955916136411986e+01
5.347410319365997200e-01 -2.746250020585974028e+01
5.350832456786707159e-01 -2.725563911284277552e+01
5.354256784244051381e-01 -2.704864620895131466e+01
5.357683303139579856e-01 -2.684283460961641410e+01
5.361112014875718534e-01 -2.663913933162148240e+01
5.364542920855811525e-01 -2.643575644944644409e+01
5.367976022484080012e-01 -2.623256238827331543e+01
5.371411321165666664e-01 -2.602922857544508872e+01
5.374848818306587894e-01 -2.582705291114270807e+01
5.378288515313787155e-01 -2.562698788192920674e+01
5.381730413595081641e-01 -2.542722753506717837e+01
5.385174514559212255e-01 -2.522764709963351848e+01
5.388620819615803637e-01 -2.502791911703759808e+01
5.392069330175399688e-01 -2.482932632897050951e+01
5.395520047649425832e-01 -2.463283858336604126e+01
5.398972973450230084e-01 -2.443664794168209298e+01
5.402428108991059741e-01 -2.424062844103764647e+01
5.405885455686055829e-01 -2.404445374089038978e+01
5.409345014950280861e-01 -2.384939149209952447e+01
5.412806788199684416e-01 -2.365642878602719179e+01
5.416270776851141999e-01 -2.346375573857064367e+01
5.419736982322415075e-01 -2.327124520358690063e+01
5.423205406032194364e-01 -2.307857194232488496e+01
5.426676049400057655e-01 -2.288698861784815364e+01
5.430148913846510883e-01 -2.269749940583598402e+01
5.433624000792948161e-01 -2.250829254805294255e+01
5.437101311661695080e-01 -2.231923970032956106e+01
5.440580847875965409e-01 -2.213001675080319330e+01
5.444062610859906615e-01 -2.194186141373933197e+01
5.447546602038555452e-01 -2.175579485096001164e+01
5.451032822837880154e-01 -2.157000347437737631e+01
5.454521274684741572e-01 -2.138435773506999027e+01
5.458011959006937586e-01 -2.119853465275405568e+01
5.461504877233154254e-01 -2.101375706880133265e+01
5.465000030793014663e-01 -2.083106300179632697e+01
5.468497421117037849e-01 -2.064863708232750383e+01
5.471997049636675436e-01 -2.046634855726211200e+01
5.475498917784277220e-01 -2.028387557927260687e+01
5.479003026993124470e-01 -2.010242619534521324e+01
5.482509378697416613e-01 -1.992305515405912786e+01
5.486017974332252356e-01 -1.974394534677210089e+01
5.489528815333672984e-01 -1.956496482700207551e+01
5.493041903138616844e-01 -1.938579286704212734e+01
5.496557239184960419e-01 -1.920762281320084242e+01
5.500074824911481697e-01 -1.903152599311669491e+01
5.503594661757903461e-01 -1.885568362882322901e+01
5.507116751164841117e-01 -1.867996255948450113e+01
5.510641094573861531e-01 -1.850404321402120189e+01
5.514167693427425299e-01 -1.832910424979157682e+01
5.517696549168943365e-01 -1.815623351690098986e+01
5.521227663242725958e-01 -1.798361056207793496e+01
5.524761037094029215e-01 -1.781110105057833692e+01
5.528296672169015213e-01 -1.763838654197682132e+01
5.531834569914789723e-01 -1.746663111791898615e+01
5.535374731779364454e-01 -1.729693898624442028e+01
5.538917159211699248e-01 -1.712748810807417499e+01
5.542461853661660998e-01 -1.695814292779343191e+01
5.546008816580062506e-01 -1.678858615836998780e+01
5.549558049418628070e-01 -1.661996736772803729e+01
5.553109553630029005e-01 -1.645340694964404804e+01
5.556663330667847012e-01 -1.628708140416102168e+01
5.560219381986613030e-01 -1.612085395953555178e+01
5.563777709041769493e-01 -1.595440846468871854e+01
5.567338313289705853e-01 -1.578887998189136255e+01
5.570901196187743043e-01 -1.562540512047606711e+01
5.574466359194121257e-01 -1.546215884158637266e+01
5.578033803768028820e-01 -1.529900314639456838e+01
5.581603531369574434e-01 -1.513562304614247012e+01
5.585175543459817149e-01 -1.497313927951965695e+01
5.588749841500733062e-01 -1.481270437977572385e+01
5.592326426955251950e-01 -1.465249189699084553e+01
5.595905301287219524e-01 -1.449236261913133461e+01
5.599486465961441839e-01 -1.433200271434294137e+01
5.603069922443637552e-01 -1.417251860334231139e+01
5.606655672200488993e-01 -1.401507871797433324e+01
5.610243716699591099e-01 -1.385785517061377448e+01
5.613834057409502476e-01 -1.370070760973045765e+01
5.617426695799698777e-01 -1.354332329064010310e+01
5.621021633340618218e-01 -1.338679444111894412e+01
5.624618871503618278e-01 -1.323230520147185274e+01
5.628218411761020112e-01 -1.307802641123093679e+01
5.631820255586065249e-01 -1.292381640994807412e+01
5.635424404452957781e-01 -1.276936369649768466e+01
5.639030859836825504e-01 -1.261574628438754786e+01
5.642639623213763223e-01 -1.246416396477230393e+01
5.646250696060786112e-01 -1.231278627797384928e+01
5.649864079855870802e-01 -1.216147034241619451e+01
5.653479776077942054e-01 -1.200990582756197256e+01
5.657097786206853884e-01 -1.185915663734547820e+01
5.660718111723429535e-01 -1.171043808195072700e+01
5.664340754109413734e-01 -1.156191846476606599e+01
5.667965714847528202e-01 -1.141345367209328288e+01
5.671592995421417260e-01 -1.126473454844582989e+01
5.675222597315697781e-01 -1.111681102427954215e+01
5.678854522015915895e-01 -1.097091360839493746e+01
5.682488771008588069e-01 -1.082520962045963842e+01
5.686125345781160023e-01 -1.067955363115473943e+01
5.689764247822054477e-01 -1.053363758088705282e+01
5.693405478620623406e-01 -1.038849756181545558e+01
5.697049039667193560e-01 -1.024537944372367804e+01
5.700694932453019836e-01 -1.010244928315700719e+01
5.704343158470340791e-01 -9.959560262117662433e+00
5.707993719212320904e-01 -9.816405904078656874e+00
5.711646616173108315e-01 -9.674007975269368842e+00
5.715301850847780418e-01 -9.533627681544317056e+00
5.718959424732396046e-01 -9.393429896802146573e+00
5.722619339323949950e-01 -9.253266809041974739e+00
5.726281596120413875e-01 -9.112832809787015265e+00
5.729946196620697707e-01 -8.973136074583734967e+00
5.733613142324696099e-01 -8.835452757993280670e+00
5.737282434733235181e-01 -8.697946694331442075e+00
5.740954075348121410e-01 -8.560468835473550087e+00
5.744628065672126027e-01 -8.422714753770314644e+00
5.748304407208956190e-01 -8.285678868419559251e+00
5.751983101463312709e-01 -8.150652256669339124e+00
5.755664149940833418e-01 -8.015797732301855660e+00
5.759347554148140924e-01 -7.880965022147577770e+00
5.763033315592800410e-01 -7.745850897114536338e+00
5.766721435783365157e-01 -7.611436063062662072e+00
5.770411916229331029e-01 -7.479026407448863267e+00
5.774104758441180874e-01 -7.346783803582063399e+00
5.777799963930344562e-01 -7.214556727541662440e+00
5.781497534209238953e-01 -7.082043123461986056e+00
5.785197470791229035e-01 -6.950210116110788761e+00
5.788899775190666785e-01 -6.820378236367943714e+00
5.792604448922855642e-01 -6.690708454775254665e+00
5.796311493504087142e-01 -6.561048004684366219e+00
5.800020910451604284e-01 -6.431096061482016069e+00
5.803732701283639273e-01 -6.301806157355862581e+00
5.807446867519377998e-01 -6.174513394120602072e+00
5.811163410678998886e-01 -6.047377890245670073e+00
5.814882332283628497e-01 -5.920245632954276971e+00
5.818603633855394808e-01 -5.792816980766389179e+00
5.822327316917371709e-01 -5.666032003792224714e+00
5.826053382993628960e-01 -5.541240232115647757e+00
5.829781833609207764e-01 -5.416600979364382340e+00
5.833512670290111890e-01 -5.291958977831704658e+00
5.837245894563343196e-01 -5.167015923228426288e+00
5.840981507956857222e-01 -5.042698197102815527e+00
5.844719511999612038e-01 -4.920369805013777409e+00
5.848459908221517178e-01 -4.798189090471311147e+00
5.852202698153489147e-01 -4.676000035835151891e+00
5.855947883327399239e-01 -4.553505033369603439e+00
5.859695465276119064e-01 -4.431617463995415562e+00
5.863445445533485012e-01 -4.311715383935386114e+00
5.867197825634331565e-01 -4.191956614770276701e+00
5.870952607114455768e-01 -4.072183495432724953e+00
5.874709791510659418e-01 -3.952099789306160460e+00
5.878469380360705765e-01 -3.832605712594364888e+00
5.882231375203363921e-01 -3.715093348740332146e+00
5.885995777578364452e-01 -3.597719861074587300e+00
5.889762589026449335e-01 -3.480326233434084315e+00
5.893531811089318673e-01 -3.362617667871553806e+00
5.897303445309687309e-01 -3.245480963603320390e+00
5.901077493231230431e-01 -3.130322236512988354e+00
5.904853956398637971e-01 -3.015298033804214128e+00
5.908632836357560203e-01 -2.900248082080878476e+00
5.912414134654658815e-01 -2.784878800191115999e+00
5.916197852837581372e-01 -2.670063831867437898e+00
5.919983992454952437e-01 -2.557223161840362025e+00
5.923772555056406874e-01 -2.444512752759329999e+00
5.927563542192550994e-01 -2.331771075539450067e+00
5.931356955415004739e-01 -2.218705769171180009e+00
5.935152796276360609e-01 -2.106177395630027149e+00
5.938951066330223627e-01 -1.995619685431350376e+00
5.942751767131173590e-01 -1.885188069241877429e+00
5.946554900234807262e-01 -1.774719752153650631e+00
5.950360467197691738e-01 -1.663923604769870224e+00
5.954168469577416634e-01 -1.553647168133487355e+00
5.957978908932543005e-01 -1.445337804284910987e+00
5.961791786822653316e-01 -1.337150455398862903e+00
5.965607104808304806e-01 -1.228921061802331849e+00
5.969424864451076118e-01 -1.120359734419302811e+00
5.973245067313524004e-01 -1.012301051808726982e+00
5.977067714959225508e-01 -9.062058960832786170e-01
5.980892808952735784e-01 -8.002287648975254797e-01
5.984720350859638049e-01 -6.942043358478713344e-01
5.988550342246489189e-01 -5.878439556420715917e-01
5.992382784680874153e-01 -4.819693233351713957e-01
5.996217679731357109e-01 -3.780547051862157559e-01
6.000055028967532511e-01 -2.742542093747886156e-01
6.003894833959970700e-01 -1.704012597457591482e-01
6.007737096280267863e-01 -6.620841389726450643e-02
6.011581817501026048e-01 3.751542034555654936e-02
6.015428999195835402e-01 1.392827058007952701e-01
6.019278642939316359e-01 2.409396820441216391e-01
6.023130750307073011e-01 3.426541862131458061e-01
6.026985322875744178e-01 4.447124341269912406e-01
6.030842362222950115e-01 5.463182699267861153e-01
6.034701869927346918e-01 6.459709649337384008e-01
6.038563847568577669e-01 7.455170860377435815e-01
6.042428296727317960e-01 8.451257278307835463e-01
6.046295218985231479e-01 9.450818715749491616e-01
6.050164615925019973e-01 1.044602030711409668e+00
6.054036489130372178e-01 1.142172432401402205e+00
