# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# number of COSEBI modes = 20
# theta[arcmin]      T_-(theta)
5.000000000000001110e-01 -3.037152048835653062e+01
5.003199808146676641e-01 -2.901940390025514915e+01
5.006401664047791522e-01 -2.769789858918889536e+01
5.009605569013820814e-01 -2.640672393327174916e+01
5.012811524356098891e-01 -2.514540733009666695e+01
5.016019531386775032e-01 -2.391327062025345640e+01
5.019229591418863379e-01 -2.270982519868510252e+01
5.022441705766194087e-01 -2.153469991184101673e+01
5.025655875743462175e-01 -2.038763134177060365e+01
5.028872102666178678e-01 -1.926818677924285339e+01
5.032090387850723934e-01 -1.817572170599088821e+01
5.035310732614295404e-01 -1.710976906611355020e+01
5.038533138274952083e-01 -1.606997784482901181e+01
5.041757606151581195e-01 -1.505610245639423006e+01
5.044984137563931492e-01 -1.406773845506278775e+01
5.048212733832576626e-01 -1.310427939707055067e+01
5.051443396278955111e-01 -1.216528504846213821e+01
5.054676126225331467e-01 -1.125042484338567128e+01
5.057910924994836188e-01 -1.035946693917821726e+01
5.061147793911427994e-01 -9.492030177247983147e+00
5.064386734299930470e-01 -8.647543511181023490e+00
5.067627747485995426e-01 -7.825592305531897885e+00
5.070870834796145088e-01 -7.025865475563703555e+00
5.074115997557729907e-01 -6.248144306034276951e+00
5.077363237098961868e-01 -5.492069810611072356e+00
5.080612554748905607e-01 -4.757104744606431623e+00
5.083863951837462869e-01 -4.042858896467991237e+00
5.087117429695404702e-01 -3.349039732069586162e+00
5.090372989654330382e-01 -2.675441071036648299e+00
5.093630633046718481e-01 -2.021725026740217590e+00
5.096890361205873576e-01 -1.387386624133227997e+00
5.100152175465978432e-01 -7.720589415373582121e-01
5.103416077162046260e-01 -1.754671044801749957e-01
5.106682067629967348e-01 4.025831059834117376e-01
5.109950148206463538e-01 9.624095008637809645e-01
5.113220320229135973e-01 1.504486266299430275e+00
5.116492585036418461e-01 2.029158120799313458e+00
5.119766943967624107e-01 2.536683136421745033e+00
5.123043398362902012e-01 3.027244122822089878e+00
5.126321949563277247e-01 3.501139797561932721e+00
5.129602598910615319e-01 3.958814982280282280e+00
5.132885347747662141e-01 4.400593238921985062e+00
5.136170197417996297e-01 4.826716657693735257e+00
5.139457149266082325e-01 5.237357172933890581e+00
5.142746204637225205e-01 5.632795348008416525e+00
5.146037364877606990e-01 6.013448012384207786e+00
5.149330631334252395e-01 6.379618577066601404e+00
5.152626005355072092e-01 6.731533938315638288e+00
5.155923488288812750e-01 7.069355668738630527e+00
5.159223081485104778e-01 7.393347077862789440e+00
5.162524786294441226e-01 7.703898323720974162e+00
5.165828604068160024e-01 8.001293632541301548e+00
5.169134536158490612e-01 8.285745462236274506e+00
5.172442583918502867e-01 8.557405518482937623e+00
5.175752748702153738e-01 8.816520718813833923e+00
5.179065031864249491e-01 9.063455820718443690e+00
5.182379434760479020e-01 9.298476794326170136e+00
5.185695958747380541e-01 9.521782383185605880e+00
5.189014605182381557e-01 9.733514902944135017e+00
5.192335375423756672e-01 9.933905703564244405e+00
5.195658270830673109e-01 1.012329536579998646e+01
5.198983292763141861e-01 1.030193249429296110e+01
5.202310442582069872e-01 1.047000281319708925e+01
5.205639721649211182e-01 1.062763970675165126e+01
5.208971131327214676e-01 1.077505974628258656e+01
5.212304672979577447e-01 1.091258051192180822e+01
5.215640347970693647e-01 1.104043410044549312e+01
5.218978157665807860e-01 1.115879388006214512e+01
5.222318103431056180e-01 1.126778474594841128e+01
5.225660186633432902e-01 1.136760924611706081e+01
5.229004408640828272e-01 1.145856309112311067e+01
5.232350770821981856e-01 1.154086269113387608e+01
5.235699274546530280e-01 1.161466969648942360e+01
5.239049921184982805e-01 1.168010093752111800e+01
5.242402712108712448e-01 1.173734566088073450e+01
5.245757648689988173e-01 1.178667879521930395e+01
5.249114732301941588e-01 1.182830185349000907e+01
5.252473964318596922e-01 1.186236537762941623e+01
5.255835346114843265e-01 1.188897854171487012e+01
5.259198879066464549e-01 1.190831798135764252e+01
5.262564564550108459e-01 1.192063888881373401e+01
5.265932403943324180e-01 1.192612863658719213e+01
5.269302398624520212e-01 1.192492724228216971e+01
5.272674549973008773e-01 1.191713661590876505e+01
5.276048859368962507e-01 1.190292144241746186e+01
5.279425328193461109e-01 1.188251818176190788e+01
5.282803957828444696e-01 1.185610079229662261e+01
5.286184749656760440e-01 1.182379932611249274e+01
5.289567705062115932e-01 1.178570880591162329e+01
5.292952825429131369e-01 1.174198259705725178e+01
5.296340112143286261e-01 1.169283939171251241e+01
5.299729566590971608e-01 1.163844043048873012e+01
5.303121190159442166e-01 1.157890633462580077e+01
5.306514984236863075e-01 1.151432560120007054e+01
5.309910950212265446e-01 1.144484087910960923e+01
5.313309089475594105e-01 1.137065401884462368e+01
5.316709403417655411e-01 1.129191421088477121e+01
5.320111893430167216e-01 1.120873315691320471e+01
5.323516560905736661e-01 1.112117690146570759e+01
5.326923407237846853e-01 1.102937472841885835e+01
5.330332433820891280e-01 1.093358211431313443e+01
5.333743642050136069e-01 1.083387621624000730e+01
5.337157033321763278e-01 1.073043075796597101e+01
5.340572609032825380e-01 1.062325670847216408e+01
5.343990370581289673e-01 1.051236519778132283e+01
5.347410319365997200e-01 1.039802568216058631e+01
5.350832456786707159e-01 1.028045332330561479e+01
5.354256784244051381e-01 1.015987092366592748e+01
5.357683303139579856e-01 1.003608694499617116e+01
5.361112014875718534e-01 9.908959336871882684e+00
5.364542920855811525e-01 9.779026874128783575e+00
5.367976022484080012e-01 9.646480846182464930e+00
5.371411321165666664e-01 9.511580724482822546e+00
5.374848818306587894e-01 9.373964071806790699e+00
5.378288515313787155e-01 9.233349941378291348e+00
5.381730413595081641e-01 9.090521279744500305e+00
5.385174514559212255e-01 8.945646516948636773e+00
5.388620819615803637e-01 8.799017526072754336e+00
5.392069330175399688e-01 8.650122040652572508e+00
5.395520047649425832e-01 8.498549737641324597e+00
5.398972973450230084e-01 8.345303355587422089e+00
5.402428108991059741e-01 8.190529487766418981e+00
5.405885455686055829e-01 8.034548306910464177e+00
5.409345014950280861e-01 7.876717455303372972e+00
5.412806788199684416e-01 7.716508784923844289e+00
5.416270776851141999e-01 7.555114864540735553e+00
5.419736982322415075e-01 7.392668349114519089e+00
5.423205406032194364e-01 7.229511558138164595e+00
5.426676049400057655e-01 7.064890288990502754e+00
5.430148913846510883e-01 6.898174424582969699e+00
5.433624000792948161e-01 6.730704515110266684e+00
5.437101311661695080e-01 6.562620238233986214e+00
5.440580847875965409e-01 6.394275783815192682e+00
5.444062610859906615e-01 6.224821939534155746e+00
5.447546602038555452e-01 6.053535119468457459e+00
5.451032822837880154e-01 5.881884981371142018e+00
5.454521274684741572e-01 5.710017347398968823e+00
5.458011959006937586e-01 5.538295501424451928e+00
5.461504877233154254e-01 5.365790725973114128e+00
5.465000030793014663e-01 5.191694370401577885e+00
5.468497421117037849e-01 5.017587398117621333e+00
5.471997049636675436e-01 4.843620925526677112e+00
5.475498917784277220e-01 4.670164755684981017e+00
5.479003026993124470e-01 4.496224912921761074e+00
