# Psi stats weights for ggl in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      Q(theta)
5.000000000000000000e-01 -2.362881751490673060e-05
5.003199808146676641e-01 -2.355772197135858713e-05
5.006401664047791522e-01 -2.355728168439847798e-05
5.009605569013820814e-01 -2.349635177673764586e-05
5.012811524356098891e-01 -2.349598803570737915e-05
5.016019531386775032e-01 -2.343513716521500949e-05
5.019229591418863379e-01 -2.343484976875261734e-05
5.022441705766194087e-01 -2.337407773758908133e-05
5.025655875743462175e-01 -2.337386648484012785e-05
5.028872102666178678e-01 -2.331317309567670665e-05
5.032090387850723934e-01 -2.331303778629280053e-05
5.035310732614295404e-01 -2.325242284231059426e-05
5.038533138274952083e-01 -2.325236327644825715e-05
5.041757606151581195e-01 -2.319182658133642983e-05
5.044984137563931492e-01 -2.319184255965582578e-05
5.048212733832576626e-01 -2.313138391761057199e-05
5.051443396278955111e-01 -2.313147524127411153e-05
5.054676126225331467e-01 -2.307109445699752473e-05
5.057910924994836188e-01 -2.307126092766865195e-05
5.061147793911427994e-01 -2.301095780636684408e-05
5.064386734299930470e-01 -2.301119922620863053e-05
5.067627747485995426e-01 -2.295097357359145759e-05
5.070870834796145088e-01 -2.295128974526536222e-05
5.074115997557729907e-01 -2.289114136754417453e-05
5.077363237098961868e-01 -2.289153209420888497e-05
5.080612554748905607e-01 -2.283146079809548364e-05
5.083863951837462869e-01 -2.283192588340552366e-05
5.087117429695404702e-01 -2.277193147611138131e-05
5.090372989654330382e-01 -2.277247072421588093e-05
5.093630633046718481e-01 -2.271255301345024771e-05
5.096890361205873576e-01 -2.271316622899161169e-05
5.100152175465978432e-01 -2.265332502296069878e-05
5.103416077162046260e-01 -2.265401201107331570e-05
5.106682067629967348e-01 -2.259424711847874350e-05
5.109950148206463538e-01 -2.259500768478782366e-05
5.113220320229135973e-01 -2.253531891482558167e-05
5.116492585036418461e-01 -2.253615286544588653e-05
5.119766943967624107e-01 -2.247654002780488661e-05
5.123043398362902012e-01 -2.247744716933930577e-05
5.126321949563277247e-01 -2.241791007420011834e-05
5.129602598910615319e-01 -2.241889021373863619e-05
5.132885347747662141e-01 -2.235942867177260595e-05
5.136170197417996297e-01 -2.236048161689091588e-05
5.139457149266083436e-01 -2.230109543925837289e-05
5.142746204637225205e-01 -2.230222099801668469e-05
5.146037364877606990e-01 -2.224290999636602617e-05
5.149330631334252395e-01 -2.224410797730771078e-05
5.152626005355072092e-01 -2.218487196377423557e-05
5.155923488288812750e-01 -2.218614217592480525e-05
5.159223081485104778e-01 -2.212698096312911127e-05
5.162524786294441226e-01 -2.212832321599460345e-05
5.165828604068160024e-01 -2.206923661704193038e-05
5.169134536158490612e-01 -2.207065072060810130e-05
5.172442583918502867e-01 -2.201163854908632817e-05
5.175752748702153738e-01 -2.201312431381719260e-05
5.179065031864249491e-01 -2.195418638379636350e-05
5.182379434760479020e-01 -2.195574362063292754e-05
