# COSEBI weights for En in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.0001454441043328608
# number of COSEBI modes = 6
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 -1.362150262454037275e+01
5.003199808146676641e-01 -1.359723062811247551e+01
5.006401664047791522e-01 -1.357298277525266883e+01
5.009605569013820814e-01 -1.354875905094553268e+01
5.012811524356098891e-01 -1.352455944018104717e+01
5.016019531386775032e-01 -1.350038392795491937e+01
5.019229591418863379e-01 -1.347623249926821032e+01
5.022441705766194087e-01 -1.345210513912771155e+01
5.025655875743462175e-01 -1.342800183254557922e+01
5.028872102666178678e-01 -1.340392256453969821e+01
5.032090387850723934e-01 -1.337986732013329139e+01
5.035310732614295404e-01 -1.335583608435531566e+01
5.038533138274952083e-01 -1.333182884224012632e+01
5.041757606151581195e-01 -1.330784557882773100e+01
5.044984137563931492e-01 -1.328388627916354636e+01
5.048212733832576626e-01 -1.325995092829867517e+01
5.051443396278955111e-01 -1.323603951128960432e+01
5.054676126225331467e-01 -1.321215201319850863e+01
5.057910924994836188e-01 -1.318828841909294702e+01
5.061147793911427994e-01 -1.316444871404615036e+01
5.064386734299930470e-01 -1.314063288313675137e+01
5.067627747485995426e-01 -1.311684091144905828e+01
5.070870834796145088e-01 -1.309307278407275099e+01
5.074115997557729907e-01 -1.306932848610318842e+01
5.077363237098961868e-01 -1.304560800264117049e+01
5.080612554748905607e-01 -1.302191131879300556e+01
5.083863951837462869e-01 -1.299823841967062776e+01
5.087117429695404702e-01 -1.297458929039136422e+01
5.090372989654330382e-01 -1.295096391607823705e+01
5.093630633046718481e-01 -1.292736228185959746e+01
5.096890361205873576e-01 -1.290378437286950941e+01
5.100152175465978432e-01 -1.288023017424738192e+01
5.103416077162046260e-01 -1.285669967113831369e+01
5.106682067629967348e-01 -1.283319284869276089e+01
5.109950148206463538e-01 -1.280970969206686405e+01
5.113220320229135973e-01 -1.278625018642211586e+01
5.116492585036418461e-01 -1.276281431692568802e+01
5.119766943967624107e-01 -1.273940206875010972e+01
5.123043398362902012e-01 -1.271601342707357674e+01
5.126321949563277247e-01 -1.269264837707966720e+01
5.129602598910615319e-01 -1.266930690395760095e+01
5.132885347747662141e-01 -1.264598899290195355e+01
5.136170197417996297e-01 -1.262269462911300799e+01
5.139457149266083436e-01 -1.259942379779635679e+01
5.142746204637225205e-01 -1.257617648416328215e+01
5.146037364877606990e-01 -1.255295267343040955e+01
5.149330631334252395e-01 -1.252975235082003991e+01
5.152626005355072092e-01 -1.250657550155980324e+01
5.155923488288812750e-01 -1.248342211088302278e+01
5.159223081485104778e-01 -1.246029216402838280e+01
5.162524786294441226e-01 -1.243718564624008138e+01
5.165828604068160024e-01 -1.241410254276795300e+01
5.169134536158490612e-01 -1.239104283886714875e+01
5.172442583918502867e-01 -1.236800651979849341e+01
5.175752748702153738e-01 -1.234499357082816928e+01
5.179065031864249491e-01 -1.232200397722797192e+01
5.182379434760479020e-01 -1.229903772427509345e+01
5.185695958747380541e-01 -1.227609479725234465e+01
5.189014605182381557e-01 -1.225317518144789020e+01
5.192335375423756672e-01 -1.223027886215553650e+01
5.195658270830673109e-01 -1.220740582467442614e+01
5.198983292763141861e-01 -1.218455605430937716e+01
5.202310442582069872e-01 -1.216172953637051890e+01
5.205639721649211182e-01 -1.213892625617363841e+01
5.208971131327214676e-01 -1.211614619903985712e+01
5.212304672979577447e-01 -1.209338935029594531e+01
5.215640347970693647e-01 -1.207065569527399695e+01
5.218978157665807860e-01 -1.204794521931174778e+01
5.222318103431056180e-01 -1.202525790775230341e+01
5.225660186633432902e-01 -1.200259374594436146e+01
5.229004408640828272e-01 -1.197995271924196103e+01
5.232350770821981856e-01 -1.195733481300480605e+01
5.235699274546530280e-01 -1.193474001259793837e+01
5.239049921184982805e-01 -1.191216830339190835e+01
5.242402712108712448e-01 -1.188961967076283699e+01
5.245757648689988173e-01 -1.186709410009220811e+01
5.249114732301941588e-01 -1.184459157676708330e+01
5.252473964318596922e-01 -1.182211208617991360e+01
5.255835346114843265e-01 -1.179965561372872074e+01
