# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 0.5
# number of COSEBI modes = 20
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 2.974756906427536052e+01
5.003199808146676641e-01 2.868582553541371993e+01
5.006401664047791522e-01 2.764334976319013037e+01
5.009605569013820814e-01 2.661990745068175457e+01
5.012811524356098891e-01 2.561526643207416143e+01
5.016019531386775032e-01 2.462919665731780938e+01
5.019229591418863379e-01 2.366147017684549070e+01
5.022441705766194087e-01 2.271186112641069244e+01
5.025655875743462175e-01 2.178014571198602312e+01
5.028872102666178678e-01 2.086610219478014727e+01
5.032090387850723934e-01 1.996951087631382649e+01
5.035310732614295404e-01 1.909015408361469923e+01
5.038533138274952083e-01 1.822781615447281567e+01
5.041757606151581195e-01 1.738228342280535088e+01
5.044984137563931492e-01 1.655334420409049301e+01
5.048212733832576626e-01 1.574078878090653610e+01
5.051443396278955111e-01 1.494440938853740164e+01
5.054676126225331467e-01 1.416400020068413745e+01
5.057910924994836188e-01 1.339935731524220053e+01
5.061147793911427994e-01 1.265027874018273835e+01
5.064386734299930470e-01 1.191656437950070924e+01
5.067627747485995426e-01 1.119801601926425505e+01
5.070870834796145088e-01 1.049443731372988253e+01
5.074115997557729907e-01 9.805633771559874035e+00
5.077363237098961868e-01 9.131412742105897706e+00
5.080612554748905607e-01 8.471583401784540612e+00
5.083863951837462869e-01 7.825956740535943368e+00
5.087117429695404702e-01 7.194345548354548647e+00
5.090372989654330382e-01 6.576564401915685920e+00
5.093630633046718481e-01 5.972429651265054318e+00
5.096890361205873576e-01 5.381759406608632723e+00
5.100152175465978432e-01 4.804373525162839442e+00
5.103416077162046260e-01 4.240093598102669503e+00
5.106682067629967348e-01 3.688742937572198954e+00
5.109950148206463538e-01 3.150146563789977261e+00
5.113220320229135973e-01 2.624131192217026509e+00
5.116492585036418461e-01 2.110525220818564307e+00
5.119766943967624107e-01 1.609158717388220694e+00
5.123043398362902012e-01 1.119863406963815144e+00
5.126321949563277247e-01 6.424726593070525515e-01
5.129602598910615319e-01 1.768214764711368292e-01
5.132885347747662141e-01 -2.772535195666080421e-01
5.136170197417996297e-01 -7.199140991839029224e-01
5.139457149266082325e-01 -1.151320437331475377e+00
5.142746204637225205e-01 -1.571631125662514838e+00
5.146037364877606990e-01 -1.981003184598616906e+00
5.149330631334252395e-01 -2.379592075312324972e+00
5.152626005355072092e-01 -2.767551711645606538e+00
5.155923488288812750e-01 -3.145034471943541465e+00
5.159223081485104778e-01 -3.512191210826669074e+00
5.162524786294441226e-01 -3.869171270882403313e+00
5.165828604068160024e-01 -4.216122494284949340e+00
5.169134536158490612e-01 -4.553191234350042471e+00
5.172442583918502867e-01 -4.880522367007815276e+00
5.175752748702153738e-01 -5.198259302214597533e+00
5.179065031864249491e-01 -5.506543995285362314e+00
5.182379434760479020e-01 -5.805516958162685981e+00
5.185695958747380541e-01 -6.095317270609308835e+00
5.189014605182381557e-01 -6.376082591337631555e+00
5.192335375423756672e-01 -6.647949169062552066e+00
5.195658270830673109e-01 -6.911051853492826247e+00
5.198983292763141861e-01 -7.165524106245924507e+00
5.202310442582069872e-01 -7.411498011702691180e+00
5.205639721649211182e-01 -7.649104287786187228e+00
5.208971131327214676e-01 -7.878472296680166131e+00
5.212304672979577447e-01 -8.099730055473486345e+00
5.215640347970693647e-01 -8.313004246744256420e+00
5.218978157665807860e-01 -8.518420229070981620e+00
5.222318103431056180e-01 -8.716102047483248683e+00
5.225660186633432902e-01 -8.906172443841812836e+00
5.229004408640828272e-01 -9.088752867157440463e+00
5.232350770821981856e-01 -9.263963483839711799e+00
5.235699274546530280e-01 -9.431923187886260607e+00
5.239049921184982805e-01 -9.592749611003455357e+00
5.242402712108712448e-01 -9.746559132663977110e+00
5.245757648689988173e-01 -9.893466890102377675e+00
5.249114732301941588e-01 -1.003358678824410966e+01
5.252473964318596922e-01 -1.016703150957422253e+01
5.255835346114843265e-01 -1.029391252394075273e+01
5.259198879066464549e-01 -1.041434009829793261e+01
5.262564564550108459e-01 -1.052842330638486423e+01
5.265932403943324180e-01 -1.063627003834482920e+01
5.269302398624520212e-01 -1.073798701028030855e+01
5.272674549973008773e-01 -1.083367977374964219e+01
5.276048859368962507e-01 -1.092345272520005750e+01
5.279425328193461109e-01 -1.100740911534275668e+01
5.282803957828444696e-01 -1.108565105846519039e+01
5.286184749656760440e-01 -1.115827954168580938e+01
5.289567705062115932e-01 -1.122539443414695981e+01
5.292952825429131369e-01 -1.128709449615065630e+01
5.296340112143286261e-01 -1.134347738823320206e+01
5.299729566590971608e-01 -1.139463968018315398e+01
5.303121190159442166e-01 -1.144067685999915440e+01
5.306514984236863075e-01 -1.148168334279121616e+01
5.309910950212265446e-01 -1.151775247962295801e+01
5.313309089475594105e-01 -1.154897656629755787e+01
5.316709403417655411e-01 -1.157544685208546298e+01
5.320111893430167216e-01 -1.159725354839629929e+01
5.323516560905736661e-01 -1.161448583739351470e+01
5.326923407237846853e-01 -1.162723188055302082e+01
5.330332433820891280e-01 -1.163557882716608738e+01
5.333743642050136069e-01 -1.163961282278630627e+01
5.337157033321763278e-01 -1.163941901762146713e+01
5.340572609032825380e-01 -1.163508157487023276e+01
5.343990370581289673e-01 -1.162668367900413813e+01
5.347410319365997200e-01 -1.161430754399518506e+01
5.350832456786707159e-01 -1.159803442148912112e+01
5.354256784244051381e-01 -1.157794460892511168e+01
5.357683303139579856e-01 -1.155411745760148534e+01
5.361112014875718534e-01 -1.152663138068861670e+01
5.364542920855811525e-01 -1.149556386118830176e+01
5.367976022484080012e-01 -1.146099145984100254e+01
5.371411321165666664e-01 -1.142298982297996268e+01
5.374848818306587894e-01 -1.138163369033403072e+01
5.378288515313787155e-01 -1.133699690277755323e+01
5.381730413595081641e-01 -1.128915241002991721e+01
5.385174514559212255e-01 -1.123817227830248555e+01
5.388620819615803637e-01 -1.118412769789570227e+01
5.392069330175399688e-01 -1.112708899074437419e+01
5.395520047649425832e-01 -1.106712561791358240e+01
5.398972973450230084e-01 -1.100430618704313446e+01
5.402428108991059741e-01 -1.093869845974311872e+01
5.405885455686055829e-01 -1.087036935893955913e+01
5.409345014950280861e-01 -1.079938497617001758e+01
5.412806788199684416e-01 -1.072581057883128430e+01
5.416270776851141999e-01 -1.064971061737674596e+01
5.419736982322415075e-01 -1.057114873246680631e+01
5.423205406032194364e-01 -1.049018776206919590e+01
5.426676049400057655e-01 -1.040688974851310533e+01
5.430148913846510883e-01 -1.032131594549365516e+01
5.433624000792948161e-01 -1.023352682503071520e+01
5.437101311661695080e-01 -1.014358208437845299e+01
5.440580847875965409e-01 -1.005154065288999909e+01
5.444062610859906615e-01 -9.957460698833127566e+00
5.447546602038555452e-01 -9.861399636161765514e+00
5.451032822837880154e-01 -9.763414131238963733e+00
5.454521274684741572e-01 -9.663560109516083685e+00
5.458011959006937586e-01 -9.561892762163937576e+00
5.461504877233154254e-01 -9.458466552661100479e+00
5.465000030793014663e-01 -9.353335223334175552e+00
5.468497421117037849e-01 -9.246551801855709130e+00
5.471997049636675436e-01 -9.138168607695071444e+00
5.475498917784277220e-01 -9.028237258527013864e+00
5.479003026993124470e-01 -8.916808676593898753e+00
5.482509378697416613e-01 -8.803933095025392674e+00
5.486017974332252356e-01 -8.689660064114606897e+00
5.489528815333672984e-01 -8.574038457548752490e+00
5.493041903138616844e-01 -8.457116478599385090e+00
5.496557239184960419e-01 -8.338941666266830310e+00
5.500074824911481697e-01 -8.219560901384390661e+00
5.503594661757903461e-01 -8.099020412677333525e+00
5.507116751164841117e-01 -7.977365782782818826e+00
5.510641094573861531e-01 -7.854641954223984257e+00
5.514167693427425299e-01 -7.730893235346188774e+00
5.517696549168943365e-01 -7.606163306207716523e+00
5.521227663242725958e-01 -7.480495224432897494e+00
5.524761037094029215e-01 -7.353931431020619414e+00
5.528296672169015213e-01 -7.226513756115066300e+00
5.531834569914789723e-01 -7.098283424732978020e+00
5.535374731779364454e-01 -6.969281062453214659e+00
5.538917159211699248e-01 -6.839546701063200729e+00
5.542461853661660998e-01 -6.709119784168439793e+00
5.546008816580062506e-01 -6.578039172759321929e+00
5.549558049418628070e-01 -6.446343150741134842e+00
5.553109553630029005e-01 -6.314069430422142304e+00
5.556663330667847012e-01 -6.181255157965295233e+00
5.560219381986613030e-01 -6.047936918798241912e+00
5.563777709041769493e-01 -5.914150742987579257e+00
5.567338313289705853e-01 -5.779932110571922799e+00
5.570901196187743043e-01 -5.645315956858717676e+00
5.574466359194121257e-01 -5.510336677682897033e+00
5.578033803768028820e-01 -5.375028134626274046e+00
5.581603531369574434e-01 -5.239423660201488531e+00
5.585175543459817149e-01 -5.103556062996441156e+00
5.588749841500733062e-01 -4.967457632783999877e+00
5.592326426955251950e-01 -4.831160145592148680e+00
5.595905301287219524e-01 -4.694694868740259430e+00
5.599486465961441839e-01 -4.558092565835736742e+00
5.603069922443637552e-01 -4.421383501737926380e+00
5.606655672200488993e-01 -4.284597447482146215e+00
5.610243716699591099e-01 -4.147763685171778292e+00
5.613834057409502476e-01 -4.010911012830804978e+00
5.617426695799698777e-01 -3.874067749224602508e+00
5.621021633340618218e-01 -3.737261738642007725e+00
5.624618871503618278e-01 -3.600520355645693726e+00
5.628218411761020112e-01 -3.463870509784396923e+00
5.631820255586065249e-01 -3.327338650273811371e+00
5.635424404452957781e-01 -3.190950770639835010e+00
5.639030859836825504e-01 -3.054732413330629726e+00
5.642639623213763223e-01 -2.918708674291532468e+00
5.646250696060786112e-01 -2.782904207509540040e+00
5.649864079855870802e-01 -2.647343229520834562e+00
5.653479776077942054e-01 -2.512049523886913605e+00
5.657097786206853884e-01 -2.377046445637672978e+00
5.660718111723429535e-01 -2.242356925679236834e+00
5.664340754109413734e-01 -2.108003475172190555e+00
5.667965714847528202e-01 -1.974008189873307950e+00
5.671592995421417260e-01 -1.840392754448865631e+00
5.675222597315697781e-01 -1.707178446751840939e+00
5.678854522015915895e-01 -1.574386142070390848e+00
5.682488771008588069e-01 -1.442036317341381269e+00
5.686125345781160023e-01 -1.310149055335173118e+00
5.689764247822054477e-01 -1.178744048805617339e+00
5.693405478620623406e-01 -1.047840604612205073e+00
5.697049039667193560e-01 -9.174576478076629238e-01
5.700694932453019836e-01 -7.876137256978630319e-01
5.704343158470340791e-01 -6.583270118673465454e-01
5.707993719212320904e-01 -5.296153101781601036e-01
5.711646616173108315e-01 -4.014960587342968901e-01
5.715301850847780418e-01 -2.739863338197143228e-01
5.718959424732396046e-01 -1.471028538026357968e-01
5.722619339323949950e-01 -2.086198301332743005e-02
5.726281596120413875e-01 1.047202644108607417e-01
5.729946196620697707e-01 2.296282207071793646e-01
5.733613142324696099e-01 3.538465607015151559e-01
5.737282434733235181e-01 4.773602980481710389e-01
5.740954075348121410e-01 6.001547815021294197e-01
5.744628065672126027e-01 7.222156912179685806e-01
5.748304407208956190e-01 8.435290350770255907e-01
5.751983101463312709e-01 9.640811450459025878e-01
5.755664149940833418e-01 1.083858673559535468e+00
5.759347554148140924e-01 1.202848589935822110e+00
5.763033315592800410e-01 1.321038176815310106e+00
5.766721435783365157e-01 1.438415026631536531e+00
5.770411916229331029e-01 1.554967038106059851e+00
5.774104758441180874e-01 1.670682412773881298e+00
5.777799963930344562e-01 1.785549651533454796e+00
5.781497534209238953e-01 1.899557551226410013e+00
5.785197470791229035e-01 2.012695201241730292e+00
5.788899775190666785e-01 2.124951980149195840e+00
5.792604448922855642e-01 2.236317552357206306e+00
5.796311493504087142e-01 2.346781864799236672e+00
5.800020910451604284e-01 2.456335143644459595e+00
5.803732701283639273e-01 2.564967891036745495e+00
5.807446867519377998e-01 2.672670881857498681e+00
5.811163410678998886e-01 2.779435160516498193e+00
5.814882332283628497e-01 2.885252037766073308e+00
5.818603633855394808e-01 2.990113087543553760e+00
5.822327316917371709e-01 3.094010143836045668e+00
5.826053382993628960e-01 3.196935297573380463e+00
5.829781833609207764e-01 3.298880893544031245e+00
5.833512670290111890e-01 3.399839527336434131e+00
5.837245894563343196e-01 3.499804042306199570e+00
5.840981507956857222e-01 3.598767526565827879e+00
5.844719511999612038e-01 3.696723310001337914e+00
5.848459908221517178e-01 3.793664961310570405e+00
5.852202698153489147e-01 3.889586285068403537e+00
5.855947883327399239e-01 3.984481318813212436e+00
5.859695465276119064e-01 4.078344330159665354e+00
5.863445445533485012e-01 4.171169813933155446e+00
5.867197825634331565e-01 4.262952489329542516e+00
5.870952607114455768e-01 4.353687297096563213e+00
5.874709791510659418e-01 4.443369396740425081e+00
5.878469380360705765e-01 4.531994163753450877e+00
5.882231375203363921e-01 4.619557186866774856e+00
5.885995777578364452e-01 4.706054265323774466e+00
5.889762589026449335e-01 4.791481406178397684e+00
5.893531811089318673e-01 4.875834821613624470e+00
5.897303445309687309e-01 4.959110926284872711e+00
5.901077493231230431e-01 5.041306334683110180e+00
5.904853956398637971e-01 5.122417858522556600e+00
5.908632836357560203e-01 5.202442504147926527e+00
5.912414134654658815e-01 5.281377469965842231e+00
5.916197852837581372e-01 5.359220143896266109e+00
5.919983992454952437e-01 5.435968100845865791e+00
