# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 0.5
# number of COSEBI modes = 20
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 1.797747030473393792e+01
5.003199808146676641e-01 1.788687179685843986e+01
5.006401664047791522e-01 1.779651539625340462e+01
5.009605569013820814e-01 1.770640067313901511e+01
5.012811524356098891e-01 1.761652719827548808e+01
5.016019531386775032e-01 1.752689454296388405e+01
5.019229591418863379e-01 1.743750227904420669e+01
5.022441705766194087e-01 1.734834997889631936e+01
5.025655875743462175e-01 1.725943721543810838e+01
5.028872102666178678e-01 1.717076356212636767e+01
5.032090387850723934e-01 1.708232859295485540e+01
5.035310732614295404e-01 1.699413188245527806e+01
5.038533138274952083e-01 1.690617300569557813e+01
5.041757606151581195e-01 1.681845153828040296e+01
5.044984137563931492e-01 1.673096705634970149e+01
5.048212733832576626e-01 1.664371913657928559e+01
5.051443396278955111e-01 1.655670735617924905e+01
5.054676126225331467e-01 1.646993129289456803e+01
5.057910924994836188e-01 1.638339052500355209e+01
5.061147793911427994e-01 1.629708463131839480e+01
5.064386734299930470e-01 1.621101319118372075e+01
5.067627747485995426e-01 1.612517578447710420e+01
5.070870834796145088e-01 1.603957199160748104e+01
5.074115997557729907e-01 1.595420139351579358e+01
5.077363237098961868e-01 1.586906357167365478e+01
5.080612554748905607e-01 1.578415810808311370e+01
5.083863951837462869e-01 1.569948458527659518e+01
5.087117429695404702e-01 1.561504258631560305e+01
5.090372989654330382e-01 1.553083169479131520e+01
5.093630633046718481e-01 1.544685149482280373e+01
5.096890361205873576e-01 1.536310157105794261e+01
5.100152175465978432e-01 1.527958150867160114e+01
5.103416077162046260e-01 1.519629089336641314e+01
5.106682067629967348e-01 1.511322931137111247e+01
5.109950148206463538e-01 1.503039634944123115e+01
5.113220320229135973e-01 1.494779159485743669e+01
5.116492585036418461e-01 1.486541463542623376e+01
5.119766943967624107e-01 1.478326505947833702e+01
5.123043398362902012e-01 1.470134245586929289e+01
5.126321949563277247e-01 1.461964641397802289e+01
5.129602598910615319e-01 1.453817652370724289e+01
5.132885347747662141e-01 1.445693237548201182e+01
5.136170197417996297e-01 1.437591356025045108e+01
5.139457149266082325e-01 1.429511966948197710e+01
5.142746204637225205e-01 1.421455029516794788e+01
5.146037364877606990e-01 1.413420502982031834e+01
5.149330631334252395e-01 1.405408346647201157e+01
5.152626005355072092e-01 1.397418519867540887e+01
5.155923488288812750e-01 1.389450982050311190e+01
5.159223081485104778e-01 1.381505692654630657e+01
5.162524786294441226e-01 1.373582611191484304e+01
5.165828604068160024e-01 1.365681697223718061e+01
5.169134536158490612e-01 1.357802910365882276e+01
5.172442583918502867e-01 1.349946210284307746e+01
5.175752748702153738e-01 1.342111556696949215e+01
5.179065031864249491e-01 1.334298909373428721e+01
5.182379434760479020e-01 1.326508228134911960e+01
5.185695958747380541e-01 1.318739472854139727e+01
5.189014605182381557e-01 1.310992603455289895e+01
5.192335375423756672e-01 1.303267579914029994e+01
5.195658270830673109e-01 1.295564362257365154e+01
5.198983292763141861e-01 1.287882910563706318e+01
5.202310442582069872e-01 1.280223184962703975e+01
5.205639721649211182e-01 1.272585145635315129e+01
5.208971131327214676e-01 1.264968752813648578e+01
5.212304672979577447e-01 1.257373966781025487e+01
5.215640347970693647e-01 1.249800747871822892e+01
5.218978157665807860e-01 1.242249056471534630e+01
