# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 0.5
# number of COSEBI modes = 20
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 2.259094946604113474e+01
5.003199808146676641e-01 2.231683622610565365e+01
5.006401664047791522e-01 2.204443743894157137e+01
5.009605569013820814e-01 2.177374591889983080e+01
5.012811524356098891e-01 2.150475450254555909e+01
5.016019531386775032e-01 2.123745604860896563e+01
5.019229591418863379e-01 2.097184343792838135e+01
5.022441705766194087e-01 2.070790957340166472e+01
5.025655875743462175e-01 2.044564737992960701e+01
5.028872102666178678e-01 2.018504980436746266e+01
5.032090387850723934e-01 1.992610981546825499e+01
5.035310732614295404e-01 1.966882040383471519e+01
5.038533138274952083e-01 1.941317458186353662e+01
5.041757606151581195e-01 1.915916538369597433e+01
5.044984137563931492e-01 1.890678586516321147e+01
5.048212733832576626e-01 1.865602910373737444e+01
5.051443396278955111e-01 1.840688819847661151e+01
5.054676126225331467e-01 1.815935626997643126e+01
5.057910924994836188e-01 1.791342646031503349e+01
5.061147793911427994e-01 1.766909193300470449e+01
5.064386734299930470e-01 1.742634587293762394e+01
5.067627747485995426e-01 1.718518148633734199e+01
5.070870834796145088e-01 1.694559200070441918e+01
5.074115997557729907e-01 1.670757066476843278e+01
5.077363237098961868e-01 1.647111074843452982e+01
5.080612554748905607e-01 1.623620554273314909e+01
5.083863951837462869e-01 1.600284835977033637e+01
5.087117429695404702e-01 1.577103253267470073e+01
5.090372989654330382e-01 1.554075141554970685e+01
5.093630633046718481e-01 1.531199838341952812e+01
5.096890361205873576e-01 1.508476683218236403e+01
5.100152175465978432e-01 1.485905017855643351e+01
5.103416077162046260e-01 1.463484186003305609e+01
5.106682067629967348e-01 1.441213533482327058e+01
5.109950148206463538e-01 1.419092408181089304e+01
5.113220320229135973e-01 1.397120160049930959e+01
5.116492585036418461e-01 1.375296141096474933e+01
5.119766943967624107e-01 1.353619705380337734e+01
5.123043398362902012e-01 1.332090209008450543e+01
5.126321949563277247e-01 1.310707010129834771e+01
5.129602598910615319e-01 1.289469468930886009e+01
5.132885347747662141e-01 1.268376947630173746e+01
5.136170197417996297e-01 1.247428810473819638e+01
5.139457149266082325e-01 1.226624423730231683e+01
5.142746204637225205e-01 1.205963155685485333e+01
5.146037364877606990e-01 1.185444376638185737e+01
5.149330631334252395e-01 1.165067458894792196e+01
5.152626005355072092e-01 1.144831776764462994e+01
5.155923488288812750e-01 1.124736706554490162e+01
5.159223081485104778e-01 1.104781626565138275e+01
5.162524786294441226e-01 1.084965917084920584e+01
5.165828604068160024e-01 1.065288960385854899e+01
5.169134536158490612e-01 1.045750140718347865e+01
5.172442583918502867e-01 1.026348844306668617e+01
5.175752748702153738e-01 1.007084459343855087e+01
5.179065031864249491e-01 9.879563759871233586e+00
5.182379434760479020e-01 9.689639863528730857e+00
5.185695958747380541e-01 9.501066845120867299e+00
5.189014605182381557e-01 9.313838664853177463e+00
5.192335375423756672e-01 9.127949302381569652e+00
5.195658270830673109e-01 8.943392756762095885e+00
5.198983292763141861e-01 8.760163046406137966e+00
5.202310442582069872e-01 8.578254209030029998e+00
5.205639721649211182e-01 8.397660301610375910e+00
5.208971131327214676e-01 8.218375400334160474e+00
5.212304672979577447e-01 8.040393600554065046e+00
5.215640347970693647e-01 7.863709016738747337e+00
5.218978157665807860e-01 7.688315782428306377e+00
5.222318103431056180e-01 7.514208050185174237e+00
5.225660186633432902e-01 7.341379991549038309e+00
5.229004408640828272e-01 7.169825796988120281e+00
5.232350770821981856e-01 6.999539675854935084e+00
5.235699274546530280e-01 6.830515856337256331e+00
5.239049921184982805e-01 6.662748585412911595e+00
5.242402712108712448e-01 6.496232128803802297e+00
5.245757648689988173e-01 6.330960770928017567e+00
5.249114732301941588e-01 6.166928814855261898e+00
5.252473964318596922e-01 6.004130582259260329e+00
5.255835346114843265e-01 5.842560413373075967e+00
5.259198879066464549e-01 5.682212666941710566e+00
5.262564564550108459e-01 5.523081720177740905e+00
5.265932403943324180e-01 5.365161968713748841e+00
5.269302398624520212e-01 5.208447826558635363e+00
5.272674549973008773e-01 5.052933726049937846e+00
5.276048859368962507e-01 4.898614117810342172e+00
5.279425328193461109e-01 4.745483470700108342e+00
5.282803957828444696e-01 4.593536271773877466e+00
5.286184749656760440e-01 4.442767026233306105e+00
5.289567705062115932e-01 4.293170257384014477e+00
5.292952825429131369e-01 4.144740506588174611e+00
5.296340112143286261e-01 3.997472333221902652e+00
5.299729566590971608e-01 3.851360314628063275e+00
5.303121190159442166e-01 3.706399046073536319e+00
5.306514984236863075e-01 3.562583140702490159e+00
5.309910950212265446e-01 3.419907229493633682e+00
5.313309089475594105e-01 3.278365961213653534e+00
5.316709403417655411e-01 3.137954002374939044e+00
5.320111893430167216e-01 2.998666037189113176e+00
5.323516560905736661e-01 2.860496767523679651e+00
5.326923407237846853e-01 2.723440912858345442e+00
5.330332433820891280e-01 2.587493210239508290e+00
5.333743642050136069e-01 2.452648414237738717e+00
5.337157033321763278e-01 2.318901296902113884e+00
5.340572609032825380e-01 2.186246647718132152e+00
5.343990370581289673e-01 2.054679273562225017e+00
5.347410319365997200e-01 1.924193998659621041e+00
5.350832456786707159e-01 1.794785664539069181e+00
5.354256784244051381e-01 1.666449129991011802e+00
5.357683303139579856e-01 1.539179271022457662e+00
5.361112014875718534e-01 1.412970980815181798e+00
5.364542920855811525e-01 1.287819169680910480e+00
5.367976022484080012e-01 1.163718765019626344e+00
5.371411321165666664e-01 1.040664711274863041e+00
5.374848818306587894e-01 9.186519698924077160e-01
5.378288515313787155e-01 7.976755192754503287e-01
5.381730413595081641e-01 6.777303547436379638e-01
5.385174514559212255e-01 5.588114884885447831e-01
5.388620819615803637e-01 4.409139495323776137e-01
5.392069330175399688e-01 3.240327836841590536e-01
5.395520047649425832e-01 2.081630534984928171e-01
5.398972973450230084e-01 9.329983823174280155e-02
5.402428108991059741e-01 -2.056176619952659185e-02
5.405885455686055829e-01 -1.334266472606486509e-01
5.409345014950280861e-01 -2.452996758419405399e-01
5.412806788199684416e-01 -3.561857062996921508e-01
5.416270776851141999e-01 -4.660895764994337220e-01
5.419736982322415075e-01 -5.750161078565980688e-01
5.423205406032194364e-01 -6.829701053797424537e-01
5.426676049400057655e-01 -7.899563577110060297e-01
5.430148913846510883e-01 -8.959796371690702532e-01
5.433624000792948161e-01 -1.001044699789539250e+00
5.437101311661695080e-01 -1.105156285367782321e+00
5.440580847875965409e-01 -1.208319117499085937e+00
5.444062610859906615e-01 -1.310537903621364242e+00
5.447546602038555452e-01 -1.411817335055130407e+00
5.451032822837880154e-01 -1.512162087045936909e+00
5.454521274684741572e-01 -1.611576818804371758e+00
5.458011959006937586e-01 -1.710066173548365098e+00
5.461504877233154254e-01 -1.807634778542760889e+00
5.465000030793014663e-01 -1.904287245141574214e+00
5.468497421117037849e-01 -2.000028168827638009e+00
5.471997049636675436e-01 -2.094862129254331684e+00
5.475498917784277220e-01 -2.188793690285281368e+00
5.479003026993124470e-01 -2.281827400035811415e+00
5.482509378697416613e-01 -2.373967790913058096e+00
5.486017974332252356e-01 -2.465219379655874565e+00
5.489528815333672984e-01 -2.555586667376278598e+00
5.493041903138616844e-01 -2.645074139598506680e+00
5.496557239184960419e-01 -2.733686266300225487e+00
5.500074824911481697e-01 -2.821427501951678352e+00
5.503594661757903461e-01 -2.908302285556767508e+00
5.507116751164841117e-01 -2.994315040691680085e+00
5.510641094573861531e-01 -3.079470175546167976e+00
5.514167693427425299e-01 -3.163772082961905152e+00
5.517696549168943365e-01 -3.247225140473538385e+00
5.521227663242725958e-01 -3.329833710347056996e+00
5.524761037094029215e-01 -3.411602139620432794e+00
5.528296672169015213e-01 -3.492534760142118611e+00
5.531834569914789723e-01 -3.572635888611296107e+00
5.535374731779364454e-01 -3.651909826616292598e+00
5.538917159211699248e-01 -3.730360860674752921e+00
5.542461853661660998e-01 -3.807993262271843538e+00
5.546008816580062506e-01 -3.884811287900176158e+00
5.549558049418628070e-01 -3.960819179098019838e+00
5.553109553630029005e-01 -4.036021162488975911e+00
5.556663330667847012e-01 -4.110421449820009343e+00
5.560219381986613030e-01 -4.184024238001017082e+00
5.563777709041769493e-01 -4.256833709142703093e+00
5.567338313289705853e-01 -4.328854030595906899e+00
5.570901196187743043e-01 -4.400089354989779267e+00
5.574466359194121257e-01 -4.470543820269991642e+00
5.578033803768028820e-01 -4.540221549737655238e+00
5.581603531369574434e-01 -4.609126652087064180e+00
5.585175543459817149e-01 -4.677263221444473373e+00
5.588749841500733062e-01 -4.744635337405593845e+00
5.592326426955251950e-01 -4.811247065074335083e+00
5.595905301287219524e-01 -4.877102455100073009e+00
5.599486465961441839e-01 -4.942205543716374549e+00
5.603069922443637552e-01 -5.006560352777938760e+00
5.606655672200488993e-01 -5.070170889799274327e+00
5.610243716699591099e-01 -5.133041147991454167e+00
5.613834057409502476e-01 -5.195175106300613521e+00
5.617426695799698777e-01 -5.256576729444655705e+00
5.621021633340618218e-01 -5.317249967951480194e+00
5.624618871503618278e-01 -5.377198758195615547e+00
5.628218411761020112e-01 -5.436427022436255641e+00
5.631820255586065249e-01 -5.494938668853765584e+00
5.635424404452957781e-01 -5.552737591587511901e+00
5.639030859836825504e-01 -5.609827670772300934e+00
5.642639623213763223e-01 -5.666212772576071366e+00
5.646250696060786112e-01 -5.721896749236069724e+00
5.649864079855870802e-01 -5.776883439096341277e+00
5.653479776077942054e-01 -5.831176666644287465e+00
5.657097786206853884e-01 -5.884780242547082096e+00
5.660718111723429535e-01 -5.937697963688886915e+00
5.664340754109413734e-01 -5.989933613206698482e+00
5.667965714847528202e-01 -6.041490960527627685e+00
5.671592995421417260e-01 -6.092373761404521026e+00
