# Psi stats weights for clustering in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      U(theta)
5.000000000000000000e-01 2.842254906531909318e-05
5.003199808146676641e-01 2.842127369945577031e-05
5.006401664047791522e-01 2.841999754468510332e-05
5.009605569013820814e-01 2.841872060053640277e-05
5.012811524356098891e-01 2.841744286653938241e-05
5.016019531386775032e-01 2.841616434222336976e-05
5.019229591418863379e-01 2.841488502711688932e-05
5.022441705766194087e-01 2.841360492074899757e-05
5.025655875743462175e-01 2.841232402264785988e-05
5.028872102666178678e-01 2.841104233234164841e-05
5.032090387850723934e-01 2.840975984935843366e-05
5.035310732614295404e-01 2.840847657322580842e-05
5.038533138274952083e-01 2.840719250347097924e-05
5.041757606151581195e-01 2.840590763962136270e-05
5.044984137563931492e-01 2.840462198120349450e-05
5.048212733832576626e-01 2.840333552774422203e-05
5.051443396278955111e-01 2.840204827876976589e-05
5.054676126225331467e-01 2.840076023380652963e-05
5.057910924994836188e-01 2.839947139237999183e-05
5.061147793911427994e-01 2.839818175401540070e-05
5.064386734299930470e-01 2.839689131823893277e-05
5.067627747485995426e-01 2.839560008457513491e-05
5.070870834796145088e-01 2.839430805254884195e-05
5.074115997557729907e-01 2.839301522168465497e-05
5.077363237098961868e-01 2.839172159150680233e-05
5.080612554748905607e-01 2.839042716153917698e-05
5.083863951837462869e-01 2.838913193130566847e-05
5.087117429695404702e-01 2.838783590032991564e-05
5.090372989654330382e-01 2.838653906813488309e-05
5.093630633046718481e-01 2.838524143424368449e-05
5.096890361205873576e-01 2.838394299817910147e-05
5.100152175465978432e-01 2.838264375946343457e-05
5.103416077162046260e-01 2.838134371761906222e-05
5.106682067629967348e-01 2.838004287216760733e-05
5.109950148206463538e-01 2.837874122263106888e-05
5.113220320229135973e-01 2.837743876853073094e-05
5.116492585036418461e-01 2.837613550938783018e-05
5.119766943967624107e-01 2.837483144472316955e-05
5.123043398362902012e-01 2.837352657405735890e-05
5.126321949563277247e-01 2.837222089691063539e-05
5.129602598910615319e-01 2.837091441280337507e-05
5.132885347747662141e-01 2.836960712125543901e-05
5.136170197417996297e-01 2.836829902178613602e-05
5.139457149266083436e-01 2.836699011391513744e-05
5.142746204637225205e-01 2.836568039716110830e-05
5.146037364877606990e-01 2.836436987104317447e-05
5.149330631334252395e-01 2.836305853507960797e-05
5.152626005355072092e-01 2.836174638878902305e-05
5.155923488288812750e-01 2.836043343168899715e-05
5.159223081485104778e-01 2.835911966329770747e-05
5.162524786294441226e-01 2.835780508313222661e-05
5.165828604068160024e-01 2.835648969071038618e-05
5.169134536158490612e-01 2.835517348554843887e-05
5.172442583918502867e-01 2.835385646716347425e-05
5.175752748702153738e-01 2.835253863507188735e-05
5.179065031864249491e-01 2.835121998878989020e-05
5.182379434760479020e-01 2.834990052783329845e-05
5.185695958747380541e-01 2.834858025171772106e-05
5.189014605182381557e-01 2.834725915995872634e-05
5.192335375423756672e-01 2.834593725207125239e-05
5.195658270830673109e-01 2.834461452757030509e-05
5.198983292763141861e-01 2.834329098597032450e-05
5.202310442582069872e-01 2.834196662678566597e-05
5.205639721649211182e-01 2.834064144953065437e-05
5.208971131327214676e-01 2.833931545371866248e-05
5.212304672979577447e-01 2.833798863886364587e-05
5.215640347970693647e-01 2.833666100447850298e-05
5.218978157665807860e-01 2.833533255007658291e-05
5.222318103431056180e-01 2.833400327517039447e-05
5.225660186633432902e-01 2.833267317927251763e-05
5.229004408640828272e-01 2.833134226189498009e-05
5.232350770821981856e-01 2.833001052255009418e-05
5.235699274546530280e-01 2.832867796074937599e-05
5.239049921184982805e-01 2.832734457600417899e-05
5.242402712108712448e-01 2.832601036782549412e-05
5.245757648689988173e-01 2.832467533572470195e-05
5.249114732301941588e-01 2.832333947921190912e-05
5.252473964318596922e-01 2.832200279779791344e-05
5.255835346114843265e-01 2.832066529099254711e-05
5.259198879066464549e-01 2.831932695830571348e-05
5.262564564550108459e-01 2.831798779924692627e-05
5.265932403943324180e-01 2.831664781332554333e-05
5.269302398624520212e-01 2.831530700005044818e-05
5.272674549973008773e-01 2.831396535893077507e-05
5.276048859368962507e-01 2.831262288947480104e-05
5.279425328193461109e-01 2.831127959119044061e-05
5.282803957828444696e-01 2.830993546358599792e-05
5.286184749656760440e-01 2.830859050616927231e-05
5.289567705062115932e-01 2.830724471844757518e-05
5.292952825429131369e-01 2.830589809992792660e-05
5.296340112143286261e-01 2.830455065011738727e-05
5.299729566590971608e-01 2.830320236852248595e-05
5.303121190159442166e-01 2.830185325464990728e-05
5.306514984236863075e-01 2.830050330800523811e-05
5.309910950212265446e-01 2.829915252809485815e-05
5.313309089475594105e-01 2.829780091442368002e-05
5.316709403417655411e-01 2.829644846649767006e-05
5.320111893430167216e-01 2.829509518382129706e-05
5.323516560905736661e-01 2.829374106589981923e-05
5.326923407237846853e-01 2.829238611223740721e-05
5.330332433820891280e-01 2.829103032233842814e-05
5.333743642050136069e-01 2.828967369570648343e-05
5.337157033321763278e-01 2.828831623184581488e-05
