# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 0.5
# number of COSEBI modes = 20
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 -2.551110457776252360e+01
5.003199808146676641e-01 -2.501321246346000038e+01
5.006401664047791522e-01 -2.452028689786602911e+01
5.009605569013820814e-01 -2.403229467110439899e+01
5.012811524356098891e-01 -2.354920273851247359e+01
5.016019531386775032e-01 -2.307097822000408982e+01
5.019229591418863379e-01 -2.259758839942021780e+01
5.022441705766194087e-01 -2.212900072389644635e+01
5.025655875743462175e-01 -2.166518280321797008e+01
5.028872102666178678e-01 -2.120610240919093670e+01
5.032090387850723934e-01 -2.075172747500097259e+01
5.035310732614295404e-01 -2.030202609458883600e+01
5.038533138274952083e-01 -1.985696652201432144e+01
5.041757606151581195e-01 -1.941651717083310658e+01
5.044984137563931492e-01 -1.898064661346630189e+01
5.048212733832576626e-01 -1.854932358058161057e+01
5.051443396278955111e-01 -1.812251696046599037e+01
5.054676126225331467e-01 -1.770019579841094171e+01
5.057910924994836188e-01 -1.728232929608924096e+01
5.061147793911427994e-01 -1.686888681094385234e+01
5.064386734299930470e-01 -1.645983785556911982e+01
5.067627747485995426e-01 -1.605515209710331348e+01
5.070870834796145088e-01 -1.565479935661312183e+01
5.074115997557729907e-01 -1.525874960849065864e+01
5.077363237098961868e-01 -1.486697297984299482e+01
5.080612554748905607e-01 -1.447943974988890403e+01
5.083863951837462869e-01 -1.409612034935819835e+01
5.087117429695404702e-01 -1.371698535988734236e+01
5.090372989654330382e-01 -1.334200551342561170e+01
5.093630633046718481e-01 -1.297115169163240189e+01
5.096890361205873576e-01 -1.260439492528850458e+01
5.100152175465978432e-01 -1.224170639369719993e+01
5.103416077162046260e-01 -1.188305742409854382e+01
5.106682067629967348e-01 -1.152841949107501840e+01
5.109950148206463538e-01 -1.117776421596918368e+01
5.113220320229135973e-01 -1.083106336629309041e+01
5.116492585036418461e-01 -1.048828885514969933e+01
5.119766943967624107e-01 -1.014941274064623578e+01
5.123043398362902012e-01 -9.814407225318886319e+00
5.126321949563277247e-01 -9.483244655550679525e+00
5.129602598910615319e-01 -9.155897520998966144e+00
5.132885347747662141e-01 -8.832338454017104823e+00
5.136170197417996297e-01 -8.512540229086775767e+00
5.139457149266082325e-01 -8.196475762242091179e+00
5.142746204637225205e-01 -7.884118110505276000e+00
5.146037364877606990e-01 -7.575440471316166047e+00
5.149330631334252395e-01 -7.270416181970341896e+00
5.152626005355072092e-01 -6.969018719051757849e+00
5.155923488288812750e-01 -6.671221697875860279e+00
5.159223081485104778e-01 -6.376998871925492196e+00
5.162524786294441226e-01 -6.086324132294980593e+00
5.165828604068160024e-01 -5.799171507135532089e+00
5.169134536158490612e-01 -5.515515161096875119e+00
5.172442583918502867e-01 -5.235329394779160594e+00
5.175752748702153738e-01 -4.958588644178235860e+00
5.179065031864249491e-01 -4.685267480139889251e+00
5.182379434760479020e-01 -4.415340607809884688e+00
5.185695958747380541e-01 -4.148782866091289101e+00
5.189014605182381557e-01 -3.885569227097584566e+00
5.192335375423756672e-01 -3.625674795614180823e+00
5.195658270830673109e-01 -3.369074808554669342e+00
5.198983292763141861e-01 -3.115744634426266924e+00
5.202310442582069872e-01 -2.865659772789164172e+00
5.205639721649211182e-01 -2.618795853725345513e+00
5.208971131327214676e-01 -2.375128637301875401e+00
5.212304672979577447e-01 -2.134634013042910450e+00
5.215640347970693647e-01 -1.897287999396460645e+00
5.218978157665807860e-01 -1.663066743209780318e+00
5.222318103431056180e-01 -1.431946519200192336e+00
5.225660186633432902e-01 -1.203903729432901359e+00
5.229004408640828272e-01 -9.789149027955647009e-01
5.232350770821981856e-01 -7.569566944803610697e-01
5.235699274546530280e-01 -5.380058854613359864e-01
5.239049921184982805e-01 -3.220393819783670120e-01
5.242402712108712448e-01 -1.090342150216552369e-01
5.245757648689988173e-01 1.010324601846507436e-01
5.249114732301941588e-01 3.081833646930056125e-01
5.252473964318596922e-01 5.124410963453104317e-01
5.255835346114843265e-01 7.138281302805076223e-01
5.259198879066464549e-01 9.123668194440299750e-01
5.262564564550108459e-01 1.108079395091908781e+00
5.265932403943324180e-01 1.300987967297295711e+00
5.269302398624520212e-01 1.491114525450657480e+00
5.272674549973008773e-01 1.678480938763326158e+00
5.276048859368962507e-01 1.863108956764392143e+00
5.279425328193461109e-01 2.045020209801004185e+00
5.282803957828444696e-01 2.224236209531874398e+00
5.286184749656760440e-01 2.400778349424228519e+00
5.289567705062115932e-01 2.574667905244126587e+00
5.292952825429131369e-01 2.745926035550366517e+00
5.296340112143286261e-01 2.914573782181287154e+00
5.299729566590971608e-01 3.080632070745343398e+00
5.303121190159442166e-01 3.244121711105059536e+00
5.306514984236863075e-01 3.405063397864011243e+00
5.309910950212265446e-01 3.563477710847807511e+00
5.313309089475594105e-01 3.719385115587846347e+00
5.316709403417655411e-01 3.872805963798798157e+00
5.320111893430167216e-01 4.023760493859236398e+00
5.323516560905736661e-01 4.172268831287325952e+00
5.326923407237846853e-01 4.318350989215410607e+00
5.330332433820891280e-01 4.462026868865081042e+00
5.333743642050136069e-01 4.603316260017551897e+00
5.337157033321763278e-01 4.742238841485900025e+00
5.340572609032825380e-01 4.878814181582057152e+00
5.343990370581289673e-01 5.013061738585886218e+00
5.347410319365997200e-01 5.145000861209316767e+00
5.350832456786707159e-01 5.274650789062225620e+00
5.354256784244051381e-01 5.402030653113365055e+00
5.357683303139579856e-01 5.527159476153135742e+00
5.361112014875718534e-01 5.650056173251599034e+00
5.364542920855811525e-01 5.770739552218004498e+00
5.367976022484080012e-01 5.889228314055817926e+00
5.371411321165666664e-01 6.005541053419217512e+00
5.374848818306587894e-01 6.119696259064878241e+00
5.378288515313787155e-01 6.231712314305687173e+00
5.381730413595081641e-01 6.341607497459350817e+00
5.385174514559212255e-01 6.449399982298907652e+00
5.388620819615803637e-01 6.555107838498820172e+00
5.392069330175399688e-01 6.658749032081941799e+00
5.395520047649425832e-01 6.760341425862737452e+00
5.398972973450230084e-01 6.859902779891382529e+00
5.402428108991059741e-01 6.957450751894430852e+00
5.405885455686055829e-01 7.053002897714575781e+00
5.409345014950280861e-01 7.146576671749816256e+00
5.412806788199684416e-01 7.238189427389441377e+00
5.416270776851141999e-01 7.327858417450525685e+00
5.419736982322415075e-01 7.415600794610848645e+00
5.423205406032194364e-01 7.501433611842523774e+00
5.426676049400057655e-01 7.585373822841976477e+00
5.430148913846510883e-01 7.667438282460547150e+00
5.433624000792948161e-01 7.747643747131650827e+00
5.437101311661695080e-01 7.826006875298477716e+00
5.440580847875965409e-01 7.902544227838231627e+00
5.444062610859906615e-01 7.977272268486930606e+00
5.447546602038555452e-01 8.050207364260778320e+00
5.451032822837880154e-01 8.121365785877976862e+00
5.454521274684741572e-01 8.190763708177405178e+00
5.458011959006937586e-01 8.258417210537551512e+00
5.461504877233154254e-01 8.324342277292174685e+00
5.465000030793014663e-01 8.388554798146461877e+00
5.468497421117037849e-01 8.451070568590033361e+00
5.471997049636675436e-01 8.511905290309982774e+00
5.475498917784277220e-01 8.571074571601245751e+00
5.479003026993124470e-01 8.628593927776726957e+00
5.482509378697416613e-01 8.684478781575219131e+00
5.486017974332252356e-01 8.738744463567879706e+00
5.489528815333672984e-01 8.791406212564279343e+00
5.493041903138616844e-01 8.842479176015672238e+00
5.496557239184960419e-01 8.891978410418209577e+00
5.500074824911481697e-01 8.939918881713619925e+00
5.503594661757903461e-01 8.986315465689637350e+00
5.507116751164841117e-01 9.031182948377761477e+00
5.510641094573861531e-01 9.074536026451113457e+00
5.514167693427425299e-01 9.116389307619421345e+00
5.517696549168943365e-01 9.156757311024071200e+00
5.521227663242725958e-01 9.195654467630498985e+00
5.524761037094029215e-01 9.233095120620369300e+00
5.528296672169015213e-01 9.269093525781416432e+00
5.531834569914789723e-01 9.303663851896793346e+00
5.535374731779364454e-01 9.336820181132276630e+00
5.538917159211699248e-01 9.368576509422940291e+00
5.542461853661660998e-01 9.398946746857687273e+00
5.546008816580062506e-01 9.427944718063185903e+00
5.549558049418628070e-01 9.455584162585825680e+00
5.553109553630029005e-01 9.481878735272941228e+00
5.556663330667847012e-01 9.506842006652131971e+00
5.560219381986613030e-01 9.530487463309844642e+00
5.563777709041769493e-01 9.552828508268071062e+00
5.567338313289705853e-01 9.573878461360260772e+00
5.570901196187743043e-01 9.593650559605562123e+00
5.574466359194121257e-01 9.612157957581809242e+00
5.578033803768028820e-01 9.629413727797432543e+00
5.581603531369574434e-01 9.645430861061768724e+00
5.585175543459817149e-01 9.660222266854361806e+00
5.588749841500733062e-01 9.673800773692686761e+00
5.592326426955251950e-01 9.686179129498883711e+00
5.595905301287219524e-01 9.697370001964918274e+00
5.599486465961441839e-01 9.707385978916759584e+00
5.603069922443637552e-01 9.716239568676975580e+00
5.606655672200488993e-01 9.723943200426347744e+00
5.610243716699591099e-01 9.730509224563965276e+00
5.613834057409502476e-01 9.735949913066262340e+00
5.617426695799698777e-01 9.740277459844627117e+00
5.621021633340618218e-01 9.743503981101891753e+00
5.624618871503618278e-01 9.745641515687442080e+00
5.628218411761020112e-01 9.746702025451190465e+00
5.631820255586065249e-01 9.746697395596209290e+00
5.635424404452957781e-01 9.745639435030184927e+00
5.639030859836825504e-01 9.743539876715601622e+00
5.642639623213763223e-01 9.740410378018673043e+00
5.646250696060786112e-01 9.736262521057103214e+00
5.649864079855870802e-01 9.731107813046534716e+00
5.653479776077942054e-01 9.724957686645817390e+00
5.657097786206853884e-01 9.717823500301088657e+00
5.660718111723429535e-01 9.709716538588518020e+00
5.664340754109413734e-01 9.700648012556015942e+00
5.667965714847528202e-01 9.690629060063498557e+00
5.671592995421417260e-01 9.679670746122200242e+00
5.675222597315697781e-01 9.667784063232524261e+00
5.678854522015915895e-01 9.654979931720944819e+00
5.682488771008588069e-01 9.641269200075445411e+00
5.686125345781160023e-01 9.626662645280058328e+00
5.689764247822054477e-01 9.611170973147860508e+00
5.693405478620623406e-01 9.594804818653171807e+00
5.697049039667193560e-01 9.577574746262177641e+00
5.700694932453019836e-01 9.559491250262766471e+00
5.704343158470340791e-01 9.540564755092734828e+00
5.707993719212320904e-01 9.520805615667340405e+00
5.711646616173108315e-01 9.500224117705117877e+00
5.715301850847780418e-01 9.478830478053104969e+00
5.718959424732396046e-01 9.456634845010331247e+00
5.722619339323949950e-01 9.433647298650692292e+00
5.726281596120413875e-01 9.409877851144150540e+00
5.729946196620697707e-01 9.385336447077282429e+00
5.733613142324696099e-01 9.360032963772118464e+00
5.737282434733235181e-01 9.333977211604494784e+00
5.740954075348121410e-01 9.307178934320575081e+00
5.744628065672126027e-01 9.279647809352656651e+00
5.748304407208956190e-01 9.251393448133962139e+00
5.751983101463312709e-01 9.222425396411637166e+00
5.755664149940833418e-01 9.192753134559486838e+00
5.759347554148140924e-01 9.162386077888770686e+00
5.763033315592800410e-01 9.131333576958592602e+00
5.766721435783365157e-01 9.099604917884441591e+00
5.770411916229331029e-01 9.067209322646387903e+00
5.774104758441180874e-01 9.034155949395383800e+00
5.777799963930344562e-01 9.000453892759185948e+00
5.781497534209238953e-01 8.966112184146460606e+00
5.785197470791229035e-01 8.931139792050503345e+00
5.788899775190666785e-01 8.895545622351123782e+00
5.792604448922855642e-01 8.859338518616130642e+00
5.796311493504087142e-01 8.822527262401049342e+00
5.800020910451604284e-01 8.785120573548423906e+00
5.803732701283639273e-01 8.747127110485324764e+00
5.807446867519377998e-01 8.708555470520476405e+00
5.811163410678998886e-01 8.669414190139576704e+00
5.814882332283628497e-01 8.629711745300351566e+00
5.818603633855394808e-01 8.589456551725545452e+00
5.822327316917371709e-01 8.548656965195968738e+00
5.826053382993628960e-01 8.507321281841347727e+00
5.829781833609207764e-01 8.465457738430917090e+00
5.833512670290111890e-01 8.423074512662761748e+00
5.837245894563343196e-01 8.380179723451620433e+00
5.840981507956857222e-01 8.336781431216513383e+00
5.844719511999612038e-01 8.292887638166256181e+00
5.848459908221517178e-01 8.248506288585073065e+00
5.852202698153489147e-01 8.203645269115920513e+00
5.855947883327399239e-01 8.158312409044015112e+00
5.859695465276119064e-01 8.112515480578174731e+00
5.863445445533485012e-01 8.066262199132081534e+00
5.867197825634331565e-01 8.019560223603663829e+00
5.870952607114455768e-01 7.972417156654308279e+00
5.874709791510659418e-01 7.924840544986053281e+00
5.878469380360705765e-01 7.876837879618831195e+00
5.882231375203363921e-01 7.828416596165579833e+00
5.885995777578364452e-01 7.779584075107457863e+00
5.889762589026449335e-01 7.730347642066827341e+00
5.893531811089318673e-01 7.680714568080557747e+00
5.897303445309687309e-01 7.630692069870876004e+00
5.901077493231230431e-01 7.580287310116670341e+00
5.904853956398637971e-01 7.529507397722338347e+00
5.908632836357560203e-01 7.478359388087091553e+00
5.912414134654658815e-01 7.426850283371821071e+00
5.916197852837581372e-01 7.374987032766015638e+00
5.919983992454952437e-01 7.322776532753457523e+00
5.923772555056406874e-01 7.270225627376327715e+00
5.927563542192550994e-01 7.217341108499333302e+00
5.931356955415004739e-01 7.164129716071712117e+00
5.935152796276360609e-01 7.110598138389424783e+00
5.938951066330223627e-01 7.056753012355204469e+00
5.942751767131173590e-01 7.002600923738755867e+00
5.946554900234807262e-01 6.948148407434810991e+00
5.950360467197691738e-01 6.893401947721502054e+00
5.954168469577416634e-01 6.838367978516337153e+00
5.957978908932543005e-01 6.783052883632680441e+00
5.961791786822653316e-01 6.727462997033843095e+00
5.965607104808304806e-01 6.671604603087578411e+00
5.969424864451076118e-01 6.615483936818268518e+00
5.973245067313524004e-01 6.559107184159478798e+00
5.977067714959225508e-01 6.502480482204297196e+00
5.980892808952735784e-01 6.445609919455956849e+00
5.984720350859638049e-01 6.388501536076170773e+00
5.988550342246489189e-01 6.331161324134037649e+00
5.992382784680874153e-01 6.273595227852418077e+00
5.996217679731357109e-01 6.215809143854886365e+00
6.000055028967532511e-01 6.157808921410265590e+00
6.003894833959970700e-01 6.099600362677795040e+00
6.007737096280267863e-01 6.041189222949829407e+00
6.011581817501026048e-01 5.982581210894610813e+00
6.015428999195835402e-01 5.923781988798136666e+00
6.019278642939316359e-01 5.864797172804155245e+00
6.023130750307073011e-01 5.805632333154613356e+00
6.026985322875744178e-01 5.746292994427680156e+00
6.030842362222950115e-01 5.686784635776471752e+00
6.034701869927346918e-01 5.627112691165192082e+00
6.038563847568577669e-01 5.567282549605965691e+00
6.042428296727317960e-01 5.507299555393300849e+00
6.046295218985231479e-01 5.447169008339034946e+00
6.050164615925019973e-01 5.386896164004938647e+00
6.054036489130372178e-01 5.326486233935956882e+00
6.057910840186015999e-01 5.265944385890974466e+00
6.061787670677668549e-01 5.205275744074261191e+00
6.065666982192084999e-01 5.144485389364499284e+00
6.069548776317011951e-01 5.083578359544411285e+00
6.073433054641238504e-01 5.022559649527956083e+00
6.077319818754544078e-01 4.961434211588290566e+00
6.081209070247750592e-01 4.900206955583190194e+00
6.085100810712673614e-01 4.838882749181187215e+00
6.088995041742171210e-01 4.777466418085292155e+00
6.092891764930098430e-01 4.715962746257341465e+00
6.096790981871350601e-01 4.654376476140070551e+00
6.100692694161824470e-01 4.592712308879598027e+00
6.104596903398452623e-01 4.530974904545923998e+00
6.108503611179191273e-01 4.469168882353259598e+00
6.112412819103001382e-01 4.407298820879655743e+00
6.116324528769888635e-01 4.345369258284788039e+00
6.120238741780861247e-01 4.283384692528231952e+00
6.124155459737977703e-01 4.221349581585442046e+00
6.128074684244293469e-01 4.159268343664476397e+00
6.131996416903915392e-01 4.097145357420200362e+00
6.135920659321953963e-01 4.034984962169223088e+00
6.139847413104571050e-01 3.972791458102512774e+00
6.143776679858929946e-01 3.910569106498701153e+00
6.147708461193248652e-01 3.848322129934933944e+00
6.151642758716749926e-01 3.786054712498498898e+00
6.155579574039712343e-01 3.723770999996058872e+00
6.159518908773417012e-01 3.661475100163661622e+00
6.163460764530201974e-01 3.599171082874272010e+00
6.167405142923413353e-01 3.536862980346067165e+00
6.171352045567454203e-01 3.474554787348395735e+00
6.175301474077735664e-01 3.412250461408448565e+00
6.179253430070728026e-01 3.349953923015546842e+00
6.183207915163909663e-01 3.287669055826217157e+00
6.187164930975822541e-01 3.225399706866783234e+00
6.191124479126014490e-01 3.163149686736925315e+00
6.195086561235091382e-01 3.100922769810710022e+00
6.199051178924697147e-01 3.038722694437962613e+00
6.203018333817493790e-01 2.976553163144800784e+00
6.206988027537204688e-01 2.914417842832423222e+00
6.210960261708571295e-01 2.852320364976431932e+00
6.214935037957395325e-01 2.790264325824027836e+00
6.218912357910497679e-01 2.728253286591708182e+00
6.222892223195765071e-01 2.666290773660838553e+00
6.226874635442097849e-01 2.604380278773929636e+00
6.230859596279466617e-01 2.542525259228487045e+00
6.234847107338860051e-01 2.480729138071720019e+00
6.238837170252333753e-01 2.418995304292959059e+00
6.242829786652964730e-01 2.357327113016705056e+00
6.246824958174898024e-01 2.295727885693511272e+00
6.250822686453302302e-01 2.234200910291494147e+00
6.254822973124416485e-01 2.172749441485672506e+00
6.258825819825499792e-01 2.111376700847999555e+00
6.262831228194886135e-01 2.050085877035079829e+00
6.266839199871931942e-01 1.988880125976701718e+00
6.270849736497069449e-01 1.927762571062035413e+00
6.274862839711752294e-01 1.866736303326689494e+00
6.278878511158515474e-01 1.805804381637307721e+00
6.282896752480913172e-01 1.744969832877221405e+00
6.286917565323574264e-01 1.684235652129596694e+00
6.290940951332180120e-01 1.623604802861014385e+00
6.294966912153445726e-01 1.563080217104228842e+00
6.298995449435164096e-01 1.502664795639247819e+00
6.303026564826158529e-01 1.442361408175052873e+00
6.307060259976333683e-01 1.382172893529091562e+00
6.311096536536622281e-01 1.322102059807610308e+00
6.315135396159041736e-01 1.262151684583589617e+00
6.319176840496638636e-01 1.202324515075642752e+00
6.323220871203545368e-01 1.142623268324488572e+00
6.327267489934926825e-01 1.083050631370359396e+00
6.331316698347031480e-01 1.023609261428113371e+00
6.335368498097141421e-01 9.643017860631227789e-01
6.339422890843627867e-01 9.051308033648987061e-01
6.343479878245895653e-01 8.460988821216129940e-01
6.347539461964439855e-01 7.872085619922700728e-01
6.351601643660785834e-01 7.284623536798642274e-01
6.355666424997556962e-01 6.698627391019679189e-01
6.359733807638409120e-01 6.114121715625433495e-01
6.363803793248088425e-01 5.531130759212630199e-01
6.367876383492383496e-01 4.949678487636451352e-01
6.371951580038174301e-01 4.369788585691030680e-01
6.376029384553379975e-01 3.791484458797356183e-01
6.380109798707006563e-01 3.214789234669978568e-01
6.384192824169130365e-01 2.639725764985808576e-01
6.388278462610874620e-01 2.066316627047125043e-01
6.392366715704460578e-01 1.494584125426858812e-01
6.396457585123149769e-01 9.245502936226340784e-02
6.400551072541303954e-01 3.562368956870982928e-02
6.404647179634329612e-01 -2.103345721321548539e-02
6.408745908078731235e-01 -7.751428797749050637e-02
6.412847259552059143e-01 -1.338167061742640551e-01
6.416951235732966108e-01 -1.899386415494819236e-01
6.421057838301149623e-01 -2.458780499835998556e-01
6.425167068937409631e-01 -3.016329133325855172e-01
6.429278929323596348e-01 -3.572012392680344317e-01
6.433393421142662438e-01 -4.125810611194629107e-01
6.437510546078610840e-01 -4.677704377157530513e-01
6.441630305816546942e-01 -5.227674532287609477e-01
6.445752702042630844e-01 -5.775702170162017035e-01
6.449877736444128429e-01 -6.321768634665010378e-01
6.454005410709354740e-01 -6.865855518429216930e-01
6.458135726527736153e-01 -7.407944661298982991e-01
6.462268685589751538e-01 -7.948018148784148362e-01
6.466404289586988874e-01 -8.486058310535583571e-01
6.470542540212091964e-01 -9.022047718813286377e-01
6.474683439158814835e-01 -9.555969186974352381e-01
6.478826988121967334e-01 -1.008780576795371697e+00
6.482973188797466202e-01 -1.061754075276485798e+00
6.487122042882310646e-01 -1.114515766899719207e+00
6.491273552074570130e-01 -1.167064027932148695e+00
6.495427718073421008e-01 -1.219397258000791906e+00
6.499584542579107671e-01 -1.271513879944072833e+00
6.503744027292983620e-01 -1.323412339664973292e+00
6.507906173917468173e-01 -1.375091105983696105e+00
6.512070984156095310e-01 -1.426548670492166604e+00
6.516238459713461495e-01 -1.477783547407875764e+00
6.520408602295281186e-01 -1.528794273429691764e+00
6.524581413608336877e-01 -1.579579407593001195e+00
6.528756895360525725e-01 -1.630137531126642170e+00
6.532935049260812921e-01 -1.680467247309328505e+00
6.537115877019284982e-01 -1.730567181327918647e+00
6.541299380347093129e-01 -1.780435980134953189e+00
6.545485560956516569e-01 -1.830072312308248295e+00
6.549674420560893662e-01 -1.879474867909545877e+00
6.553865960874697416e-01 -1.928642358345460384e+00
6.558060183613462213e-01 -1.977573516227300265e+00
6.562257090493851530e-01 -2.026267095233124316e+00
6.566456683233600211e-01 -2.074721869968974897e+00
6.570658963551566645e-01 -2.122936635831952135e+00
6.574863933167686136e-01 -2.170910208872784963e+00
6.579071593803018647e-01 -2.218641425660042188e+00
6.583281947179701055e-01 -2.266129143143887248e+00
6.587494995020990451e-01 -2.313372238521438362e+00
6.591710739051246382e-01 -2.360369609102050070e+00
6.595929180995915297e-01 -2.407120172173198291e+00
6.600150322581570528e-01 -2.453622864867562647e+00
6.604374165535866759e-01 -2.499876644029785044e+00
6.608600711587587773e-01 -2.545880486084795002e+00
6.612829962466599820e-01 -2.591633386905724201e+00
6.617061919903903799e-01 -2.637134361683449946e+00
6.621296585631575304e-01 -2.682382444795519572e+00
6.625533961382833459e-01 -2.727376689677044386e+00
6.629774048891974303e-01 -2.772116168690678784e+00
6.634016849894434076e-01 -2.816599972998622636e+00
6.638262366126728153e-01 -2.860827212433825650e+00
6.642510599326515441e-01 -2.904797015373084879e+00
6.646761551232536203e-01 -2.948508528609431689e+00
6.651015223584670899e-01 -2.991960917226284433e+00
6.655271618123889121e-01 -3.035153364471072202e+00
6.659530736592297329e-01 -3.078085071630407565e+00
6.663792580733093329e-01 -3.120755257904904489e+00
6.668057152290617351e-01 -3.163163160285475506e+00
6.672324453010296530e-01 -3.205308033429180359e+00
6.676594484638703753e-01 -3.247189149536717778e+00
6.680867248923502144e-01 -3.288805798229376354e+00
6.685142747613495029e-01 -3.330157286427537500e+00
6.689420982458601506e-01 -3.371242938229036756e+00
6.693701955209844234e-01 -3.412062094788162803e+00
6.697985667619390515e-01 -3.452614114195734718e+00
6.702272121440502328e-01 -3.492898371358848397e+00
6.706561318427592955e-01 -3.532914257882163955e+00
6.710853260336170356e-01 -3.572661181948678877e+00
6.715147948922889354e-01 -3.612138568202069688e+00
6.719445385945509441e-01 -3.651345857628652158e+00
6.723745573162933642e-01 -3.690282507440683091e+00
6.728048512335168541e-01 -3.728947990959410319e+00
6.732354205223374244e-01 -3.767341797499530021e+00
6.736662653589811089e-01 -3.805463432253195943e+00
6.740973859197888496e-01 -3.843312416175493240e+00
6.745287823812126105e-01 -3.880888285869668497e+00
6.749604549198193748e-01 -3.918190593473547700e+00
6.753924037122865931e-01 -3.955218906545763247e+00
6.758246289354075120e-01 -3.991972807953332314e+00
6.762571307660857345e-01 -4.028451895758844437e+00
6.766899093813409927e-01 -4.064655783109121678e+00
6.771229649583032639e-01 -4.100584098123390753e+00
6.775562976742188770e-01 -4.136236483782995244e+00
6.779899077064446278e-01 -4.171612597820623769e+00
6.784237952324532195e-01 -4.206712112610960119e+00
6.788579604298305981e-01 -4.241534715061198391e+00
6.792924034762742869e-01 -4.276080106502137212e+00
6.797271245495986047e-01 -4.310348002580346005e+00
6.801621238277285597e-01 -4.344338133149911130e+00
6.805974014887060664e-01 -4.378050242165673289e+00
6.810329577106839505e-01 -4.411484087576002189e+00
6.814687926719320554e-01 -4.444639441217010933e+00
6.819049065508313578e-01 -4.477516088706345876e+00
6.823412995258799629e-01 -4.510113829338373570e+00
6.827779717756871092e-01 -4.542432475978954720e+00
6.832149234789794967e-01 -4.574471854961635664e+00
6.836521548145950700e-01 -4.606231805983400207e+00
6.840896659614893460e-01 -4.637712182001832772e+00
6.845274570987293083e-01 -4.668912849131842790e+00
6.849655284054995130e-01 -4.699833686543792410e+00
6.854038800610962046e-01 -4.730474586361221867e+00
6.858425122449333111e-01 -4.760835453559899122e+00
6.862814251365368934e-01 -4.790916205866548871e+00
6.867206189155503626e-01 -4.820716773658817011e+00
6.871600937617295957e-01 -4.850237099864983747e+00
6.875998498549480420e-01 -4.879477139864871305e+00
6.880398873751917277e-01 -4.908436861390518935e+00
6.884802065025638074e-01 -4.937116244427971701e+00
6.889208074172827878e-01 -4.965515281119127877e+00
6.893616902996804185e-01 -4.993633975664018898e+00
6.898028553302065768e-01 -5.021472344224036988e+00
6.902443026894236056e-01 -5.049030414824915880e+00
6.906860325580126414e-01 -5.076308227260965644e+00
6.911280451167675087e-01 -5.103305832998967340e+00
6.915703405466002707e-01 -5.130023295083275592e+00
6.920129190285362331e-01 -5.156460688040703566e+00
6.924557807437193846e-01 -5.182618097786524380e+00
6.928989258734066237e-01 -5.208495621530240705e+00
6.933423545989737535e-01 -5.234093367682513431e+00
6.937860671019099312e-01 -5.259411455761861198e+00
6.942300635638231077e-01 -5.284450016302451480e+00
6.946743441664346985e-01 -5.309209190761717601e+00
6.951189090915854685e-01 -5.333689131429073527e+00
6.955637585212294249e-01 -5.357890001334382646e+00
6.960088926374397023e-01 -5.381811974157556300e+00
6.964543116224036767e-01 -5.405455234137987119e+00
6.969000156584277406e-01 -5.428819975984964685e+00
6.973460049279320838e-01 -5.451906404787974836e+00
6.977922796134568006e-01 -5.474714735928062126e+00
6.982388398976555610e-01 -5.497245194988961359e+00
6.986856859633014949e-01 -5.519498017669294043e+00
6.991328179932843057e-01 -5.541473449694764852e+00
6.995802361706097150e-01 -5.563171746730899869e+00
7.000279406784000180e-01 -5.584593174296271556e+00
7.004759316998966368e-01 -5.605738007676248635e+00
7.009242094184580107e-01 -5.626606531836951142e+00
7.013727740175578207e-01 -5.647199041339648673e+00
7.018216256807900955e-01 -5.667515840255910931e+00
7.022707645918633279e-01 -5.687557242082652564e+00
7.027201909346066921e-01 -5.707323569658185214e+00
7.031699048929637152e-01 -5.726815155078098130e+00
7.036199066509991606e-01 -5.746032339612149542e+00
7.040701963928920337e-01 -5.764975473620981283e+00
7.045207743029426872e-01 -5.783644916473837938e+00
7.049716405655659379e-01 -5.802041036466126123e+00
7.054227953652980609e-01 -5.820164210737945432e+00
7.058742388867901285e-01 -5.838014825192495039e+00
7.063259713148144492e-01 -5.855593274415393346e+00
7.067779928342587947e-01 -5.872899961593939011e+00
7.072303036301318402e-01 -5.889935298437210420e+00
7.076829038875580569e-01 -5.906699705096168707e+00
7.081357937917832635e-01 -5.923193610084564575e+00
7.085889735281687418e-01 -5.939417450199822923e+00
7.090424432821974543e-01 -5.955371670444773002e+00
7.094962032394679374e-01 -5.971056723949335954e+00
7.099502535857008523e-01 -5.986473071893056108e+00
7.104045945067324341e-01 -6.001621183427576334e+00
7.108592261885200436e-01 -6.016501535599919848e+00
7.113141488171402793e-01 -6.031114613275916803e+00
7.117693625787863132e-01 -6.045460909064001243e+00
7.122248676597736639e-01 -6.059540923239672416e+00
7.126806642465342012e-01 -6.073355163669962309e+00
7.131367525256216977e-01 -6.086904145738666116e+00
7.135931326837067212e-01 -6.100188392271628679e+00
7.140498049075819642e-01 -6.113208433462723690e+00
7.145067693841571366e-01 -6.125964806799915507e+00
7.149640263004638507e-01 -6.138458056991993317e+00
7.154215758436509587e-01 -6.150688735895417203e+00
7.158794182009901030e-01 -6.162657402441818810e+00
