# Psi stats weights for ggl in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      Q(theta)
5.000000000000000000e-01 2.083865830632348126e-05
5.003199808146676641e-01 2.077613558227799168e-05
5.006401664047791522e-01 2.077592535301742724e-05
5.009605569013820814e-01 2.072236718702699545e-05
5.012811524356098891e-01 2.072222468874933212e-05
5.016019531386775032e-01 2.066873553718091909e-05
5.019229591418863379e-01 2.066866059373600946e-05
5.022441705766194087e-01 2.061524028240407940e-05
5.025655875743462175e-01 2.061523271808814213e-05
5.028872102666178678e-01 2.056188107325514482e-05
5.032090387850723934e-01 2.056194071280954147e-05
5.035310732614295404e-01 2.050865756118486191e-05
5.038533138274952083e-01 2.050878422979506019e-05
5.041757606151581195e-01 2.045556939853363629e-05
5.044984137563931492e-01 2.045576292182803437e-05
5.048212733832576626e-01 2.040261623852943196e-05
5.051443396278955111e-01 2.040287644257818620e-05
5.054676126225331467e-01 2.034979773528544704e-05
5.057910924994836188e-01 2.035012444659942504e-05
5.061147793911427994e-01 2.029711354379767435e-05
5.064386734299930470e-01 2.029750658932718779e-05
5.067627747485995426e-01 2.024456331994304130e-05
5.070870834796145088e-01 2.024502252707680239e-05
5.074115997557729907e-01 2.019214672047674343e-05
5.077363237098961868e-01 2.019267191704078072e-05
5.080612554748905607e-01 2.013986340303006923e-05
5.083863951837462869e-01 2.014045441728657226e-05
5.087117429695404702e-01 2.008771302610851974e-05
5.090372989654330382e-01 2.008836968675470398e-05
5.093630633046718481e-01 2.003569524908914545e-05
5.096890361205873576e-01 2.003641738525608346e-05
5.100152175465978432e-01 1.998380973221855752e-05
5.103416077162046260e-01 1.998459717347013194e-05
5.106682067629967348e-01 1.993205613661053907e-05
5.109950148206463538e-01 1.993290871294234155e-05
5.113220320229135973e-01 1.988043412424401915e-05
5.116492585036418461e-01 1.988135166608224577e-05
5.119766943967624107e-01 1.982894335796074505e-05
5.123043398362902012e-01 1.982992569616096984e-05
5.126321949563277247e-01 1.977758350146296485e-05
5.129602598910615319e-01 1.977863046730922157e-05
5.132885347747662141e-01 1.972635421931154357e-05
5.136170197417996297e-01 1.972746564451511960e-05
5.139457149266083436e-01 1.967525517692345261e-05
5.142746204637225205e-01 1.967643089362181824e-05
5.146037364877606990e-01 1.962428604056974365e-05
5.149330631334252395e-01 1.962552588132538659e-05
5.152626005355072092e-01 1.957344647737332258e-05
5.155923488288812750e-01 1.957475027517285350e-05
5.159223081485104778e-01 1.952273615530676764e-05
5.162524786294441226e-01 1.952410374355948358e-05
5.165828604068160024e-01 1.947215474319019822e-05
5.169134536158490612e-01 1.947358595572738465e-05
5.172442583918502867e-01 1.942170191068897772e-05
5.175752748702153738e-01 1.942319658176261765e-05
5.179065031864249491e-01 1.937137732831176537e-05
5.182379434760479020e-01 1.937293529259347550e-05
5.185695958747380541e-01 1.932118066740817845e-05
5.189014605182381557e-01 1.932280175998816221e-05
5.192335375423756672e-01 1.927111160016672887e-05
5.195658270830673109e-01 1.927279565655263464e-05
5.198983292763141861e-01 1.922116979961262432e-05
5.202310442582069872e-01 1.922291665572857980e-05
5.205639721649211182e-01 1.917135493960569131e-05
5.208971131327214676e-01 1.917316443179118205e-05
5.212304672979577447e-01 1.912166669483816950e-05
5.215640347970693647e-01 1.912353865984695131e-05
5.218978157665807860e-01 1.907210474083264497e-05
5.222318103431056180e-01 1.907403901583178170e-05
5.225660186633432902e-01 1.902266875393992583e-05
5.229004408640828272e-01 1.902466517650846459e-05
5.232350770821981856e-01 1.897335841133689752e-05
5.235699274546530280e-01 1.897541681946516399e-05
5.239049921184982805e-01 1.892417339102430026e-05
5.242402712108712448e-01 1.892629362311261791e-05
5.245757648689988173e-01 1.887511337182487566e-05
5.249114732301941588e-01 1.887729526668259343e-05
5.252473964318596922e-01 1.882617803338110352e-05
5.255835346114843265e-01 1.882842143022548444e-05
5.259198879066464549e-01 1.877736705615308418e-05
5.262564564550108459e-01 1.877967179460829239e-05
5.265932403943324180e-01 1.872868012141653621e-05
5.269302398624520212e-01 1.873104604151254254e-05
5.272674549973008773e-01 1.868011691126057373e-05
5.276048859368962507e-01 1.868254385343234595e-05
5.279425328193461109e-01 1.863167710858581924e-05
5.282803957828444696e-01 1.863416491367184485e-05
5.286184749656760440e-01 1.858336039710215391e-05
5.289567705062115932e-01 1.858590890634390482e-05
5.292952825429131369e-01 1.853516646132680670e-05
5.296340112143286261e-01 1.853777551636726534e-05
5.299729566590971608e-01 1.848709498658207407e-05
5.303121190159442166e-01 1.848976442946503212e-05
5.306514984236863075e-01 1.843914565899353790e-05
5.309910950212265446e-01 1.844187533216233585e-05
5.313309089475594105e-01 1.839131816548775813e-05
5.316709403417655411e-01 1.839410791178442811e-05
5.320111893430167216e-01 1.834361219379038559e-05
5.323516560905736661e-01 1.834646185645441807e-05
5.326923407237846853e-01 1.829602743242400714e-05
5.330332433820891280e-01 1.829893685509162250e-05
5.333743642050136069e-01 1.824856357070616698e-05
5.337157033321763278e-01 1.825153259740905853e-05
5.340572609032825380e-01 1.820122029874741176e-05
5.343990370581289673e-01 1.820424877391184444e-05
5.347410319365997200e-01 1.815399730744915598e-05
5.350832456786707159e-01 1.815708507589485849e-05
5.354256784244051381e-01 1.810689428850152720e-05
5.357683303139579856e-01 1.811004119544082461e-05
5.361112014875718534e-01 1.805991093438176679e-05
5.364542920855811525e-01 1.806311682541843539e-05
5.367976022484080012e-01 1.801304693835170244e-05
5.371411321165666664e-01 1.801631165948003118e-05
5.374848818306587894e-01 1.796630199445623701e-05
5.378288515313787155e-01 1.796962539206001109e-05
5.381730413595081641e-01 1.791967579752094296e-05
5.385174514559212255e-01 1.792305771837239011e-05
5.388620819615803637e-01 1.787316804315021922e-05
5.392069330175399688e-01 1.787660833440917285e-05
5.395520047649425832e-01 1.782677842772542435e-05
5.398972973450230084e-01 1.783027693693811056e-05
5.402428108991059741e-01 1.778050664840259628e-05
5.405885455686055829e-01 1.778406322350087494e-05
5.409345014950280861e-01 1.773435240311082602e-05
5.412806788199684416e-01 1.773796689241094059e-05
5.416270776851141999e-01 1.768831539055004863e-05
5.419736982322415075e-01 1.769198764275184681e-05
5.423205406032194364e-01 1.764239531018901708e-05
5.426676049400057655e-01 1.764612517437492766e-05
5.430148913846510883e-01 1.759659186226362516e-05
5.433624000792948161e-01 1.760037918789749924e-05
5.437101311661695080e-01 1.755090474777461367e-05
5.440580847875965409e-01 1.755474938470106061e-05
5.444062610859906615e-01 1.750533366848583912e-05
5.447546602038555452e-01 1.750923546692890177e-05
5.451032822837880154e-01 1.745987832692222729e-05
5.454521274684741572e-01 1.746383713748467725e-05
5.458011959006937586e-01 1.741453842636777761e-05
5.461504877233154254e-01 1.741855410003009203e-05
5.465000030793014663e-01 1.736931367086386234e-05
5.468497421117037849e-01 1.737338605898310244e-05
5.471997049636675436e-01 1.732420376520699037e-05
5.475498917784277220e-01 1.732833271951602556e-05
5.479003026993124470e-01 1.727920841494702171e-05
5.482509378697416613e-01 1.728339378755332342e-05
5.486017974332252356e-01 1.723432732638522266e-05
5.489528815333672984e-01 1.723856896977015961e-05
5.493041903138616844e-01 1.718956020657234142e-05
5.496557239184960419e-01 1.719385797359016316e-05
5.500074824911481697e-01 1.714490676330672421e-05
5.503594661757903461e-01 1.714926050718345999e-05
5.507116751164841117e-01 1.710036670513238408e-05
5.510641094573861531e-01 1.710477627946496194e-05
5.514167693427425299e-01 1.705593974133700529e-05
5.517696549168943365e-01 1.706040500009243214e-05
5.521227663242725958e-01 1.701162558195018826e-05
5.524761037094029215e-01 1.701614637946438773e-05
5.528296672169015213e-01 1.696742393774147768e-05
5.531834569914789723e-01 1.697200012871845327e-05
5.535374731779364454e-01 1.692333452021845837e-05
5.538917159211699248e-01 1.692796595972930070e-05
5.542461853661660998e-01 1.687935704162485794e-05
5.546008816580062506e-01 1.688404358510694179e-05
5.549558049418628070e-01 1.683549121493875105e-05
5.553109553630029005e-01 1.684023271819453936e-05
5.556663330667847012e-01 1.679173675387059096e-05
5.560219381986613030e-01 1.679653307306694021e-05
5.563777709041769493e-01 1.674809337286139004e-05
5.567338313289705853e-01 1.675294436452841529e-05
5.570901196187743043e-01 1.670456078708068356e-05
5.574466359194121257e-01 1.670946630811114854e-05
5.578033803768028820e-01 1.666113871242508630e-05
5.581603531369574434e-01 1.666609862007296686e-05
5.585175543459817149e-01 1.661782686551587683e-05
5.588749841500733062e-01 1.662284101739591033e-05
5.592326426955251950e-01 1.657462496369763213e-05
5.595905301287219524e-01 1.657969321778403668e-05
5.599486465961441839e-01 1.653153272503603876e-05
5.603069922443637552e-01 1.653665493966189327e-05
5.606655672200488993e-01 1.648854986831625312e-05
5.610243716699591099e-01 1.649372590217232154e-05
5.613834057409502476e-01 1.644567611304094642e-05
5.617426695799698777e-01 1.645090582517490867e-05
5.621021633340618218e-01 1.640291117942857337e-05
5.624618871503618278e-01 1.640819442924405295e-05
5.628218411761020112e-01 1.636025478841133591e-05
5.631820255586065249e-01 1.636559143566699187e-05
5.635424404452957781e-01 1.631770666163366194e-05
5.639030859836825504e-01 1.632309656644226732e-05
5.642639623213763223e-01 1.627526652145013856e-05
5.646250696060786112e-01 1.628070954427778078e-05
5.649864079855870802e-01 1.623293409092385189e-05
5.653479776077942054e-01 1.623843009258870964e-05
5.657097786206853884e-01 1.619070909382435756e-05
5.660718111723429535e-01 1.619625793549619256e-05
5.664340754109413734e-01 1.614859125462617302e-05
5.667965714847528202e-01 1.615419279782514422e-05
5.671592995421417260e-01 1.610658029850671753e-05
5.675222597315697781e-01 1.611223440510270343e-05
5.678854522015915895e-01 1.606467595134468250e-05
5.682488771008588069e-01 1.607038248355614277e-05
5.686125345781160023e-01 1.602287793971817812e-05
5.689764247822054477e-01 1.602863676011139467e-05
5.693405478620623406e-01 1.598118599090282593e-05
5.697049039667193560e-01 1.598699696239101517e-05
5.700694932453019836e-01 1.593959983287023408e-05
