# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 0.5
# number of COSEBI modes = 20
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 -3.052437837276297117e+01
5.003199808146676641e-01 -2.931869805592592471e+01
5.006401664047791522e-01 -2.813722348364647630e+01
5.009605569013820814e-01 -2.697962903748976871e+01
5.012811524356098891e-01 -2.584559237731409809e+01
5.016019531386775032e-01 -2.473479441510533761e+01
5.019229591418863379e-01 -2.364691928894943729e+01
5.022441705766194087e-01 -2.258165433721024939e+01
5.025655875743462175e-01 -2.153869007284372117e+01
5.028872102666178678e-01 -2.051772015791366854e+01
5.032090387850723934e-01 -1.951844137824208758e+01
5.035310732614295404e-01 -1.854055361826033632e+01
5.038533138274952083e-01 -1.758375983599592374e+01
5.041757606151581195e-01 -1.664776603824855528e+01
5.044984137563931492e-01 -1.573228125591037951e+01
5.048212733832576626e-01 -1.483701751947013037e+01
5.051443396278955111e-01 -1.396168983465767788e+01
5.054676126225331467e-01 -1.310601615827232713e+01
5.057910924994836188e-01 -1.226971737415012065e+01
5.061147793911427994e-01 -1.145251726931174296e+01
5.064386734299930470e-01 -1.065414251024981773e+01
5.067627747485995426e-01 -9.874322619392868816e+00
5.070870834796145088e-01 -9.112789951706815827e+00
5.074115997557729907e-01 -8.369279671473233151e+00
5.077363237098961868e-01 -7.643529729204840528e+00
5.080612554748905607e-01 -6.935280838725681463e+00
5.083863951837462869e-01 -6.244276454405985888e+00
5.087117429695404702e-01 -5.570262748539537512e+00
5.090372989654330382e-01 -4.912988588888548058e+00
5.093630633046718481e-01 -4.272205516360413569e+00
5.096890361205873576e-01 -3.647667722855953087e+00
5.100152175465978432e-01 -3.039132029245974476e+00
5.103416077162046260e-01 -2.446357863515800979e+00
5.106682067629967348e-01 -1.869107239039652146e+00
5.109950148206463538e-01 -1.307144733018786420e+00
5.113220320229135973e-01 -7.602374650490515418e-01
5.116492585036418461e-01 -2.281550758500368314e-01
5.119766943967624107e-01 2.893302938771806221e-01
5.123043398362902012e-01 7.924440244338706307e-01
5.126321949563277247e-01 1.281409037978123333e+00
5.129602598910615319e-01 1.756445819225580074e+00
5.132885347747662141e-01 2.217772436020382543e+00
5.136170197417996297e-01 2.665604559753003144e+00
5.139457149266082325e-01 3.100155485652884568e+00
5.142746204637225205e-01 3.521636152928555585e+00
5.146037364877606990e-01 3.930255164780936283e+00
5.149330631334252395e-01 4.326218808270184901e+00
5.152626005355072092e-01 4.709731074055865996e+00
5.155923488288812750e-01 5.080993675990177039e+00
5.159223081485104778e-01 5.440206070587933596e+00
5.162524786294441226e-01 5.787565476354282978e+00
5.165828604068160024e-01 6.123266892979948750e+00
5.169134536158490612e-01 6.447503120410471134e+00
5.172442583918502867e-01 6.760464777773649736e+00
5.175752748702153738e-01 7.062340322185727715e+00
5.179065031864249491e-01 7.353316067419104485e+00
5.182379434760479020e-01 7.633576202447162729e+00
5.185695958747380541e-01 7.903302809854340083e+00
5.189014605182381557e-01 8.162675884124420023e+00
5.192335375423756672e-01 8.411873349794710464e+00
5.195658270830673109e-01 8.651071079490636251e+00
5.198983292763141861e-01 8.880442911827271857e+00
5.202310442582069872e-01 9.100160669193167351e+00
5.205639721649211182e-01 9.310394175402628036e+00
5.208971131327214676e-01 9.511311273230836250e+00
5.212304672979577447e-01 9.703077841819945704e+00
5.215640347970693647e-01 9.885857813968765839e+00
5.218978157665807860e-01 1.005981319329529633e+01
5.222318103431056180e-01 1.022510407128338450e+01
5.225660186633432902e-01 1.038188864420521895e+01
5.229004408640828272e-01 1.053032322992797454e+01
5.232350770821981856e-01 1.067056228459770928e+01
5.235699274546530280e-01 1.080275841920953539e+01
5.239049921184982805e-01 1.092706241605712414e+01
5.242402712108712448e-01 1.104362324506644555e+01
5.245757648689988173e-01 1.115258808001489221e+01
5.249114732301941588e-01 1.125410231463277100e+01
5.252473964318596922e-01 1.134830957859230161e+01
5.255835346114843265e-01 1.143535175338081444e+01
5.259198879066464549e-01 1.151536898806234177e+01
5.262564564550108459e-01 1.158849971492491449e+01
5.265932403943324180e-01 1.165488066501757203e+01
5.269302398624520212e-01 1.171464688357426631e+01
5.272674549973008773e-01 1.176793174532888742e+01
5.276048859368962507e-01 1.181486696971863104e+01
5.279425328193461109e-01 1.185558263597951800e+01
5.282803957828444696e-01 1.189020719813179028e+01
5.286184749656760440e-01 1.191886749985847693e+01
5.289567705062115932e-01 1.194168878927546729e+01
5.292952825429131369e-01 1.195879473359570966e+01
5.296340112143286261e-01 1.197030743368643080e+01
5.299729566590971608e-01 1.197634743852146855e+01
5.303121190159442166e-01 1.197703375952824878e+01
5.306514984236863075e-01 1.197248388483073356e+01
5.309910950212265446e-01 1.196281379338860518e+01
5.313309089475594105e-01 1.194813796903334691e+01
5.316709403417655411e-01 1.192856941440210861e+01
5.320111893430167216e-01 1.190421966476941407e+01
5.323516560905736661e-01 1.187519880177789666e+01
5.326923407237846853e-01 1.184161546706851098e+01
5.330332433820891280e-01 1.180357687581030390e+01
5.333743642050136069e-01 1.176118883013142913e+01
5.337157033321763278e-01 1.171455573245050985e+01
5.340572609032825380e-01 1.166378059871080453e+01
5.343990370581289673e-01 1.160896507151562851e+01
5.347410319365997200e-01 1.155020943316788440e+01
5.350832456786707159e-01 1.148761261861186433e+01
5.354256784244051381e-01 1.142127222828062649e+01
5.357683303139579856e-01 1.135128454084649796e+01
5.361112014875718534e-01 1.127774452587847520e+01
5.364542920855811525e-01 1.120074585640381137e+01
5.367976022484080012e-01 1.112038092137775891e+01
5.371411321165666664e-01 1.103674083805841377e+01
5.374848818306587894e-01 1.094991546429124263e+01
5.378288515313787155e-01 1.085999341069928015e+01
5.381730413595081641e-01 1.076706205278465411e+01
5.385174514559212255e-01 1.067120754293669549e+01
5.388620819615803637e-01 1.057251482235216677e+01
5.392069330175399688e-01 1.047106763286378950e+01
5.395520047649425832e-01 1.036694852868170358e+01
5.398972973450230084e-01 1.026023888804405715e+01
5.402428108991059741e-01 1.015101892478143064e+01
5.405885455686055829e-01 1.003936769979327970e+01
5.409345014950280861e-01 9.925363132436340052e+00
5.412806788199684416e-01 9.809082011828577308e+00
5.416270776851141999e-01 9.690600008064853554e+00
5.419736982322415075e-01 9.569991683349835299e+00
5.423205406032194364e-01 9.447330503043232852e+00
5.426676049400057655e-01 9.322688846623645276e+00
5.430148913846510883e-01 9.196138018565692462e+00
5.433624000792948161e-01 9.067748259136745759e+00
5.437101311661695080e-01 8.937588755107855221e+00
5.440580847875965409e-01 8.805727650385582805e+00
5.444062610859906615e-01 8.672232056558797808e+00
5.447546602038555452e-01 8.537168063367591486e+00
5.451032822837880154e-01 8.400600749088161123e+00
5.454521274684741572e-01 8.262594190840538033e+00
5.458011959006937586e-01 8.123211474813375688e+00
5.461504877233154254e-01 7.982514706413109451e+00
5.465000030793014663e-01 7.840565020330510393e+00
5.468497421117037849e-01 7.697422590532560172e+00
5.471997049636675436e-01 7.553146640173419080e+00
5.475498917784277220e-01 7.407795451430980727e+00
5.479003026993124470e-01 7.261426375263871691e+00
5.482509378697416613e-01 7.114095841093999617e+00
5.486017974332252356e-01 6.965859366413536868e+00
5.489528815333672984e-01 6.816771566313899022e+00
5.493041903138616844e-01 6.666886162943568728e+00
5.496557239184960419e-01 6.516255994887831804e+00
5.500074824911481697e-01 6.364933026477856082e+00
5.503594661757903461e-01 6.212968357022855770e+00
5.507116751164841117e-01 6.060412229973327847e+00
5.510641094573861531e-01 5.907314042006952093e+00
5.514167693427425299e-01 5.753722352047392796e+00
5.517696549168943365e-01 5.599684890206503951e+00
