# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# number of COSEBI modes = 20
# theta[arcmin]      T_-(theta)
5.000000000000001110e-01 1.788571253703451447e+01
5.003199808146676641e-01 1.770426316838538483e+01
5.006401664047791522e-01 1.752403078162532779e+01
5.009605569013820814e-01 1.734462442286962514e+01
5.012811524356098891e-01 1.716591872981027223e+01
5.016019531386775032e-01 1.698829354213192033e+01
5.019229591418863379e-01 1.681177362304698519e+01
5.022441705766194087e-01 1.663643504376797466e+01
5.025655875743462175e-01 1.646190466881735759e+01
5.028872102666178678e-01 1.628805419567477486e+01
5.032090387850723934e-01 1.611527431397366072e+01
5.035310732614295404e-01 1.594358185201499545e+01
5.038533138274952083e-01 1.577305260800753395e+01
5.041757606151581195e-01 1.560331593799964089e+01
5.044984137563931492e-01 1.543423756765377064e+01
5.048212733832576626e-01 1.526621090235161660e+01
5.051443396278955111e-01 1.509925330507765828e+01
5.054676126225331467e-01 1.493344105704608715e+01
5.057910924994836188e-01 1.476840426270959661e+01
5.061147793911427994e-01 1.460400304752140599e+01
5.064386734299930470e-01 1.444063493105645435e+01
5.067627747485995426e-01 1.427831781096709740e+01
5.070870834796145088e-01 1.411712843001858353e+01
5.074115997557729907e-01 1.395669776107731863e+01
5.077363237098961868e-01 1.379688031283869165e+01
5.080612554748905607e-01 1.363807763341193535e+01
5.083863951837462869e-01 1.348030815348116818e+01
5.087117429695404702e-01 1.332364905399553301e+01
5.090372989654330382e-01 1.316773229975348158e+01
5.093630633046718481e-01 1.301240676620306935e+01
5.096890361205873576e-01 1.285807794397191017e+01
5.100152175465978432e-01 1.270476479572547213e+01
5.103416077162046260e-01 1.255254492126188737e+01
5.106682067629967348e-01 1.240105138891855319e+01
5.109950148206463538e-01 1.225012743020747585e+01
5.113220320229135973e-01 1.210018239464861445e+01
5.116492585036418461e-01 1.195123577707414420e+01
5.119766943967624107e-01 1.180336557405392739e+01
5.123043398362902012e-01 1.165620606042279483e+01
5.126321949563277247e-01 1.150959482952853463e+01
5.129602598910615319e-01 1.136394499690379511e+01
5.132885347747662141e-01 1.121927658960000507e+01
5.136170197417996297e-01 1.107566797613739062e+01
5.139457149266082325e-01 1.093275476369299071e+01
5.142746204637225205e-01 1.079036888301427410e+01
5.146037364877606990e-01 1.064892713828176696e+01
5.149330631334252395e-01 1.050845008515107182e+01
5.152626005355072092e-01 1.036901644578413695e+01
5.155923488288812750e-01 1.023026325799471792e+01
5.159223081485104778e-01 1.009201679695833320e+01
5.162524786294441226e-01 9.954697464982128707e+00
5.165828604068160024e-01 9.818326349264177466e+00
5.169134536158490612e-01 9.682982502026113991e+00
5.172442583918502867e-01 9.548304495985149742e+00
5.175752748702153738e-01 9.414112949405723185e+00
5.179065031864249491e-01 9.280831783488357800e+00
5.182379434760479020e-01 9.148482606671525019e+00
5.185695958747380541e-01 9.017144788528737465e+00
5.189014605182381557e-01 8.886458532185397274e+00
5.192335375423756672e-01 8.756238806265468355e+00
5.195658270830673109e-01 8.626912956628249418e+00
5.198983292763141861e-01 8.498503122030886203e+00
5.202310442582069872e-01 8.371088960669551327e+00
5.205639721649211182e-01 8.244312406981084251e+00
5.208971131327214676e-01 8.117982787153987800e+00
5.212304672979577447e-01 7.992530787797864633e+00
5.215640347970693647e-01 7.867979073886583130e+00
5.218978157665807860e-01 7.744407574606953837e+00
5.222318103431056180e-01 7.621460049873179265e+00
5.225660186633432902e-01 7.498940188078545788e+00
5.229004408640828272e-01 7.377281936011477192e+00
5.232350770821981856e-01 7.256508480875257128e+00
5.235699274546530280e-01 7.136700003771364820e+00
5.239049921184982805e-01 7.017502177052411305e+00
5.242402712108712448e-01 6.898713069439328827e+00
5.245757648689988173e-01 6.780769801854783729e+00
5.249114732301941588e-01 6.663696075271339225e+00
5.252473964318596922e-01 6.547572312575158371e+00
5.255835346114843265e-01 6.432046182027393755e+00
5.259198879066464549e-01 6.316910154337767480e+00
5.262564564550108459e-01 6.202604421564815951e+00
5.265932403943324180e-01 6.089153221544195915e+00
5.269302398624520212e-01 5.976637177375067722e+00
5.272674549973008773e-01 5.864706052082331311e+00
5.276048859368962507e-01 5.753146727945471106e+00
5.279425328193461109e-01 5.642402399593091644e+00
5.282803957828444696e-01 5.532497813083551819e+00
5.286184749656760440e-01 5.423513793374054259e+00
5.289567705062115932e-01 5.315102274546307015e+00
5.292952825429131369e-01 5.207044563529941605e+00
5.296340112143286261e-01 5.099786775194660393e+00
5.299729566590971608e-01 4.993354174795564759e+00
5.303121190159442166e-01 4.887827755060933477e+00
5.306514984236863075e-01 4.782861712215752625e+00
5.309910950212265446e-01 4.678231791326136424e+00
5.313309089475594105e-01 4.574386950560132448e+00
5.316709403417655411e-01 4.471352964686685638e+00
5.320111893430167216e-01 4.369210985492141930e+00
5.323516560905736661e-01 4.267617508204586407e+00
5.326923407237846853e-01 4.166342810881325853e+00
5.330332433820891280e-01 4.065838585071643863e+00
5.333743642050136069e-01 3.966131083739341534e+00
5.337157033321763278e-01 3.867301627988471324e+00
5.340572609032825380e-01 3.769009109192118068e+00
5.343990370581289673e-01 3.671018291560220526e+00
5.347410319365997200e-01 3.573783523604265433e+00
5.350832456786707159e-01 3.477331588463805190e+00
5.354256784244051381e-01 3.381743915162053860e+00
5.357683303139579856e-01 3.286681909764775256e+00
5.361112014875718534e-01 3.191904838618176754e+00
5.364542920855811525e-01 3.097869629515358270e+00
5.367976022484080012e-01 3.004603586706890539e+00
5.371411321165666664e-01 2.912188234498447770e+00
5.374848818306587894e-01 2.820287483464487543e+00
5.378288515313787155e-01 2.728655216751525003e+00
5.381730413595081641e-01 2.637750839371808098e+00
5.385174514559212255e-01 2.547602164005202674e+00
5.388620819615803637e-01 2.458290788715570940e+00
5.392069330175399688e-01 2.369483257364390028e+00
5.395520047649425832e-01 2.280928040497650855e+00
5.398972973450230084e-01 2.193086930040016647e+00
5.402428108991059741e-01 2.105988277128793662e+00
5.405885455686055829e-01 2.019713721071370038e+00
5.409345014950280861e-01 1.933932501593096376e+00
5.412806788199684416e-01 1.848387717008072251e+00
5.416270776851141999e-01 1.763543491390138662e+00
5.419736982322415075e-01 1.679428673631211844e+00
5.423205406032194364e-01 1.596124960777990154e+00
5.426676049400057655e-01 1.513304292487637426e+00
5.430148913846510883e-01 1.430704468001811946e+00
5.433624000792948161e-01 1.348791874704754257e+00
5.437101311661695080e-01 1.267595817828963689e+00
5.440580847875965409e-01 1.187198046204876789e+00
5.444062610859906615e-01 1.107273318999335565e+00
5.447546602038555452e-01 1.027554118731627497e+00
5.451032822837880154e-01 9.485090132327957946e-01
5.454521274684741572e-01 8.701677848129252268e-01
