# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 0.5
# number of COSEBI modes = 20
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 -2.360452124600656632e+01
5.003199808146676641e-01 -2.326463195813106211e+01
5.006401664047791522e-01 -2.292725651471177883e+01
5.009605569013820814e-01 -2.259238245328155514e+01
5.012811524356098891e-01 -2.225999735711607386e+01
5.016019531386775032e-01 -2.193008885510826644e+01
5.019229591418863379e-01 -2.160264462163321753e+01
5.022441705766194087e-01 -2.127765237642354634e+01
5.025655875743462175e-01 -2.095509988443508220e+01
5.028872102666178678e-01 -2.063497495572276108e+01
5.032090387850723934e-01 -2.031726544530651424e+01
5.035310732614295404e-01 -2.000195925304801392e+01
5.038533138274952083e-01 -1.968904432351807898e+01
5.041757606151581195e-01 -1.937850864587207056e+01
5.044984137563931492e-01 -1.907034025371906694e+01
5.048212733832576626e-01 -1.876452722499807280e+01
5.051443396278955111e-01 -1.846105768184718698e+01
5.054676126225331467e-01 -1.815991979048055427e+01
5.057910924994836188e-01 -1.786110176105816905e+01
5.061147793911427994e-01 -1.756459184756323211e+01
5.064386734299930470e-01 -1.727037834767290292e+01
5.067627747485995426e-01 -1.697844960263606495e+01
5.070870834796145088e-01 -1.668879399714419876e+01
5.074115997557729907e-01 -1.640139995921018468e+01
5.077363237098961868e-01 -1.611625596004056149e+01
5.080612554748905607e-01 -1.583335051391191151e+01
5.083863951837462869e-01 -1.555267217804805036e+01
5.087117429695404702e-01 -1.527420955249333900e+01
5.090372989654330382e-01 -1.499795127999263400e+01
5.093630633046718481e-01 -1.472388604586361005e+01
5.096890361205873576e-01 -1.445200257787825038e+01
5.100152175465978432e-01 -1.418228964613570220e+01
5.103416077162046260e-01 -1.391473606294378662e+01
5.106682067629967348e-01 -1.364933068269296079e+01
5.109950148206463538e-01 -1.338606240173812623e+01
5.113220320229135973e-01 -1.312492015827312741e+01
5.116492585036418461e-01 -1.286589293221314634e+01
5.119766943967624107e-01 -1.260896974506990453e+01
5.123043398362902012e-01 -1.235413965983430096e+01
5.126321949563277247e-01 -1.210139178085273848e+01
5.129602598910615319e-01 -1.185071525370964807e+01
5.132885347747662141e-01 -1.160209926510444411e+01
5.136170197417996297e-01 -1.135553304273546971e+01
5.139457149266082325e-01 -1.111100585517653627e+01
5.142746204637225205e-01 -1.086850701176121170e+01
5.146037364877606990e-01 -1.062802586246121095e+01
5.149330631334252395e-01 -1.038955179777033067e+01
5.152626005355072092e-01 -1.015307424858297480e+01
5.155923488288812750e-01 -9.918582686079707500e+00
5.159223081485104778e-01 -9.686066621606038041e+00
5.162524786294441226e-01 -9.455515606556449626e+00
5.165828604068160024e-01 -9.226919232258362413e+00
5.169134536158490612e-01 -9.000267129851943437e+00
5.172442583918502867e-01 -8.775548970176918928e+00
5.175752748702153738e-01 -8.552754463652961547e+00
5.179065031864249491e-01 -8.331873360166094145e+00
5.182379434760479020e-01 -8.112895448950549593e+00
5.185695958747380541e-01 -7.895810558475360175e+00
5.189014605182381557e-01 -7.680608556326374625e+00
5.192335375423756672e-01 -7.467279349093924878e+00
5.195658270830673109e-01 -7.255812882255047391e+00
5.198983292763141861e-01 -7.046199140062062938e+00
5.202310442582069872e-01 -6.838428145424967575e+00
5.205639721649211182e-01 -6.632489959800472512e+00
5.208971131327214676e-01 -6.428374683075281482e+00
5.212304672979577447e-01 -6.226072453455449462e+00
5.215640347970693647e-01 -6.025573447350176082e+00
