# Psi stats weights for clustering in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      U(theta)
5.000000000000000000e-01 -1.576597714820669469e-05
5.003199808146676641e-01 -1.576595186100775806e-05
5.006401664047791522e-01 -1.576592655762598931e-05
5.009605569013820814e-01 -1.576590123805103093e-05
5.012811524356098891e-01 -1.576587590227251522e-05
5.016019531386775032e-01 -1.576585055028006772e-05
5.019229591418863379e-01 -1.576582518206332077e-05
5.022441705766194087e-01 -1.576579979761189311e-05
5.025655875743462175e-01 -1.576577439691537980e-05
5.028872102666178678e-01 -1.576574897996339960e-05
5.032090387850723934e-01 -1.576572354674555095e-05
5.035310732614295404e-01 -1.576569809725141872e-05
5.038533138274952083e-01 -1.576567263147057765e-05
5.041757606151581195e-01 -1.576564714939261938e-05
5.044984137563931492e-01 -1.576562165100711186e-05
5.048212733832576626e-01 -1.576559613630360948e-05
5.051443396278955111e-01 -1.576557060527168357e-05
5.054676126225331467e-01 -1.576554505790086819e-05
5.057910924994836188e-01 -1.576551949418072450e-05
5.061147793911427994e-01 -1.576549391410077980e-05
5.064386734299930470e-01 -1.576546831765055797e-05
5.067627747485995426e-01 -1.576544270481959308e-05
5.070870834796145088e-01 -1.576541707559740564e-05
5.074115997557729907e-01 -1.576539142997349582e-05
5.077363237098961868e-01 -1.576536576793736720e-05
5.080612554748905607e-01 -1.576534008947851995e-05
5.083863951837462869e-01 -1.576531439458644747e-05
5.087117429695404702e-01 -1.576528868325063301e-05
5.090372989654330382e-01 -1.576526295546054287e-05
5.093630633046718481e-01 -1.576523721120565689e-05
5.096890361205873576e-01 -1.576521145047544138e-05
5.100152175465978432e-01 -1.576518567325933890e-05
5.103416077162046260e-01 -1.576515987954680900e-05
5.106682067629967348e-01 -1.576513406932729424e-05
5.109950148206463538e-01 -1.576510824259022705e-05
5.113220320229135973e-01 -1.576508239932504661e-05
5.116492585036418461e-01 -1.576505653952115825e-05
5.119766943967624107e-01 -1.576503066316799437e-05
5.123043398362902012e-01 -1.576500477025496029e-05
5.126321949563277247e-01 -1.576497886077144777e-05
5.129602598910615319e-01 -1.576495293470686211e-05
5.132885347747662141e-01 -1.576492699205058831e-05
5.136170197417996297e-01 -1.576490103279201135e-05
5.139457149266083436e-01 -1.576487505692050943e-05
5.142746204637225205e-01 -1.576484906442544043e-05
5.146037364877606990e-01 -1.576482305529617239e-05
5.149330631334252395e-01 -1.576479702952206658e-05
5.152626005355072092e-01 -1.576477098709245378e-05
5.155923488288812750e-01 -1.576474492799669524e-05
5.159223081485104778e-01 -1.576471885222410820e-05
5.162524786294441226e-01 -1.576469275976402680e-05
5.165828604068160024e-01 -1.576466665060577844e-05
5.169134536158490612e-01 -1.576464052473866339e-05
5.172442583918502867e-01 -1.576461438215200227e-05
5.175752748702153738e-01 -1.576458822283508180e-05
5.179065031864249491e-01 -1.576456204677720904e-05
5.182379434760479020e-01 -1.576453585396765715e-05
5.185695958747380541e-01 -1.576450964439572304e-05
5.189014605182381557e-01 -1.576448341805065955e-05
5.192335375423756672e-01 -1.576445717492174324e-05
5.195658270830673109e-01 -1.576443091499823035e-05
5.198983292763141861e-01 -1.576440463826937711e-05
5.202310442582069872e-01 -1.576437834472442281e-05
5.205639721649211182e-01 -1.576435203435261014e-05
5.208971131327214676e-01 -1.576432570714316823e-05
5.212304672979577447e-01 -1.576429936308531941e-05
5.215640347970693647e-01 -1.576427300216829284e-05
5.218978157665807860e-01 -1.576424662438128375e-05
5.222318103431056180e-01 -1.576422022971350772e-05
5.225660186633432902e-01 -1.576419381815415661e-05
5.229004408640828272e-01 -1.576416738969241551e-05
5.232350770821981856e-01 -1.576414094431747626e-05
5.235699274546530280e-01 -1.576411448201851380e-05
5.239049921184982805e-01 -1.576408800278469288e-05
5.242402712108712448e-01 -1.576406150660517825e-05
5.245757648689988173e-01 -1.576403499346912788e-05
5.249114732301941588e-01 -1.576400846336567944e-05
5.252473964318596922e-01 -1.576398191628399428e-05
5.255835346114843265e-01 -1.576395535221319311e-05
5.259198879066464549e-01 -1.576392877114240004e-05
5.262564564550108459e-01 -1.576390217306074593e-05
5.265932403943324180e-01 -1.576387555795733794e-05
5.269302398624520212e-01 -1.576384892582128661e-05
5.272674549973008773e-01 -1.576382227664168895e-05
5.276048859368962507e-01 -1.576379561040764193e-05
5.279425328193461109e-01 -1.576376892710822561e-05
5.282803957828444696e-01 -1.576374222673252004e-05
5.286184749656760440e-01 -1.576371550926960528e-05
5.289567705062115932e-01 -1.576368877470853426e-05
5.292952825429131369e-01 -1.576366202303836333e-05
5.296340112143286261e-01 -1.576363525424816236e-05
5.299729566590971608e-01 -1.576360846832695043e-05
5.303121190159442166e-01 -1.576358166526379065e-05
5.306514984236863075e-01 -1.576355484504768514e-05
5.309910950212265446e-01 -1.576352800766768345e-05
5.313309089475594105e-01 -1.576350115311277755e-05
5.316709403417655411e-01 -1.576347428137199667e-05
5.320111893430167216e-01 -1.576344739243432937e-05
5.323516560905736661e-01 -1.576342048628876763e-05
5.326923407237846853e-01 -1.576339356292431017e-05
5.330332433820891280e-01 -1.576336662232993201e-05
5.333743642050136069e-01 -1.576333966449460817e-05
5.337157033321763278e-01 -1.576331268940729674e-05
5.340572609032825380e-01 -1.576328569705697611e-05
5.343990370581289673e-01 -1.576325868743258066e-05
5.347410319365997200e-01 -1.576323166052306167e-05
5.350832456786707159e-01 -1.576320461631736030e-05
5.354256784244051381e-01 -1.576317755480440073e-05
5.357683303139579856e-01 -1.576315047597311733e-05
5.361112014875718534e-01 -1.576312337981241397e-05
5.364542920855811525e-01 -1.576309626631121146e-05
5.367976022484080012e-01 -1.576306913545841027e-05
5.371411321165666664e-01 -1.576304198724290073e-05
5.374848818306587894e-01 -1.576301482165357653e-05
5.378288515313787155e-01 -1.576298763867931783e-05
5.381730413595081641e-01 -1.576296043830899800e-05
5.385174514559212255e-01 -1.576293322053148703e-05
5.388620819615803637e-01 -1.576290598533563797e-05
5.392069330175399688e-01 -1.576287873271031063e-05
5.395520047649425832e-01 -1.576285146264435130e-05
5.398972973450230084e-01 -1.576282417512659268e-05
5.402428108991059741e-01 -1.576279687014587089e-05
5.405885455686055829e-01 -1.576276954769101525e-05
5.409345014950280861e-01 -1.576274220775083137e-05
5.412806788199684416e-01 -1.576271485031413165e-05
5.416270776851141999e-01 -1.576268747536972847e-05
5.419736982322415075e-01 -1.576266008290640712e-05
5.423205406032194364e-01 -1.576263267291295965e-05
5.426676049400057655e-01 -1.576260524537817135e-05
5.430148913846510883e-01 -1.576257780029081056e-05
5.433624000792948161e-01 -1.576255033763964902e-05
5.437101311661695080e-01 -1.576252285741344491e-05
5.440580847875965409e-01 -1.576249535960094623e-05
5.444062610859906615e-01 -1.576246784419090777e-05
5.447546602038555452e-01 -1.576244031117206062e-05
5.451032822837880154e-01 -1.576241276053313924e-05
5.454521274684741572e-01 -1.576238519226286452e-05
5.458011959006937586e-01 -1.576235760634995062e-05
5.461504877233154254e-01 -1.576233000278311165e-05
5.465000030793014663e-01 -1.576230238155105497e-05
5.468497421117037849e-01 -1.576227474264246423e-05
5.471997049636675436e-01 -1.576224708604604001e-05
5.475498917784277220e-01 -1.576221941175044901e-05
5.479003026993124470e-01 -1.576219171974437146e-05
5.482509378697416613e-01 -1.576216401001647748e-05
5.486017974332252356e-01 -1.576213628255541680e-05
5.489528815333672984e-01 -1.576210853734984259e-05
5.493041903138616844e-01 -1.576208077438840120e-05
