# Psi stats weights for ggl in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      Q(theta)
5.000000000000000000e-01 1.575252862837635414e-05
5.003199808146676641e-01 1.570544217879821835e-05
5.006401664047791522e-01 1.570545991272279023e-05
5.009605569013820814e-01 1.566514934390596199e-05
5.012811524356098891e-01 1.566521850314092453e-05
5.016019531386775032e-01 1.562495942344372857e-05
5.019229591418863379e-01 1.562507987626870253e-05
5.022441705766194087e-01 1.558487215430507338e-05
5.025655875743462175e-01 1.558504376933596855e-05
5.028872102666178678e-01 1.554488727405589933e-05
5.032090387850723934e-01 1.554510992024401667e-05
5.035310732614295404e-01 1.550500452093270872e-05
5.038533138274952083e-01 1.550527806756392041e-05
5.041757606151581195e-01 1.546522363384089560e-05
5.044984137563931492e-01 1.546554795053477432e-05
5.048212733832576626e-01 1.542554435235305509e-05
5.051443396278955111e-01 1.542591930906201005e-05
5.054676126225331467e-01 1.538596641670727578e-05
5.057910924994836188e-01 1.538639188371571242e-05
5.061147793911427994e-01 1.534648956780540160e-05
5.064386734299930470e-01 1.534696541572887798e-05
5.067627747485995426e-01 1.530711354721135808e-05
5.070870834796145088e-01 1.530763964699573447e-05
5.074115997557729907e-01 1.526783809714954979e-05
5.077363237098961868e-01 1.526841432007012466e-05
5.080612554748905607e-01 1.522866296050289520e-05
5.083863951837462869e-01 1.522928917816364460e-05
5.087117429695404702e-01 1.518958788081155443e-05
5.090372989654330382e-01 1.519026396514416131e-05
5.093630633046718481e-01 1.515061260227089302e-05
5.096890361205873576e-01 1.515133842553399502e-05
5.100152175465978432e-01 1.511173686973000296e-05
5.103416077162046260e-01 1.511251230450832003e-05
5.106682067629967348e-01 1.507296042868993413e-05
5.109950148206463538e-01 1.507378534789348243e-05
5.113220320229135973e-01 1.503428302530210524e-05
5.116492585036418461e-01 1.503515730216531454e-05
5.119766943967624107e-01 1.499570440636656912e-05
5.123043398362902012e-01 1.499662791444747814e-05
