# Psi stats weights for clustering in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      U(theta)
5.000000000000000000e-01 1.762691664832806009e-05
5.003199808146676641e-01 1.762680365462274907e-05
5.006401664047791522e-01 1.762669058884748727e-05
5.009605569013820814e-01 1.762657745095643665e-05
5.012811524356098891e-01 1.762646424090377612e-05
5.016019531386775032e-01 1.762635095864363376e-05
5.019229591418863379e-01 1.762623760413009361e-05
5.022441705766194087e-01 1.762612417731724987e-05
5.025655875743462175e-01 1.762601067815912898e-05
5.028872102666178678e-01 1.762589710660973706e-05
5.032090387850723934e-01 1.762578346262308360e-05
5.035310732614295404e-01 1.762566974615312050e-05
5.038533138274952083e-01 1.762555595715374545e-05
5.041757606151581195e-01 1.762544209557889003e-05
5.044984137563931492e-01 1.762532816138239771e-05
5.048212733832576626e-01 1.762521415451812892e-05
5.051443396278955111e-01 1.762510007493987293e-05
5.054676126225331467e-01 1.762498592260143933e-05
5.057910924994836188e-01 1.762487169745655642e-05
5.061147793911427994e-01 1.762475739945891859e-05
5.064386734299930470e-01 1.762464302856228801e-05
5.067627747485995426e-01 1.762452858472028793e-05
5.070870834796145088e-01 1.762441406788654838e-05
5.074115997557729907e-01 1.762429947801468923e-05
5.077363237098961868e-01 1.762418481505827951e-05
5.080612554748905607e-01 1.762407007897086794e-05
5.083863951837462869e-01 1.762395526970596257e-05
5.087117429695404702e-01 1.762384038721708163e-05
5.090372989654330382e-01 1.762372543145765524e-05
5.093630633046718481e-01 1.762361040238111693e-05
5.096890361205873576e-01 1.762349529994087987e-05
5.100152175465978432e-01 1.762338012409030643e-05
5.103416077162046260e-01 1.762326487478273527e-05
5.106682067629967348e-01 1.762314955197147453e-05
5.109950148206463538e-01 1.762303415560982221e-05
5.113220320229135973e-01 1.762291868565101532e-05
5.116492585036418461e-01 1.762280314204829764e-05
5.119766943967624107e-01 1.762268752475484518e-05
5.123043398362902012e-01 1.762257183372382041e-05
5.126321949563277247e-01 1.762245606890836547e-05
5.129602598910615319e-01 1.762234023026158184e-05
5.132885347747662141e-01 1.762222431773655744e-05
5.136170197417996297e-01 1.762210833128632261e-05
5.139457149266083436e-01 1.762199227086390767e-05
5.142746204637225205e-01 1.762187613642228536e-05
5.146037364877606990e-01 1.762175992791442162e-05
5.149330631334252395e-01 1.762164364529323837e-05
5.152626005355072092e-01 1.762152728851164058e-05
5.155923488288812750e-01 1.762141085752248578e-05
5.159223081485104778e-01 1.762129435227861794e-05
5.162524786294441226e-01 1.762117777273284380e-05
5.165828604068160024e-01 1.762106111883796327e-05
5.169134536158490612e-01 1.762094439054668482e-05
5.172442583918502867e-01 1.762082758781176095e-05
5.175752748702153738e-01 1.762071071058585945e-05
5.179065031864249491e-01 1.762059375882165491e-05
5.182379434760479020e-01 1.762047673247176091e-05
5.185695958747380541e-01 1.762035963148879104e-05
5.189014605182381557e-01 1.762024245582532162e-05
5.192335375423756672e-01 1.762012520543386799e-05
