# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# number of COSEBI modes = 20
# theta[arcmin]      T_-(theta)
5.000000000000001110e-01 2.247543955018030815e+01
5.003199808146676641e-01 2.208849935535704390e+01
5.006401664047791522e-01 2.170636800613196371e+01
5.009605569013820814e-01 2.132669612080849220e+01
5.012811524356098891e-01 2.094874091262351357e+01
5.016019531386775032e-01 2.057476879462581820e+01
5.019229591418863379e-01 2.020493533162461830e+01
5.022441705766194087e-01 1.983967186957309181e+01
5.025655875743462175e-01 1.947679877816272409e+01
5.028872102666178678e-01 1.911557761119887999e+01
5.032090387850723934e-01 1.875827231481830992e+01
5.035310732614295404e-01 1.840499280461061815e+01
5.038533138274952083e-01 1.805615351433517191e+01
5.041757606151581195e-01 1.770964824624108758e+01
5.044984137563931492e-01 1.736472472540450696e+01
5.048212733832576626e-01 1.702359972654328502e+01
5.051443396278955111e-01 1.668638278591968316e+01
5.054676126225331467e-01 1.635347916304810312e+01
5.057910924994836188e-01 1.602284387609659433e+01
5.061147793911427994e-01 1.569371410786496668e+01
5.064386734299930470e-01 1.536826817591329153e+01
5.067627747485995426e-01 1.504661519010264747e+01
5.070870834796145088e-01 1.472915132872617860e+01
5.074115997557729907e-01 1.441389162872903817e+01
5.077363237098961868e-01 1.410006375068399187e+01
5.080612554748905607e-01 1.378980763760106143e+01
5.083863951837462869e-01 1.348323192620330069e+01
5.087117429695404702e-01 1.318072380782185782e+01
5.090372989654330382e-01 1.288035715194786235e+01
5.093630633046718481e-01 1.258135109552050679e+01
5.096890361205873576e-01 1.228580729954042638e+01
5.100152175465978432e-01 1.199383388163638031e+01
5.103416077162046260e-01 1.170580913885669716e+01
5.106682067629967348e-01 1.141986460142571680e+01
5.109950148206463538e-01 1.113521185936875746e+01
5.113220320229135973e-01 1.085391439270161840e+01
5.116492585036418461e-01 1.057607975299098513e+01
5.119766943967624107e-01 1.030207744090756350e+01
5.123043398362902012e-01 1.003009548230458670e+01
5.126321949563277247e-01 9.759338878965209574e+00
5.129602598910615319e-01 9.491833038206580753e+00
5.132885347747662141e-01 9.227684901922962979e+00
5.136170197417996297e-01 8.967255266972191663e+00
5.139457149266082325e-01 8.708787510750244820e+00
5.142746204637225205e-01 8.451480975884493319e+00
5.146037364877606990e-01 8.197323117652963731e+00
5.149330631334252395e-01 7.946420223878133626e+00
5.152626005355072092e-01 7.699124486331413664e+00
5.155923488288812750e-01 7.453733490210748158e+00
5.159223081485104778e-01 7.209441840025585968e+00
5.162524786294441226e-01 6.968199160700701889e+00
5.165828604068160024e-01 6.730111044875087600e+00
5.169134536158490612e-01 6.495521173650727675e+00
5.172442583918502867e-01 6.262780218303015012e+00
5.175752748702153738e-01 6.031078934245591050e+00
5.179065031864249491e-01 5.802329252871163412e+00
5.182379434760479020e-01 5.576636028488702657e+00
5.185695958747380541e-01 5.354334529493550932e+00
5.189014605182381557e-01 5.133827399176952966e+00
5.192335375423756672e-01 4.914302415371121668e+00
5.195658270830673109e-01 4.697633960228598582e+00
5.198983292763141861e-01 4.483926106886237051e+00
5.202310442582069872e-01 4.273505809833076263e+00
5.205639721649211182e-01 4.064826582345633987e+00
5.208971131327214676e-01 3.857074076449291233e+00
5.212304672979577447e-01 3.652085275454874491e+00
5.215640347970693647e-01 3.449963430667113862e+00
5.218978157665807860e-01 3.251027279807835235e+00
5.222318103431056180e-01 3.053780120037488111e+00
5.225660186633432902e-01 2.857406305181402928e+00
5.229004408640828272e-01 2.663705579649959354e+00
5.232350770821981856e-01 2.472780333584723600e+00
5.235699274546530280e-01 2.284941185772762395e+00
5.239049921184982805e-01 2.098740138922750909e+00
5.242402712108712448e-01 1.913361062284003822e+00
5.245757648689988173e-01 1.730566625074102305e+00
5.249114732301941588e-01 1.550458317065738001e+00
5.252473964318596922e-01 1.373338737319761194e+00
5.255835346114843265e-01 1.197807532312484824e+00
5.259198879066464549e-01 1.023048873366158240e+00
5.262564564550108459e-01 8.507885302610436185e-01
5.265932403943324180e-01 6.811270526475459164e-01
5.269302398624520212e-01 5.143591196061860771e-01
5.272674549973008773e-01 3.491309701403837451e-01
5.276048859368962507e-01 1.846278464924395735e-01
5.279425328193461109e-01 2.253879998750019098e-02
5.282803957828444696e-01 -1.370365977784304690e-01
5.286184749656760440e-01 -2.938114876767992101e-01
5.289567705062115932e-01 -4.490940763891213550e-01
5.292952825429131369e-01 -6.036973033965287172e-01
5.296340112143286261e-01 -7.559686459499666000e-01
5.299729566590971608e-01 -9.058095467309201787e-01
5.303121190159442166e-01 -1.052940869726027628e+00
5.306514984236863075e-01 -1.198626291476945216e+00
5.309910950212265446e-01 -1.343676203146675352e+00
5.313309089475594105e-01 -1.486474417730557107e+00
5.316709403417655411e-01 -1.626923427824814361e+00
5.320111893430167216e-01 -1.764751719246953066e+00
5.323516560905736661e-01 -1.901179452273756176e+00
5.326923407237846853e-01 -2.037013762617192469e+00
5.330332433820891280e-01 -2.170674593550901310e+00
5.333743642050136069e-01 -2.302065524542201924e+00
5.337157033321763278e-01 -2.430922564321447155e+00
5.340572609032825380e-01 -2.558423356074856159e+00
5.343990370581289673e-01 -2.685371090098828351e+00
5.347410319365997200e-01 -2.810221633712724820e+00
5.350832456786707159e-01 -2.932879685945313675e+00
5.354256784244051381e-01 -3.053088679033575836e+00
5.357683303139579856e-01 -3.171984724819545853e+00
5.361112014875718534e-01 -3.290366400660711399e+00
5.364542920855811525e-01 -3.406725282632656171e+00
5.367976022484080012e-01 -3.520967222596517843e+00
5.371411321165666664e-01 -3.632842975105971650e+00
5.374848818306587894e-01 -3.743448097761942428e+00
5.378288515313787155e-01 -3.853575903236579947e+00
5.381730413595081641e-01 -3.961753454508045724e+00
5.385174514559212255e-01 -4.067887789483416228e+00
5.388620819615803637e-01 -4.171736886332643834e+00
5.392069330175399688e-01 -4.274356707419905810e+00
5.395520047649425832e-01 -4.376534672325626651e+00
5.398972973450230084e-01 -4.476833101558130856e+00
5.402428108991059741e-01 -4.575160252599461685e+00
5.405885455686055829e-01 -4.671281225816139582e+00
5.409345014950280861e-01 -4.766213338208535433e+00
5.412806788199684416e-01 -4.860737504418415789e+00
5.416270776851141999e-01 -4.953451068412476843e+00
5.419736982322415075e-01 -5.044263538977045158e+00
5.423205406032194364e-01 -5.132947038543695939e+00
5.426676049400057655e-01 -5.220481173660380669e+00
5.430148913846510883e-01 -5.307639762348746792e+00
5.433624000792948161e-01 -5.393054932457695294e+00
5.437101311661695080e-01 -5.476637473972635561e+00
5.440580847875965409e-01 -5.558166431818358788e+00
5.444062610859906615e-01 -5.638584624306979265e+00
5.447546602038555452e-01 -5.718658201012336129e+00
5.451032822837880154e-01 -5.797053826700177659e+00
5.454521274684741572e-01 -5.873683601583023162e+00
5.458011959006937586e-01 -5.948333394119124762e+00
5.461504877233154254e-01 -6.021910145399463232e+00
5.465000030793014663e-01 -6.095171779256270739e+00
5.468497421117037849e-01 -6.166819248361795403e+00
5.471997049636675436e-01 -6.236765991834914757e+00
5.475498917784277220e-01 -6.304804600095012646e+00
5.479003026993124470e-01 -6.371807035342367698e+00
5.482509378697416613e-01 -6.438522460217157573e+00
5.486017974332252356e-01 -6.503685855989077780e+00
5.489528815333672984e-01 -6.567212030897978003e+00
5.493041903138616844e-01 -6.628900197922956927e+00
5.496557239184960419e-01 -6.689588223311540460e+00
5.500074824911481697e-01 -6.750015991032435991e+00
5.503594661757903461e-01 -6.808952249609738772e+00
5.507116751164841117e-01 -6.866313202808115079e+00
5.510641094573861531e-01 -6.921904586157378247e+00
5.514167693427425299e-01 -6.976531042387719594e+00
5.517696549168943365e-01 -7.030922676523841730e+00
5.521227663242725958e-01 -7.083881736805193619e+00
5.524761037094029215e-01 -7.135325849705720813e+00
5.528296672169015213e-01 -7.185067173844718269e+00
5.531834569914789723e-01 -7.233877986538825411e+00
5.535374731779364454e-01 -7.282478132024998274e+00
5.538917159211699248e-01 -7.329703087197632527e+00
5.542461853661660998e-01 -7.375471925173998855e+00
5.546008816580062506e-01 -7.419603129060060809e+00
5.549558049418628070e-01 -7.462837457130863328e+00
5.553109553630029005e-01 -7.505884028644529415e+00
5.556663330667847012e-01 -7.547611270565704800e+00
5.560219381986613030e-01 -7.587939729587583670e+00
5.563777709041769493e-01 -7.626694113048885448e+00
5.567338313289705853e-01 -7.664584494031055684e+00
5.570901196187743043e-01 -7.702308819054238143e+00
5.574466359194121257e-01 -7.738768184530695038e+00
5.578033803768028820e-01 -7.773884634135389327e+00
5.581603531369574434e-01 -7.807489001256182171e+00
5.585175543459817149e-01 -7.840261493233251500e+00
5.588749841500733062e-01 -7.872888455479831293e+00
5.592326426955251950e-01 -7.904303367352282450e+00
5.595905301287219524e-01 -7.934429792232439382e+00
5.599486465961441839e-01 -7.963104591002128529e+00
5.603069922443637552e-01 -7.990978913963783903e+00
5.606655672200488993e-01 -8.018727092434499326e+00
5.610243716699591099e-01 -8.045314697570722373e+00
5.613834057409502476e-01 -8.070666835905845105e+00
5.617426695799698777e-01 -8.094626297385939750e+00
5.621021633340618218e-01 -8.117815970082792987e+00
5.624618871503618278e-01 -8.140897775765573385e+00
5.628218411761020112e-01 -8.162869082691180722e+00
5.631820255586065249e-01 -8.183656562437157334e+00
5.635424404452957781e-01 -8.203108835484465899e+00
5.639030859836825504e-01 -8.221821310609760403e+00
5.642639623213763223e-01 -8.240443121171800556e+00
5.646250696060786112e-01 -8.258003134023553571e+00
5.649864079855870802e-01 -8.274429605796301601e+00
5.653479776077942054e-01 -8.289576890466500814e+00
5.657097786206853884e-01 -8.304013687518466469e+00
5.660718111723429535e-01 -8.318375979610605597e+00
5.664340754109413734e-01 -8.331723828945174048e+00
5.667965714847528202e-01 -8.343987097634926187e+00
5.671592995421417260e-01 -8.355025775844090674e+00
5.675222597315697781e-01 -8.365382611170549154e+00
5.678854522015915895e-01 -8.375680089512744786e+00
5.682488771008588069e-01 -8.385009162230726787e+00
5.686125345781160023e-01 -8.393301315795898887e+00
5.689764247822054477e-01 -8.400422079442861900e+00
5.693405478620623406e-01 -8.406888994505962387e+00
5.697049039667193560e-01 -8.413310719985513941e+00
5.700694932453019836e-01 -8.418808785120273086e+00
5.704343158470340791e-01 -8.423316320498319243e+00
5.707993719212320904e-01 -8.426704297444205238e+00
5.711646616173108315e-01 -8.429465783630122999e+00
5.715301850847780418e-01 -8.432195297331546158e+00
5.718959424732396046e-01 -8.434044631914170864e+00
5.722619339323949950e-01 -8.434948579326063012e+00
5.726281596120413875e-01 -8.434783457210210500e+00
5.729946196620697707e-01 -8.434018579546357586e+00
5.733613142324696099e-01 -8.433234025966243053e+00
5.737282434733235181e-01 -8.431611536229016934e+00
5.740954075348121410e-01 -8.429087580733719776e+00
5.744628065672126027e-01 -8.425543727725862908e+00
5.748304407208956190e-01 -8.421426246245909297e+00
5.751983101463312709e-01 -8.417300493264432859e+00
5.755664149940833418e-01 -8.412377833864253418e+00
5.759347554148140924e-01 -8.406596436280977969e+00
5.763033315592800410e-01 -8.399843020584423670e+00
5.766721435783365157e-01 -8.392541508161594166e+00
5.770411916229331029e-01 -8.385242264185212235e+00
5.774104758441180874e-01 -8.377185959454145348e+00
5.777799963930344562e-01 -8.368312470456336527e+00
5.781497534209238953e-01 -8.358513576834145198e+00
5.785197470791229035e-01 -8.348191535532196283e+00
