# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 0.5
# number of COSEBI modes = 20
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 -2.728475183310060714e+01
5.003199808146676641e-01 -2.659143120656453974e+01
5.006401664047791522e-01 -2.590708821484672342e+01
5.009605569013820814e-01 -2.523164494406995573e+01
5.012811524356098891e-01 -2.456502398488325767e+01
5.016019531386775032e-01 -2.390714842989661193e+01
5.019229591418863379e-01 -2.325794187110667721e+01
5.022441705766194087e-01 -2.261732839735351064e+01
5.025655875743462175e-01 -2.198523259176802469e+01
5.028872102666178678e-01 -2.136157952924961734e+01
5.032090387850723934e-01 -2.074629477393413168e+01
5.035310732614295404e-01 -2.013930437669290541e+01
5.038533138274952083e-01 -1.954053487262363475e+01
5.041757606151581195e-01 -1.894991327856647345e+01
5.044984137563931492e-01 -1.836736709061805328e+01
5.048212733832576626e-01 -1.779282428166874297e+01
5.051443396278955111e-01 -1.722621329893628683e+01
5.054676126225331467e-01 -1.666746306152386836e+01
5.057910924994836188e-01 -1.611650295797451093e+01
5.061147793911427994e-01 -1.557326284384918758e+01
5.064386734299930470e-01 -1.503767303930238519e+01
5.067627747485995426e-01 -1.450966432668013262e+01
5.070870834796145088e-01 -1.398916794811507636e+01
5.074115997557729907e-01 -1.347611560314545898e+01
5.077363237098961868e-01 -1.297043944633183621e+01
5.080612554748905607e-01 -1.247207208489071562e+01
5.083863951837462869e-01 -1.198094657633899018e+01
5.087117429695404702e-01 -1.149699642614106310e+01
5.090372989654330382e-01 -1.102015558537693884e+01
5.093630633046718481e-01 -1.055035844840643655e+01
5.096890361205873576e-01 -1.008753985055860269e+01
5.100152175465978432e-01 -9.631635065815579821e+00
5.103416077162046260e-01 -9.182579804520555555e+00
5.106682067629967348e-01 -8.740310211082144676e+00
5.109950148206463538e-01 -8.304762861701199483e+00
5.113220320229135973e-01 -7.875874762094618120e+00
5.116492585036418461e-01 -7.453583345241399094e+00
5.119766943967624107e-01 -7.037826469125985085e+00
5.123043398362902012e-01 -6.628542414502865299e+00
5.126321949563277247e-01 -6.225669882660022303e+00
5.129602598910615319e-01 -5.829147993201388545e+00
5.132885347747662141e-01 -5.438916281829439647e+00
5.136170197417996297e-01 -5.054914698147841001e+00
5.139457149266082325e-01 -4.677083603461404060e+00
5.142746204637225205e-01 -4.305363768597088914e+00
