# z_bin_left n_of_z
0.200 0
0.210 0
0.220 0
0.230 0
0.240 0
0.250 0
0.260 0
0.270 0
0.280 0
0.290 0
0.300 0
0.310 0
0.320 0
0.330 0
0.340 0
0.350 0
0.360 0
0.370 0
0.380 0
0.390 0
0.400 0
0.410 0
0.420 0
0.430 0
0.440 0
0.450 0
0.460 0
0.470 0
0.480 0
0.490 0
0.500 6.393
0.510 6.386
0.520 7.411
0.530 7.138
0.540 6.668
0.550 7.106
0.560 6.542
0.570 5.220
0.580 5.204
0.590 5.011
0.600 4.710
0.610 4.610
0.620 4.150
0.630 3.628
0.640 3.240
0.650 2.773
0.660 2.530
0.670 2.273
0.680 2.002
0.690 1.678
0.700 1.346
0.710 1.179
0.720 1.208
0.730 0.844
0.740 0.760
