# Bandpower weights for C_E in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# ell      W(ell)
1.000000000000000000e+00 -5.674115917984787205e-02
1.000921550516792990e+00 -5.674103459898689750e-02
1.001843950288941132e+00 -5.674090978866391105e-02
1.002767200099075939e+00 -5.674078474844131831e-02
1.003691300730550351e+00 -5.674065947791134129e-02
1.004616252967439172e+00 -5.674053397663324921e-02
1.005542057594539962e+00 -5.674040824420238660e-02
1.006468715397373481e+00 -5.674028228019550868e-02
1.007396227162183910e+00 -5.674015608415751422e-02
1.008324593675940628e+00 -5.674002965568576695e-02
1.009253815726337766e+00 -5.673990299434987505e-02
1.010183894101795765e+00 -5.673977609971732339e-02
1.011114829591461151e+00 -5.673964897136700436e-02
1.012046622985208311e+00 -5.673952160884890294e-02
1.012979275073639052e+00 -5.673939401175527586e-02
1.013912786648083708e+00 -5.673926617963612196e-02
1.014847158500602253e+00 -5.673913811207960400e-02
1.015782391423984521e+00 -5.673900980862951055e-02
1.016718486211750649e+00 -5.673888126885957145e-02
1.017655443658151970e+00 -5.673875249235483392e-02
1.018593264558172340e+00 -5.673862347866220207e-02
1.019531949707527918e+00 -5.673849422732243908e-02
1.020471499902667833e+00 -5.673836473794016677e-02
1.021411915940775739e+00 -5.673823501006229619e-02
1.022353198619769588e+00 -5.673810504324195564e-02
1.023295348738302746e+00 -5.673797483703944822e-02
1.024238367095764435e+00 -5.673784439103158467e-02
1.025182254492280620e+00 -5.673771370475499953e-02
1.026127011728715122e+00 -5.673758277778238185e-02
1.027072639606668947e+00 -5.673745160967201551e-02
1.028019138928482512e+00 -5.673732019996563514e-02
1.028966510497235198e+00 -5.673718854821742374e-02
1.029914755116746683e+00 -5.673705665402686837e-02
1.030863873591577384e+00 -5.673692451688421012e-02
1.031813866727028906e+00 -5.673679213638378044e-02
1.032764735329145367e+00 -5.673665951206432329e-02
1.033716480204713628e+00 -5.673652664347786367e-02
1.034669102161263732e+00 -5.673639353018167936e-02
1.035622602007070236e+00 -5.673626017171242569e-02
1.036576980551152438e+00 -5.673612656764175088e-02
1.037532238603275037e+00 -5.673599271747743061e-02
1.038488376973949467e+00 -5.673585862080562231e-02
1.039445396474433236e+00 -5.673572427716083721e-02
1.040403297916732361e+00 -5.673558968609005576e-02
1.041362082113600707e+00 -5.673545484713610199e-02
1.042321749878541315e+00 -5.673531975983974601e-02
1.043282302025806407e+00 -5.673518442373971099e-02
1.044243739370399382e+00 -5.673504883839734780e-02
1.045206062728074148e+00 -5.673491300333797366e-02
1.046169272915336235e+00 -5.673477691810442647e-02
1.047133370749444348e+00 -5.673464058224985535e-02
1.048098357048409923e+00 -5.673450399528308374e-02
1.049064232630997795e+00 -5.673436715677681458e-02
1.050030998316727970e+00 -5.673423006624404158e-02
1.050998654925875408e+00 -5.673409272323167579e-02
1.051967203279471130e+00 -5.673395512727744117e-02
1.052936644199302663e+00 -5.673381727790151319e-02
1.053906978507914927e+00 -5.673367917465392540e-02
1.054878207028610682e+00 -5.673354081706825230e-02
1.055850330585451635e+00 -5.673340220467292666e-02
1.056823350003258666e+00 -5.673326333699119095e-02
1.057797266107613154e+00 -5.673312421354738400e-02
1.058772079724856763e+00 -5.673298483389977581e-02
1.059747791682093432e+00 -5.673284519754487332e-02
1.060724402807188271e+00 -5.673270530403066308e-02
1.061701913928770225e+00 -5.673256515288556401e-02
1.062680325876231402e+00 -5.673242474362772542e-02
1.063659639479728414e+00 -5.673228407578968790e-02
1.064639855570182814e+00 -5.673214314886795145e-02
1.065620974979281987e+00 -5.673200196242695476e-02
1.066602998539479819e+00 -5.673186051596532109e-02
1.067585927083996689e+00 -5.673171880900734071e-02
1.068569761446821920e+00 -5.673157684107937165e-02
1.069554502462712664e+00 -5.673143461170163104e-02
1.070540150967195681e+00 -5.673129212038501012e-02
1.071526707796567113e+00 -5.673114936665800412e-02
1.072514173787894487e+00 -5.673100635002219227e-02
1.073502549779016713e+00 -5.673086307002048884e-02
1.074491836608544082e+00 -5.673071952613598784e-02
1.075482035115860713e+00 -5.673057571791155496e-02
1.076473146141123216e+00 -5.673043164484885964e-02
1.077465170525263582e+00 -5.673028730645780782e-02
1.078458109109987628e+00 -5.673014270224516209e-02
1.079451962737777437e+00 -5.672999783175180361e-02
1.080446732251891806e+00 -5.672985269445461609e-02
1.081442418496365798e+00 -5.672970728986971578e-02
1.082439022316013189e+00 -5.672956161752142068e-02
1.083436544556425352e+00 -5.672941567689387954e-02
1.084434986063973705e+00 -5.672926946751758598e-02
1.085434347685809486e+00 -5.672912298888087984e-02
1.086434630269864199e+00 -5.672897624050084187e-02
1.087435834664851386e+00 -5.672882922187707372e-02
1.088437961720265967e+00 -5.672868193250818480e-02
1.089441012286386457e+00 -5.672853437190611414e-02
1.090444987214274519e+00 -5.672838653955095123e-02
1.091449887355776305e+00 -5.672823843495668900e-02
1.092455713563522668e+00 -5.672809005763638363e-02
1.093462466690930723e+00 -5.672794140706900051e-02
1.094470147592203402e+00 -5.672779248274902736e-02
1.095478757122331670e+00 -5.672764328420391161e-02
1.096488296137093421e+00 -5.672749381088381532e-02
1.097498765493056139e+00 -5.672734406231618592e-02
1.098510166047576009e+00 -5.672719403799136861e-02
1.099522498658799474e+00 -5.672704373738115396e-02
1.100535764185664123e+00 -5.672689316000478765e-02
1.101549963487898687e+00 -5.672674230534435758e-02
1.102565097426024154e+00 -5.672659117288095243e-02
1.103581166861355101e+00 -5.672643976210389044e-02
1.104598172655999244e+00 -5.672628807250972710e-02
1.105616115672859001e+00 -5.672613610358883535e-02
1.106634996775632152e+00 -5.672598385481817523e-02
1.107654816828812061e+00 -5.672583132568808501e-02
1.108675576697688792e+00 -5.672567851567867497e-02
1.109697277248350433e+00 -5.672552542428851291e-02
1.110719919347682438e+00 -5.672537205097090418e-02
1.111743503863369620e+00 -5.672521839523991111e-02
1.112768031663896373e+00 -5.672506445654569573e-02
1.113793503618546898e+00 -5.672491023438794300e-02
1.114819920597407199e+00 -5.672475572824052514e-02
1.115847283471365081e+00 -5.672460093758250471e-02
1.116875593112110154e+00 -5.672444586188877397e-02
1.117904850392136051e+00 -5.672429050063425987e-02
1.118935056184740429e+00 -5.672413485330628918e-02
1.119966211364025410e+00 -5.672397891935606479e-02
1.120998316804898698e+00 -5.672382269826777706e-02
1.122031373383074238e+00 -5.672366618952461720e-02
1.123065381975073551e+00 -5.672350939256956548e-02
1.124100343458225071e+00 -5.672335230690541547e-02
1.125136258710666137e+00 -5.672319493197714585e-02
1.126173128611343666e+00 -5.672303726725873296e-02
1.127210954040013702e+00 -5.672287931222508295e-02
1.128249735877244087e+00 -5.672272106634804884e-02
1.129289475004413346e+00 -5.672256252905620577e-02
1.130330172303712688e+00 -5.672240369986262382e-02
1.131371828658146006e+00 -5.672224457820206761e-02
1.132414444951530985e+00 -5.672208516354226154e-02
1.133458022068499993e+00 -5.672192545533753794e-02
1.134502560894500300e+00 -5.672176545307112266e-02
1.135548062315795637e+00 -5.672160515616330584e-02
1.136594527219466189e+00 -5.672144456411178093e-02
1.137641956493409490e+00 -5.672128367635638491e-02
1.138690351026341308e+00 -5.672112249234329689e-02
1.139739711707796976e+00 -5.672096101154742304e-02
1.140790039428130731e+00 -5.672079923341490776e-02
1.141841335078518149e+00 -5.672063715740213730e-02
1.142893599550955486e+00 -5.672047478295111356e-02
1.143946833738261004e+00 -5.672031210951621050e-02
1.145001038534076310e+00 -5.672014913656517332e-02
1.146056214832865905e+00 -5.671998586352142852e-02
1.147112363529918966e+00 -5.671982228985276986e-02
1.148169485521349786e+00 -5.671965841499701511e-02
1.149227581704098000e+00 -5.671949423840551285e-02
1.150286652975930135e+00 -5.671932975951093914e-02
1.151346700235440279e+00 -5.671916497777491212e-02
1.152407724382050080e+00 -5.671899989263116254e-02
1.153469726316010746e+00 -5.671883450351657141e-02
1.154532706938402375e+00 -5.671866880988859355e-02
1.155596667151135959e+00 -5.671850281117274406e-02
1.156661607856953378e+00 -5.671833650682649858e-02
1.157727529959428514e+00 -5.671816989625685923e-02
1.158794434362968140e+00 -5.671800297891921305e-02
1.159862321972812360e+00 -5.671783575426073143e-02
1.160931193695035057e+00 -5.671766822169766603e-02
1.162001050436545890e+00 -5.671750038068238547e-02
1.163071893105089849e+00 -5.671733223061772161e-02
1.164143722609248366e+00 -5.671716377095910311e-02
1.165216539858440203e+00 -5.671699500114238401e-02
1.166290345762922565e+00 -5.671682592057659955e-02
1.167365141233791093e+00 -5.671665652871719920e-02
1.168440927182981204e+00 -5.671648682496601562e-02
1.169517704523268975e+00 -5.671631680874654469e-02
1.170595474168270922e+00 -5.671614647951215421e-02
1.171674237032446220e+00 -5.671597583666262293e-02
1.172753994031096703e+00 -5.671580487964620471e-02
1.173834746080367086e+00 -5.671563360786267133e-02
1.174916494097247188e+00 -5.671546202073552562e-02
1.175999238999571039e+00 -5.671529011770064244e-02
1.177082981706019327e+00 -5.671511789816397614e-02
1.178167723136118727e+00 -5.671494536154699645e-02
1.179253464210243685e+00 -5.671477250726909836e-02
1.180340205849616630e+00 -5.671459933475167525e-02
1.181427948976309095e+00 -5.671442584338635268e-02
1.182516694513241928e+00 -5.671425203259660569e-02
1.183606443384187079e+00 -5.671407790182551867e-02
1.184697196513767148e+00 -5.671390345044819564e-02
1.185788954827457831e+00 -5.671372867788712635e-02
1.186881719251586365e+00 -5.671355358355549547e-02
1.187975490713335081e+00 -5.671337816685829980e-02
1.189070270140739405e+00 -5.671320242720156307e-02
1.190166058462690746e+00 -5.671302636399229435e-02
1.191262856608936493e+00 -5.671284997664061828e-02
1.192360665510080908e+00 -5.671267326455464025e-02
1.193459486097585343e+00 -5.671249622711458521e-02
1.194559319303770240e+00 -5.671231886375942971e-02
1.195660166061814467e+00 -5.671214117385194042e-02
1.196762027305757536e+00 -5.671196315680639838e-02
1.197864903970499606e+00 -5.671178481202053534e-02
1.198968796991801700e+00 -5.671160613890863234e-02
1.200073707306288373e+00 -5.671142713685818626e-02
1.201179635851446159e+00 -5.671124780524224029e-02
1.202286583565626454e+00 -5.671106814348433195e-02
1.203394551388044631e+00 -5.671088815095649133e-02
1.204503540258782257e+00 -5.671070782706272295e-02
1.205613551118786653e+00 -5.671052717120179248e-02
1.206724584909872888e+00 -5.671034618274684025e-02
1.207836642574723562e+00 -5.671016486108837462e-02
1.208949725056889690e+00 -5.670998320562631312e-02
1.210063833300792702e+00 -5.670980121573264421e-02
1.211178968251723553e+00 -5.670961889079388640e-02
1.212295130855844949e+00 -5.670943623021501567e-02
1.213412322060190895e+00 -5.670925323334645440e-02
1.214530542812668479e+00 -5.670906989959634964e-02
1.215649794062058309e+00 -5.670888622835113663e-02
1.216770076758015628e+00 -5.670870221895301516e-02
1.217891391851070315e+00 -5.670851787081832712e-02
1.219013740292628434e+00 -5.670833318329646100e-02
1.220137123034972904e+00 -5.670814815578630042e-02
1.221261541031264164e+00 -5.670796278765163206e-02
1.222386995235541063e+00 -5.670777707826554770e-02
1.223513486602721301e+00 -5.670759102700941023e-02
1.224641016088603429e+00 -5.670740463325218972e-02
1.225769584649865740e+00 -5.670721789634534937e-02
1.226899193244068931e+00 -5.670703081569084675e-02
1.228029842829656104e+00 -5.670684339063190166e-02
1.229161534365952990e+00 -5.670665562054677533e-02
1.230294268813170167e+00 -5.670646750479620135e-02
1.231428047132402392e+00 -5.670627904274303660e-02
1.232562870285630607e+00 -5.670609023376651375e-02
1.233698739235722375e+00 -5.670590107720168555e-02
1.234835654946431882e+00 -5.670571157243912974e-02
1.235973618382402162e+00 -5.670552171882006082e-02
1.237112630509165090e+00 -5.670533151570318620e-02
1.238252692293142054e+00 -5.670514096247396968e-02
1.239393804701645063e+00 -5.670495005844376074e-02
1.240535968702878078e+00 -5.670475880300213101e-02
1.241679185265936569e+00 -5.670456719548512547e-02
1.242823455360809515e+00 -5.670437523526179052e-02
1.243968779958379844e+00 -5.670418292166916341e-02
1.245115160030424883e+00 -5.670399025405774285e-02
1.246262596549617685e+00 -5.670379723179344578e-02
1.247411090489527918e+00 -5.670360385421336497e-02
1.248560642824621869e+00 -5.670341012064941677e-02
1.249711254530264215e+00 -5.670321603047683706e-02
1.250862926582718693e+00 -5.670302158302958917e-02
1.252015659959148319e+00 -5.670282677764171969e-02
1.253169455637616725e+00 -5.670263161366469878e-02
1.254324314597088819e+00 -5.670243609043976868e-02
1.255480237817431677e+00 -5.670224020729888043e-02
1.256637226279415875e+00 -5.670204396358530241e-02
1.257795280964715046e+00 -5.670184735863820907e-02
1.258954402855907873e+00 -5.670165039178853839e-02
1.260114592936478761e+00 -5.670145306238264654e-02
1.261275852190817615e+00 -5.670125536974322117e-02
1.262438181604222720e+00 -5.670105731320328191e-02
1.263601582162899417e+00 -5.670085889210919883e-02
1.264766054853962096e+00 -5.670066010576406412e-02
1.265931600665435086e+00 -5.670046095351739118e-02
1.267098220586252877e+00 -5.670026143469189539e-02
1.268265915606261673e+00 -5.670006154861127051e-02
1.269434686716219618e+00 -5.669986129461369179e-02
1.270604534907798122e+00 -5.669966067199612436e-02
1.271775461173581867e+00 -5.669945968010700610e-02
1.272947466507071024e+00 -5.669925831826182899e-02
1.274120551902681031e+00 -5.669905658576891022e-02
1.275294718355743706e+00 -5.669885448197569539e-02
1.276469966862507910e+00 -5.669865200614922912e-02
1.277646298420140658e+00 -5.669844915765760024e-02
1.278823714026728453e+00 -5.669824593577819927e-02
1.280002214681277062e+00 -5.669804233986257269e-02
1.281181801383712848e+00 -5.669783836919947001e-02
1.282362475134883883e+00 -5.669763402308792416e-02
1.283544236936560390e+00 -5.669742930086301563e-02
1.284727087791436073e+00 -5.669722420183309630e-02
1.285911028703128123e+00 -5.669701872529302189e-02
1.287096060676179432e+00 -5.669681287054911117e-02
1.288282184716057932e+00 -5.669660663691172137e-02
1.289469401829158146e+00 -5.669640002369017578e-02
1.290657713022802744e+00 -5.669619303016915079e-02
1.291847119305241876e+00 -5.669598565566829479e-02
1.293037621685655170e+00 -5.669577789949488411e-02
1.294229221174152400e+00 -5.669556976091810752e-02
1.295421918781774151e+00 -5.669536123925560112e-02
1.296615715520492484e+00 -5.669515233379505276e-02
1.297810612403212271e+00 -5.669494304383762562e-02
1.299006610443772081e+00 -5.669473336867515006e-02
1.300203710656943956e+00 -5.669452330760571535e-02
1.301401914058436082e+00 -5.669431285991702318e-02
1.302601221664892117e+00 -5.669410202488444489e-02
1.303801634493892747e+00 -5.669389080181533314e-02
1.305003153563956131e+00 -5.669367918999332345e-02
1.306205779894539454e+00 -5.669346718868451679e-02
1.307409514506039372e+00 -5.669325479721375183e-02
1.308614358419792678e+00 -5.669304201482140704e-02
1.309820312658077190e+00 -5.669282884081892904e-02
1.311027378244113306e+00 -5.669261527447144733e-02
1.312235556202064002e+00 -5.669240131506362440e-02
1.313444847557036166e+00 -5.669218696186877071e-02
1.314655253335081486e+00 -5.669197221417366511e-02
1.315866774563197117e+00 -5.669175707124340935e-02
1.317079412269326566e+00 -5.669154153235753113e-02
1.318293167482360806e+00 -5.669132559679456590e-02
1.319508041232138940e+00 -5.669110926380620946e-02
1.320724034549449089e+00 -5.669089253268746326e-02
1.321941148466029059e+00 -5.669067540268388911e-02
1.323159384014567896e+00 -5.669045787307192691e-02
1.324378742228706107e+00 -5.669023994312910597e-02
1.325599224143036770e+00 -5.669002161210299345e-02
1.326820830793106198e+00 -5.668980287927009171e-02
