# Bandpower weights for C_E in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# ell      W(ell)
1.000000000000000000e+00 -3.418788871922899542e-02
1.000921550516792990e+00 -3.418788807398091129e-02
1.001843950288941132e+00 -3.418788742749882814e-02
1.002767200099075939e+00 -3.418788677979507640e-02
1.003691300730550351e+00 -3.418788613085312067e-02
1.004616252967439172e+00 -3.418788548065745253e-02
1.005542057594539962e+00 -3.418788482924822736e-02
1.006468715397373481e+00 -3.418788417657491613e-02
1.007396227162183910e+00 -3.418788352268175429e-02
1.008324593675940628e+00 -3.418788286752235533e-02
1.009253815726337766e+00 -3.418788221112035314e-02
1.010183894101795765e+00 -3.418788155348189556e-02
1.011114829591461151e+00 -3.418788089457087259e-02
1.012046622985208311e+00 -3.418788023441608759e-02
1.012979275073639052e+00 -3.418787957299379565e-02
1.013912786648083708e+00 -3.418787891031219855e-02
1.014847158500602253e+00 -3.418787824637020689e-02
1.015782391423984521e+00 -3.418787758115233305e-02
1.016718486211750649e+00 -3.418787691468531953e-02
1.017655443658151970e+00 -3.418787624693716415e-02
1.018593264558172340e+00 -3.418787557791504172e-02
1.019531949707527918e+00 -3.418787490761993064e-02
1.020471499902667833e+00 -3.418787423602809294e-02
1.021411915940775739e+00 -3.418787356319306914e-02
1.022353198619769588e+00 -3.418787288904265309e-02
1.023295348738302746e+00 -3.418787221360876372e-02
1.024238367095764435e+00 -3.418787153689959585e-02
1.025182254492280620e+00 -3.418787085890478972e-02
1.026127011728715122e+00 -3.418787017960059349e-02
1.027072639606668947e+00 -3.418786949899728367e-02
1.028019138928482512e+00 -3.418786881710096648e-02
1.028966510497235198e+00 -3.418786813392295232e-02
1.029914755116746683e+00 -3.418786744941473138e-02
1.030863873591577384e+00 -3.418786676361544596e-02
1.031813866727028906e+00 -3.418786607649823561e-02
1.032764735329145367e+00 -3.418786538807335601e-02
1.033716480204713628e+00 -3.418786469833046820e-02
1.034669102161263732e+00 -3.418786400728290181e-02
1.035622602007070236e+00 -3.418786331491102670e-02
1.036576980551152438e+00 -3.418786262121067954e-02
1.037532238603275037e+00 -3.418786192618284564e-02
1.038488376973949467e+00 -3.418786122983569903e-02
1.039445396474433236e+00 -3.418786053215890075e-02
1.040403297916732361e+00 -3.418785983314209798e-02
1.041362082113600707e+00 -3.418785913279552557e-02
1.042321749878541315e+00 -3.418785843112635142e-02
1.043282302025806407e+00 -3.418785772808920209e-02
1.044243739370399382e+00 -3.418785702373037388e-02
1.045206062728074148e+00 -3.418785631801685848e-02
1.046169272915336235e+00 -3.418785561096094466e-02
1.047133370749444348e+00 -3.418785490255436821e-02
1.048098357048409923e+00 -3.418785419278159293e-02
1.049064232630997795e+00 -3.418785348166834132e-02
1.050030998316727970e+00 -3.418785276918467897e-02
1.050998654925875408e+00 -3.418785205534085464e-02
1.051967203279471130e+00 -3.418785134013680588e-02
1.052936644199302663e+00 -3.418785062357351801e-02
1.053906978507914927e+00 -3.418784990562723225e-02
1.054878207028610682e+00 -3.418784918632263026e-02
1.055850330585451635e+00 -3.418784846562566287e-02
1.056823350003258666e+00 -3.418784774358261946e-02
1.057797266107613154e+00 -3.418784702012547111e-02
1.058772079724856763e+00 -3.418784629529224989e-02
1.059747791682093432e+00 -3.418784556908396194e-02
1.060724402807188271e+00 -3.418784484147890934e-02
1.061701913928770225e+00 -3.418784411247701577e-02
1.062680325876231402e+00 -3.418784338209988199e-02
1.063659639479728414e+00 -3.418784265030521546e-02
1.064639855570182814e+00 -3.418784191712693349e-02
1.065620974979281987e+00 -3.418784118253925114e-02
1.066602998539479819e+00 -3.418784044655136245e-02
1.067585927083996689e+00 -3.418783970915497544e-02
1.068569761446821920e+00 -3.418783897032324354e-02
1.069554502462712664e+00 -3.418783823011176115e-02
1.070540150967195681e+00 -3.418783748846583592e-02
1.071526707796567113e+00 -3.418783674540398082e-02
1.072514173787894487e+00 -3.418783600092612646e-02
1.073502549779016713e+00 -3.418783525501985915e-02
1.074491836608544082e+00 -3.418783450768717730e-02
1.075482035115860713e+00 -3.418783375891874116e-02
1.076473146141123216e+00 -3.418783300873098202e-02
1.077465170525263582e+00 -3.418783225709498552e-02
1.078458109109987628e+00 -3.418783150402926463e-02
