# Bandpower weights for C_B in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# theta[arcmin]      R(theta)
3.895346980473423093e-01 1.327224237847857547e-07
3.898034500559438009e-01 1.197798656104473031e-06
3.900723874848493478e-01 3.336400053988359149e-06
3.903415104619860077e-01 6.557257108623890309e-06
3.906108191153692677e-01 1.086932521068029539e-05
3.908803135731029332e-01 1.628148689344657322e-05
3.911499939633792389e-01 2.280294775913247591e-05
3.914198604144786819e-01 3.044186057274351746e-05
3.916899130547703556e-01 3.920762373930677871e-05
3.919601520127119487e-01 4.911007389022979333e-05
3.922305774168498016e-01 6.015700996779301641e-05
3.925011893958187947e-01 7.235710522901506181e-05
3.927719880783428485e-01 8.572268833444389045e-05
3.930429735932343127e-01 1.002579614669363257e-04
3.933141460693946323e-01 1.159747635476989153e-04
3.935855056358142923e-01 1.328831427081583142e-04
3.938570524215724844e-01 1.509915649848379176e-04
3.941287865558377179e-01 1.703079861652349977e-04
3.944007081678674864e-01 1.908442923992753290e-04
3.946728173870084344e-01 2.126058606744179807e-04
3.949451143426964683e-01 2.356055335128807971e-04
3.952175991644569231e-01 2.598517089324964367e-04
3.954902719819043955e-01 2.853493815166888549e-04
3.957631329247428553e-01 3.121132663094965749e-04
3.960361821227658119e-01 3.401532121323544823e-04
3.963094197058563140e-01 3.694772344009316614e-04
3.965828458039871718e-01 4.000917924529815871e-04
3.968564605472205131e-01 4.320134146670039934e-04
3.971302640657086158e-01 4.652431866439762117e-04
3.974042564896931862e-01 4.998023014559641779e-04
3.976784379495060251e-01 5.356790364791672943e-04
3.979528085755688060e-01 5.729073393368178634e-04
3.982273684983931861e-01 6.114746264125362971e-04
3.985021178485808058e-01 6.514173775275494249e-04
3.987770567568234559e-01 6.927190275722657116e-04
3.990521853539030217e-01 7.354052997079195712e-04
3.993275037706917052e-01 7.794829607488132578e-04
3.996030121381521361e-01 8.249580151793882215e-04
3.998787105873369829e-01 8.718335383649636382e-04
4.001545992493895088e-01 9.201402038400094971e-04
4.004306782555434596e-01 9.698710575597914310e-04
4.007069477371231758e-01 1.021044986168778614e-03
4.009834078255434253e-01 1.073646841422091656e-03
4.012600586523097368e-01 1.127721105845618226e-03
4.015369003490185662e-01 1.183271295161675979e-03
4.018139330473567417e-01 1.240293702089563304e-03
4.020911568791022961e-01 1.298794356783884588e-03
