# Bandpower weights for C of clustering Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# theta[arcmin]      R(theta)
3.895346980473423093e-01 5.271744650730494919e-02
3.898034500559438009e-01 4.744555024032947599e-01
3.900723874848493478e-01 1.317923614565934320e+00
3.903415104619860077e-01 2.583105860039452306e+00
3.906108191153692677e-01 4.269978396303284462e+00
3.908803135731029332e-01 6.378509461722356555e+00
3.911499939633792389e-01 8.908659376140978026e+00
3.914198604144786819e-01 1.186038054162950139e+01
3.916899130547703556e-01 1.523361744337983659e+01
3.919601520127119487e-01 1.902830665074780114e+01
3.922305774168498016e-01 2.324437681844326420e+01
3.925011893958187947e-01 2.788174868787385918e+01
3.927719880783428485e-01 3.294033508863245174e+01
3.930429735932343127e-01 3.842004094013113047e+01
3.933141460693946323e-01 4.432076325339285461e+01
3.935855056358142923e-01 5.064239113298597772e+01
3.938570524215724844e-01 5.738480577909927405e+01
3.941287865558377179e-01 6.454788048978488746e+01
3.944007081678674864e-01 7.213148066332921360e+01
3.946728173870084344e-01 8.013546380078295783e+01
3.949451143426964683e-01 8.855967950864301486e+01
3.952175991644569231e-01 9.740396950167566104e+01
3.954902719819043955e-01 1.066681676058818198e+02
3.957631329247428553e-01 1.163520997616259507e+02
3.960361821227658119e-01 1.264555840269023861e+02
3.963094197058563140e-01 1.369784305807555143e+02
3.965828458039871718e-01 1.479204417268482814e+02
3.968564605472205131e-01 1.592814118971570849e+02
3.971302640657086158e-01 1.710611276558591669e+02
3.974042564896931862e-01 1.832593677033190716e+02
3.976784379495060251e-01 1.958759028802577120e+02
3.979528085755688060e-01 2.089104961720534845e+02
3.982273684983931861e-01 2.223629027131950409e+02
3.985021178485808058e-01 2.362328697918707689e+02
3.987770567568234559e-01 2.505201368547368759e+02
3.990521853539030217e-01 2.652244355117721852e+02
3.993275037706917052e-01 2.803454895413694885e+02
3.996030121381521361e-01 2.958830148954951369e+02
3.998787105873369829e-01 3.118367197050044979e+02
4.001545992493895088e-01 3.282063042851633554e+02
4.004306782555434596e-01 3.449914611412547174e+02
4.007069477371231758e-01 3.621918749743615535e+02
4.009834078255434253e-01 3.798072226872730539e+02
4.012600586523097368e-01 3.978371733905772203e+02
4.015369003490185662e-01 4.162813884088595273e+02
4.018139330473567417e-01 4.351395212870522187e+02
4.020911568791022961e-01 4.544112177969768709e+02
4.023685719761240787e-01 4.740961159439630705e+02
4.026461784703819213e-01 4.941938459736705340e+02
4.029239764939266388e-01 5.147040303790059852e+02
4.032019661789001397e-01 5.356262839072383031e+02
4.034801476575356483e-01 5.569602135672309942e+02
4.037585210621574827e-01 5.787054186368088722e+02
4.040370865251814436e-01 6.008614906703026008e+02
4.043158441791143143e-01 6.234280135061928831e+02
4.045947941565546380e-01 6.464045632749562174e+02
4.048739365901924403e-01 6.697907084070147903e+02
4.051532716128090628e-01 6.935860096408288200e+02
4.054327993572776068e-01 7.177900200311564731e+02
4.057125199565628226e-01 7.424022849574549809e+02
4.059924335437211651e-01 7.674223421324098808e+02
4.062725402519010709e-01 7.928497216106268297e+02
4.065528402143425701e-01 8.186839457974343759e+02
4.068333335643777859e-01 8.449245294578762469e+02
4.071140204354307124e-01 8.715709797258052731e+02
4.073949009610175476e-01 8.986227961131738766e+02
4.076759752747465271e-01 9.260794705193972050e+02
4.079572435103180350e-01 9.539404872409133986e+02
4.082387058015247705e-01 9.822053229808607284e+02
4.085203622822516922e-01 1.010873446858912644e+03
4.088022130864761294e-01 1.039944320421239809e+03
4.090842583482678374e-01 1.069417397650633575e+03
4.093664982017891085e-01 1.099292124976752348e+03
4.096489327812948278e-01 1.129567941286524956e+03
4.099315622211324173e-01 1.160244277934672255e+03
4.102143866557421137e-01 1.191320558754418698e+03
4.104974062196566909e-01 1.222796200068264170e+03
4.107806210475019593e-01 1.254670610698996143e+03
4.110640312739964886e-01 1.286943191980753681e+03
4.113476370339519406e-01 1.319613337770311318e+03
4.116314384622727363e-01 1.352680434458409991e+03
4.119154356939565553e-01 1.386143860981328316e+03
4.121996288640942807e-01 1.420002988832523897e+03
4.124840181078698320e-01 1.454257182074440379e+03
4.127686035605604431e-01 1.488905797350452758e+03
4.130533853575367176e-01 1.523948183896936143e+03
4.133383636342626288e-01 1.559383683555507105e+03
4.136235385262956865e-01 1.595211630785391435e+03
4.139089101692867145e-01 1.631431352675869675e+03
4.141944786989804062e-01 1.668042168959003220e+03
4.144802442512148799e-01 1.705043392022315174e+03
4.147662069619221237e-01 1.742434326921778620e+03
4.150523669671278282e-01 1.780214271394817388e+03
4.153387244029515535e-01 1.818382515873523062e+03
4.156252794056068955e-01 1.856938343498005224e+03
4.159120321114011531e-01 1.895881030129752162e+03
4.161989826567357720e-01 1.935209844365346271e+03
4.164861311781065112e-01 1.974924047550155819e+03
4.167734778121031103e-01 2.015022893792209970e+03
4.170610226954095667e-01 2.055505629976179534e+03
4.173487659648041914e-01 2.096371495777551900e+03
4.176367077571596087e-01 2.137619723676895774e+03
4.179248482094430339e-01 2.179249538974308052e+03
4.182131874587161069e-01 2.221260159803921397e+03
4.185017256421348919e-01 2.263650797148578476e+03
4.187904628969501553e-01 2.306420654854695385e+03
4.190793993605075873e-01 2.349568929647211917e+03
4.193685351702473585e-01 2.393094811144643245e+03
4.196578704637044521e-01 2.436997481874274399e+03
4.199474053785089978e-01 2.481276117287625311e+03
4.202371400523858824e-01 2.525929885775809453e+03
4.205270746231549728e-01 2.570957948685209431e+03
4.208172092287313926e-01 2.616359460333247171e+03
4.211075440071251896e-01 2.662133568024206852e+03
4.213980790964418910e-01 2.708279412065330234e+03
4.216888146348822808e-01 2.754796125782886520e+03
4.219797507607421783e-01 2.801682835538458221e+03
4.222708876124131594e-01 2.848938660745404377e+03
4.225622253283820573e-01 2.896562713885312405e+03
4.228537640472314618e-01 2.944554100524791465e+03
4.231455039076395530e-01 2.992911919332140769e+03
4.234374450483798236e-01 3.041635262094288009e+03
4.237295876083219115e-01 3.090723213733989269e+03
4.240219317264312116e-01 3.140174852326821110e+03
4.243144775417688197e-01 3.189989249118629232e+03
4.246072251934919772e-01 3.240165468542942108e+03
4.249001748208537932e-01 3.290702568238484218e+03
4.251933265632034664e-01 3.341599599066916653e+03
4.254866805599863966e-01 3.392855605130695039e+03
4.257802369507440732e-01 3.444469623790965215e+03
4.260739958751145195e-01 3.496440685685668541e+03
4.263679574728317379e-01 3.548767814747725879e+03
4.266621218837263751e-01 3.601450028223398931e+03
4.269564892477256124e-01 3.654486336690751159e+03
4.272510597048529424e-01 3.707875744078178741e+03
4.275458333952286694e-01 3.761617247683153892e+03
4.278408104590695760e-01 3.815709838191023209e+03
4.281359910366893673e-01 3.870152499694075232e+03
4.284313752684984489e-01 3.924944209710430641e+03
4.287269632950042042e-01 3.980083939203437239e+03
4.290227552568107727e-01 4.035570652600817994e+03
4.293187512946194384e-01 4.091403307814277923e+03
4.296149515492285742e-01 4.147580856258960921e+03
4.299113561615336421e-01 4.204102242873196701e+03
4.302079652725273040e-01 4.260966406138325510e+03
4.305047790232994775e-01 4.318172278098566494e+03
4.308017975550375023e-01 4.375718784381154364e+03
4.310990210090261399e-01 4.433604844216474703e+03
4.313964495266475185e-01 4.491829370458359335e+03
4.316940832493813551e-01 4.550391269604503577e+03
4.319919223188050661e-01 4.609289441817031729e+03
4.322899668765935455e-01 4.668522780943095313e+03
4.325882170645196645e-01 4.728090174535714141e+03
4.328866730244538830e-01 4.787990503874594651e+03
4.331853348983648044e-01 4.848222643987242918e+03
4.334842028283187876e-01 4.908785463669992168e+03
4.337832769564802238e-01 4.969677825509257673e+03
4.340825574251115371e-01 5.030898585902938976e+03
4.343820443765735173e-01 5.092446595081916712e+03
4.346817379533250425e-01 5.154320697131570341e+03
4.349816382979232454e-01 5.216519730013556000e+03
4.352817455530236246e-01 5.279042525587568889e+03
4.355820598613800998e-01 5.341887909633303934e+03
4.358825813658450676e-01 5.405054701872544683e+03
4.361833102093696790e-01 5.468541715991332239e+03
4.364842465350034506e-01 5.532347759662116005e+03
4.367853904858946534e-01 5.596471634566299144e+03
4.370867422052903684e-01 5.660912136416684007e+03
4.373883018365365416e-01 5.725668054980102170e+03
4.376900695230780403e-01 5.790738174100106335e+03
4.379920454084585413e-01 5.856121271719845936e+03
4.382942296363207535e-01 5.921816119904951847e+03
4.385966223504067507e-01 5.987821484866766696e+03
4.388992236945575831e-01 6.054136126985267765e+03
4.392020338127134993e-01 6.120758800832597444e+03
4.395050528489141128e-01 6.187688255196235332e+03
4.398082809472985688e-01 6.254923233102667837e+03
4.401117182521052107e-01 6.322462471840854050e+03
4.404153649076720245e-01 6.390304702986069969e+03
4.407192210584365832e-01 6.458448652423630847e+03
4.410232868489361024e-01 6.526893040372843643e+03
4.413275624238073847e-01 6.595636581411084080e+03
4.416320479277872635e-01 6.664677984497850048e+03
4.419367435057122706e-01 6.734015952999144247e+03
4.422416493025189688e-01 6.803649184711691305e+03
4.425467654632437298e-01 6.873576371887430469e+03
4.428520921330231785e-01 6.943796201258105611e+03
4.431576294570939711e-01 7.014307354059917088e+03
4.434633775807930722e-01 7.085108506058270905e+03
4.437693366495575886e-01 7.156198327572707058e+03
4.440755068089250468e-01 7.227575483501734197e+03
4.443818882045334484e-01 7.299238633348083567e+03
4.446884809821211038e-01 7.371186431243742845e+03
4.449952852875269094e-01 7.443417525975267381e+03
4.453023012666905145e-01 7.515930561009219673e+03
4.456095290656522101e-01 7.588724174517533356e+03
4.459169688305529844e-01 7.661796999403218251e+03
4.462246207076346338e-01 7.735147663325928079e+03
4.465324848432399296e-01 7.808774788727720988e+03
4.468405613838125623e-01 7.882676992859090205e+03
4.471488504758973082e-01 7.956852887804765487e+03
4.474573522661400293e-01 8.031301080509809253e+03
4.477660669012876737e-01 8.106020172805837319e+03
4.480749945281884972e-01 8.181008761437215981e+03
4.483841352937921743e-01 8.256265438087491930e+03
4.486934893451495765e-01 8.331788789405729403e+03
4.490030568294132718e-01 8.407577397033184752e+03
4.493128378938371359e-01 8.483629837629787289e+03
4.496228326857766300e-01 8.559944682901001215e+03
4.499330413526890782e-01 8.636520499624648437e+03
4.502434640421332235e-01 8.713355849677651349e+03
