#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip            sigma_xim              weight               npairs       
  7.133649061081e-01   7.874633470963e-01  -2.578432419053e-01   1.080849497682e-04   2.961105217952e-05  -1.279291973134e-05   4.302669413012e-05   7.004215315196e-08   7.004215315196e-08   1.607775800000e+07   1.607775800000e+07
  1.452095610920e+00   1.618014923679e+00   4.622850759822e-01   6.244703813833e-05   1.195375012542e-05  -1.394454599760e-05  -8.944221452526e-06   1.679518616891e-08   1.679518616891e-08   6.704846700000e+07   6.704846700000e+07
  2.955824775231e+00   3.256951737299e+00   1.163055479418e+00   4.554728332508e-05   2.172405014841e-06   1.923589948301e-06  -3.542788087478e-06   4.204146760921e-09   4.204146760921e-09   2.579250590000e+08   2.579250590000e+08
  6.016752640915e+00   6.648412162501e+00   1.875372243766e+00   2.836843554565e-05   9.581669576346e-06  -5.308923370277e-06  -3.836968556614e-06   1.055068153151e-09   1.055068153151e-09   1.067249867000e+09   1.067249867000e+09
  1.224744871392e+01   1.340354882479e+01   2.577785359824e+00   1.364371042121e-05   7.958340201091e-06  -3.039708279830e-06  -7.439931024653e-07   2.658046540775e-10   2.658046540775e-10   4.079303930000e+09   4.079303930000e+09
  2.493039168338e+01   2.736367421054e+01   3.290255846353e+00   9.174177809250e-06   5.410333234863e-06  -9.846965000112e-07  -1.880910932978e-07   6.603461142549e-11   6.603461142549e-11   1.705024026200e+10   1.705024026200e+10
  5.074725716388e+01   5.615169371821e+01   4.009013886864e+00   5.280464878540e-06   2.060337013708e-06  -8.066785563075e-08  -2.881183196709e-07   1.646684746627e-11   1.646684746627e-11   6.836423291200e+10   6.836423291200e+10
  1.032989831192e+02   1.127277806936e+02   4.707019265069e+00   1.582170534505e-06   1.728157652710e-06  -1.067169381277e-07   1.463592430986e-07   4.452741638245e-12   4.452741638245e-12   2.434240994030e+11   2.434240994030e+11
  2.102710670453e+02   2.278553177565e+02   5.409126096097e+00   7.258370217687e-07   1.308626809110e-06  -1.305055494250e-08  -5.292310802888e-08   1.353913571036e-12   1.353913571036e-12   8.319179482210e+11   8.319179482210e+11
