#       r_nom               meanr               meanlogr               xip                  xim                 xip_im               xim_im             sigma_xip            sigma_xim              weight               npairs       
  7.133649061081e-01   7.875016595849e-01  -2.577674585261e-01   1.091440343281e-04  -5.867986293872e-05   4.816137817218e-24  -1.459993866221e-05   7.225075360406e-08   7.225075360406e-08   1.440759000000e+07   1.440759000000e+07
  1.452095610920e+00   1.617942814451e+00   4.622389725804e-01   1.168717463323e-04   1.315863100856e-06   4.190510135475e-22  -9.159499711411e-06   1.734627346558e-08   1.734627346558e-08   6.000833000000e+07   6.000833000000e+07
  2.955824775231e+00   3.256594528608e+00   1.162937938840e+00   9.386643425427e-05  -7.373626332008e-06   3.099588216261e-20  -7.725373600859e-06   4.348728517419e-09   4.348728517419e-09   2.304959060000e+08   2.304959060000e+08
  6.016752640915e+00   6.647793458490e+00   1.875271412632e+00   4.503657676090e-05   1.974833408548e-06   2.183958199550e-20  -5.728814930435e-06   1.093369956628e-09   1.093369956628e-09   9.520014220000e+08   9.520014220000e+08
  1.224744871392e+01   1.340273882277e+01   2.577721001162e+00   2.589918642299e-05   8.880640189942e-06  -5.192804267750e-21   1.961546586925e-07   2.758610579706e-10   2.758610579706e-10   3.633428918000e+09   3.633428918000e+09
  2.493039168338e+01   2.736224746266e+01   3.290200898310e+00   1.488193911115e-05   8.210831625258e-06   1.156537388524e-11  -5.560797548664e-07   6.861526438541e-11   6.861526438541e-11   1.516888008900e+10   1.516888008900e+10
  5.074725716388e+01   5.615162369255e+01   4.009011349454e+00   6.818956485684e-06   4.255705739472e-06  -4.506095636676e-13   7.639246713206e-07   1.712023505432e-11   1.712023505432e-11   6.079018079800e+10   6.079018079800e+10
  1.032989831192e+02   1.127290157750e+02   4.707031615670e+00   2.631381527243e-06   2.867042139974e-06   4.064628971810e-14   5.688796570655e-08   4.628469912834e-12   4.628469912834e-12   2.165307641190e+11   2.165307641190e+11
  2.102710670453e+02   2.278715975330e+02   5.409196463263e+00   6.851202072214e-07   2.018999132757e-06  -2.151282454693e-13   3.588951562320e-09   1.407596652571e-12   1.407596652571e-12   7.401293106860e+11   7.401293106860e+11
